Dataset                   Metric                    metric valor
------------------------  ---------------------  ---------------
datasets_2/albrecht.arff  MAE                        3.76667
datasets_2/albrecht.arff  Median Absolute Error      3.26667
datasets_2/albrecht.arff  RMSE                       4.50785
datasets_2/albrecht.arff  R2 Score                  -0.124279
datasets_2/albrecht.arff  MAE                        3.22667
datasets_2/albrecht.arff  Median Absolute Error      2.56667
datasets_2/albrecht.arff  RMSE                       3.68402
datasets_2/albrecht.arff  R2 Score                   0.249104
datasets_2/albrecht.arff  MAE                        3.135
datasets_2/albrecht.arff  Median Absolute Error      3.125
datasets_2/albrecht.arff  RMSE                       3.26686
datasets_2/albrecht.arff  R2 Score                   0.409531
datasets_2/albrecht.arff  MAE                        3.135
datasets_2/albrecht.arff  Median Absolute Error      3.125
datasets_2/albrecht.arff  RMSE                       3.26686
datasets_2/albrecht.arff  R2 Score                   0.409531
datasets_2/albrecht.arff  MAE                        2.928
datasets_2/albrecht.arff  Median Absolute Error      2.7
datasets_2/albrecht.arff  RMSE                       3.10473
datasets_2/albrecht.arff  R2 Score                   0.466684
datasets_2/albrecht.arff  MAE                        3.308
datasets_2/albrecht.arff  Median Absolute Error      3.5
datasets_2/albrecht.arff  RMSE                       3.42703
datasets_2/albrecht.arff  R2 Score                   0.35021
datasets_2/albrecht.arff  MAE                        2.61667
datasets_2/albrecht.arff  Median Absolute Error      2.63333
datasets_2/albrecht.arff  RMSE                       2.68151
datasets_2/albrecht.arff  R2 Score                   0.602172
datasets_2/albrecht.arff  MAE                        2.37667
datasets_2/albrecht.arff  Median Absolute Error      2.45
datasets_2/albrecht.arff  RMSE                       2.39301
datasets_2/albrecht.arff  R2 Score                   0.683171
datasets_2/albrecht.arff  MAE                        2.15714
datasets_2/albrecht.arff  Median Absolute Error      1.92857
datasets_2/albrecht.arff  RMSE                       2.23566
datasets_2/albrecht.arff  R2 Score                   0.723467
datasets_2/albrecht.arff  MAE                        1.99143
datasets_2/albrecht.arff  Median Absolute Error      1.92857
datasets_2/albrecht.arff  RMSE                       2.15116
datasets_2/albrecht.arff  R2 Score                   0.743977
datasets_2/albrecht.arff  MAE                        2.1125
datasets_2/albrecht.arff  Median Absolute Error      1.125
datasets_2/albrecht.arff  RMSE                       2.82915
datasets_2/albrecht.arff  R2 Score                   0.557159
datasets_2/albrecht.arff  MAE                        2.345
datasets_2/albrecht.arff  Median Absolute Error      1.125
datasets_2/albrecht.arff  RMSE                       3.00886
datasets_2/albrecht.arff  R2 Score                   0.499112
datasets_2/albrecht.arff  MAE                        2.13778
datasets_2/albrecht.arff  Median Absolute Error      1.93333
datasets_2/albrecht.arff  RMSE                       2.82513
datasets_2/albrecht.arff  R2 Score                   0.558415
datasets_2/albrecht.arff  MAE                        2.28889
datasets_2/albrecht.arff  Median Absolute Error      1.93333
datasets_2/albrecht.arff  RMSE                       2.85646
datasets_2/albrecht.arff  R2 Score                   0.548568
datasets_2/kemerer.arff   MAE                       76.3
datasets_2/kemerer.arff   Median Absolute Error     98.1667
datasets_2/kemerer.arff   RMSE                      84.6148
datasets_2/kemerer.arff   R2 Score                  -0.354393
datasets_2/kemerer.arff   MAE                       74.6556
datasets_2/kemerer.arff   Median Absolute Error     98.1667
datasets_2/kemerer.arff   RMSE                      84.1803
datasets_2/kemerer.arff   R2 Score                  -0.340519
datasets_2/kemerer.arff   MAE                       70.75
datasets_2/kemerer.arff   Median Absolute Error     95.4
datasets_2/kemerer.arff   RMSE                      86.947
datasets_2/kemerer.arff   R2 Score                  -0.430081
datasets_2/kemerer.arff   MAE                       70.75
datasets_2/kemerer.arff   Median Absolute Error     95.4
datasets_2/kemerer.arff   RMSE                      86.947
datasets_2/kemerer.arff   R2 Score                  -0.430081
datasets_2/kemerer.arff   MAE                       64.6667
datasets_2/kemerer.arff   Median Absolute Error     81.96
datasets_2/kemerer.arff   RMSE                      79.9977
