Dataset                      Metric                   metric valor    p    k
---------------------------  ---------------------  --------------  ---  ---
../datasets_2/albrecht.arff  MAE                        11.4933       1    3
../datasets_2/albrecht.arff  Median Absolute Error       4.4          1    3
../datasets_2/albrecht.arff  RMSE                       19.5097       1    3
../datasets_2/albrecht.arff  R2 Score                    0.700296     1    3
../datasets_2/albrecht.arff  MAE                        11.5067       2    3
../datasets_2/albrecht.arff  Median Absolute Error       4.33333      2    3
../datasets_2/albrecht.arff  RMSE                       19.5868       2    3
../datasets_2/albrecht.arff  R2 Score                    0.697921     2    3
../datasets_2/albrecht.arff  MAE                        14.405        1    4
../datasets_2/albrecht.arff  Median Absolute Error       4.5          1    4
../datasets_2/albrecht.arff  RMSE                       24.2578       1    4
../datasets_2/albrecht.arff  R2 Score                    0.536665     1    4
../datasets_2/albrecht.arff  MAE                        14.755        2    4
../datasets_2/albrecht.arff  Median Absolute Error       6.25         2    4
../datasets_2/albrecht.arff  RMSE                       24.3352       2    4
../datasets_2/albrecht.arff  R2 Score                    0.533702     2    4
../datasets_2/albrecht.arff  MAE                        16.316        1    5
../datasets_2/albrecht.arff  Median Absolute Error       5.24         1    5
../datasets_2/albrecht.arff  RMSE                       27.0416       1    5
../datasets_2/albrecht.arff  R2 Score                    0.424217     1    5
../datasets_2/albrecht.arff  MAE                        16.372        2    5
../datasets_2/albrecht.arff  Median Absolute Error       5.24         2    5
../datasets_2/albrecht.arff  RMSE                       27.1917       2    5
../datasets_2/albrecht.arff  R2 Score                    0.417808     2    5
../datasets_2/albrecht.arff  MAE                        18.62         1    6
../datasets_2/albrecht.arff  Median Absolute Error       4.9          1    6
../datasets_2/albrecht.arff  RMSE                       29.7582       1    6
../datasets_2/albrecht.arff  R2 Score                    0.302723     1    6
../datasets_2/albrecht.arff  MAE                        17.93         2    6
../datasets_2/albrecht.arff  Median Absolute Error       4.9          2    6
../datasets_2/albrecht.arff  RMSE                       29.71         2    6
../datasets_2/albrecht.arff  R2 Score                    0.304977     2    6
../datasets_2/albrecht.arff  MAE                        19.4686       1    7
../datasets_2/albrecht.arff  Median Absolute Error       5.11429      1    7
