size_D,duration_D,nlan,t07,t10,t11,t14,t15,app_InfServ,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t11,MI_size_D_t09,MI_size_D_nlan,MI_size_D_t02,MI_size_D_t08,MI_size_D_har_Mainfrm,MI_size_D_t03,MI_size_D_t14,MI_size_D_t10,MI_size_D_t15,MI_size_D_t12,MI_size_D_telonuse_Yes,MI_size_D_ifc_TextUI,MI_size_D_t05,MI_size_D_har_Multi,MI_size_D_t01,MI_size_D_t04,MI_size_D_t06,MI_size_D_t13,MI_size_D_app_CustServ,MI_duration_D_t07,effort_D
562,14,1,4,3,2,5,3,1,7868,2248,1124,1686,562,1686,2248,0,1686,2810,1686,1686,2248,0,0,1686,0,2810,1124,2248,1686,0,56,1062
647,16,3,4,5,4,4,5,0,10352,2588,2588,2588,1941,1941,3235,647,3235,2588,3235,3235,2588,0,647,1941,0,2588,1941,1941,2588,0,64,7871
130,5,3,2,3,4,4,4,0,650,260,520,520,390,390,260,130,390,520,390,520,520,0,130,390,0,260,390,390,520,0,10,845
254,8,2,2,5,4,3,3,1,2032,508,1016,1016,508,762,762,254,508,762,1270,762,762,0,254,762,0,762,762,1016,508,0,16,2330
1056,16,3,3,4,5,2,3,0,16896,3168,5280,4224,3168,2112,5280,1056,4224,2112,4224,3168,4224,0,1056,2112,0,2112,2112,1056,3168,1056,48,21272
383,12,2,4,4,3,4,4,0,4596,1532,1149,1532,766,1149,1149,383,1149,1532,1532,1532,1532,0,383,1149,0,1149,1532,1149,1915,0,48,4224
345,12,4,2,4,4,5,4,0,4140,690,1380,1380,1380,1035,690,0,1035,1725,1380,1380,1380,345,345,1035,345,690,1035,1035,1380,0,24,2826
209,27,2,3,5,3,2,3,0,5643,627,627,1045,418,627,1045,209,1045,418,1045,627,836,0,209,627,0,836,836,418,836,0,81,7320
366,24,1,4,3,3,2,3,0,8784,1464,1098,1464,366,1098,1830,366,1098,732,1098,1098,1098,0,366,732,0,732,732,732,1098,0,96,9125
1181,54,2,4,2,2,4,2,0,63774,4724,2362,3543,2362,3543,5905,0,3543,4724,2362,2362,2362,0,1181,1181,0,4724,2362,2362,3543,0,216,11900
181,13,2,2,4,2,3,3,1,2353,362,362,543,362,543,905,181,362,543,724,543,543,0,181,543,0,362,543,543,362,0,26,4300
739,21,1,3,2,2,1,2,0,15519,2217,1478,2217,739,2217,2217,0,2956,739,1478,1478,1478,0,739,2217,0,3695,1478,739,739,0,63,4150
108,7,2,1,3,4,5,1,0,756,108,432,432,216,216,432,0,216,540,324,108,432,0,108,324,0,216,432,324,108,108,7,900
48,10,3,2,3,5,4,2,0,480,96,240,192,144,144,192,0,144,192,144,96,144,0,48,96,0,96,192,96,144,48,20,583
249,19,2,3,3,3,4,3,1,4731,747,747,996,498,747,1245,249,498,996,747,747,996,0,249,747,0,498,996,747,498,0,57,2565
371,11,2,3,5,2,3,3,0,4081,1113,742,1855,742,1484,1113,371,1113,1113,1855,1113,1484,0,371,1113,0,1113,1113,1113,1113,0,33,4047
211,13,1,4,3,2,3,3,0,2743,844,422,844,211,633,844,211,422,633,633,633,844,0,211,633,0,422,844,633,633,0,52,1520
