AFP,Input,Output,File,Added,N_effort,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_NPDU_UFP,MI_N_effort_Added,MI_N_effort_PDR_UFP,MI_N_effort_Enquiry,MI_N_effort_NPDR_AFP,MI_N_effort_Duration,MI_N_effort_File,MI_N_effort_Output,MI_N_effort_Resource_1,MI_AFP_PDR_AFP,Effort
1587.0,774.0,260.0,128.0,1502.0,7490.0,11886630.0,35203.0,37450.0,11249980.0,37450.0,2546600.0,35203.0,29960.0,958720.0,1947400.0,0.0,7458.900000000001,7490
260.0,9.0,4.0,193.0,51.0,4150.0,1079000.0,66400.0,68890.0,211650.0,68890.0,12450.0,66400.0,70550.0,800950.0,16600.0,0.0,4160.0,4150
152.0,25.0,33.0,42.0,163.0,668.0,101536.0,2939.2000000000003,2738.8,108884.0,2738.8,18704.0,2939.2000000000003,6012.0,28056.0,22044.0,668.0,668.8000000000001,668
252.0,151.0,28.0,39.0,69.0,3901.0,983052.0,49932.8,67487.3,269169.0,55784.3,31208.0,60465.5,15604.0,152139.0,109228.0,3901.0,3225.6000000000004,3238
292.0,93.0,0.0,20.0,0.0,3607.0,1053244.0,37152.100000000006,42201.9,0.0,35348.600000000006,699758.0,44726.8,46891.0,72140.0,0.0,3607.0,3007.6000000000004,2994
83.0,63.0,0.0,0.0,0.0,1606.0,133298.0,25856.6,29711.0,0.0,24571.800000000003,38544.0,30995.800000000003,6424.0,0.0,0.0,1606.0,1336.3000000000002,1333
79.0,24.0,0.0,30.0,0.0,1936.0,152944.0,39300.8,48593.600000000006,0.0,40462.4,44528.0,47432.0,11616.0,58080.0,0.0,1936.0,1603.7,1607
97.0,0.0,108.0,0.0,120.0,1158.0,112326.0,13780.2,11232.6,138960.0,11232.6,8106.0,13780.2,8106.0,0.0,125064.0,0.0,1154.3,1158
116.0,0.0,23.0,14.0,81.0,1498.0,173768.0,16028.6,19474.0,121338.0,16178.4,86884.0,19324.2,8988.0,20972.0,34454.0,1498.0,1241.1999999999998,1243
52.0,39.0,7.0,0.0,0.0,4063.0,211276.0,263282.4,358762.9,0.0,297817.9,0.0,317320.3,28441.0,0.0,28441.0,4063.0,3369.6,3372
465.0,209.0,129.0,83.0,460.0,10200.0,4743000.0,223380.0,226440.0,4692000.0,226440.0,244800.0,223380.0,91800.0,846600.0,1315800.0,10200.0,10183.5,10200
67.0,32.0,5.0,7.0,25.0,2053.0,137551.0,52146.2,70212.6,51325.0,58305.2,32848.0,62821.8,14371.0,14371.0,10265.0,2053.0,1701.8,1704
199.0,0.0,115.0,0.0,214.0,3034.0,603766.0,40352.2,43082.8,649276.0,37318.2,172938.0,46116.8,21238.0,0.0,348910.0,0.0,2646.7000000000003,2640
176.0,13.0,54.0,40.0,168.0,3348.0,589248.0,63612.0,66625.2,562464.0,66625.2,180792.0,63612.0,87048.0,133920.0,180792.0,3348.0,3344.0,3348
391.0,208.0,26.0,25.0,38.0,814.0,318274.0,1383.8,1953.6,30932.0,1628.0,65934.0,1709.4,5698.0,20350.0,21164.0,814.0,664.6999999999999,676
263.0,65.0,45.0,42.0,176.0,911.0,239593.0,3188.5,3188.5,160336.0,3188.5,92011.0,3188.5,2733.0,38262.0,40995.0,911.0,920.5,911
42.0,12.0,15.0,7.0,52.0,2496.0,104832.0,148262.4,119808.0,129792.0,119808.0,7488.0,148262.4,15974.4,17472.0,37440.0,2496.0,2494.8,2496
190.0,98.0,20.0,63.0,160.0,1171.0,222490.0,7260.2,6791.8,187360.0,6791.8,18736.0,7260.2,11710.0,73773.0,23420.0,1171.0,1178.0,1171
245.0,105.0,28.0,58.0,19.0,3532.0,865340.0,50860.8,59690.8,67108.0,59690.8,63576.0,50860.8,45916.0,204856.0,98896.0,3532.0,3528.0,3532
77.0,28.0,0.0,0.0,0.0,525.0,40425.0,2992.5,3937.5,0.0,3255.0,22050.0,3570.0,525.0,0.0,0.0,525.0,438.9,436
355.0,278.0,0.0,0.0,0.0,1095.0,388725.0,2847.0,3394.5,0.0,2847.0,79935.0,3394.5,4380.0,0.0,0.0,1095.0,923.0,909
3156.0,2075.0,525.0,0.0,28.0,10957.0,34580292.0,31775.3,44923.7,306796.0,37253.8,1062829.0,38349.5,65742.0,0.0,5752425.0,10957.0,9152.4,9094
46.0,0.0,28.0,25.0,28.0,344.0,15824.0,2580.0,2236.0,9632.0,2236.0,0.0,2580.0,2064.0,8600.0,9632.0,344.0,345.0,344
56.0,14.0,12.0,7.0,53.0,296.0,16576.0,1568.8,1657.6,15688.0,1657.6,4440.0,1568.8,888.0,2072.0,3552.0,0.0,296.8,296
106.0,65.0,4.0,14.0,35.0,4220.0,447320.0,139260.0,187368.0,147700.0,155718.0,50640.0,167956.0,54860.0,59080.0,16880.0,4220.0,3498.0,3503
