Transactions,Entities,PointsAdjust,Envergure,TeamExp_1,TeamExp_?,ManagerExp_2,Language_3,MI_PointsAdjust_Entities,MI_PointsAdjust_Envergure,MI_PointsAdjust_Transactions,MI_PointsAdjust_Language_2,MI_PointsAdjust_Language_1,MI_PointsAdjust_ManagerExp_4,MI_PointsAdjust_ManagerExp_3,MI_Entities_Envergure,Effort
253,52,305,34,1,0,0,0,15860,10370,77165,0,305,305,0,1768,5152
197,124,321,33,0,0,0,0,39804,10593,63237,0,321,0,0,4092,5635
40,60,100,18,0,0,0,0,6000,1800,4000,0,100,100,0,1080,805
200,119,319,30,0,0,0,0,37961,9570,63800,0,319,0,0,3570,3829
140,94,234,24,0,0,0,0,21996,5616,32760,0,234,0,0,2256,2149
97,89,186,38,0,0,0,0,16554,7068,18042,0,186,0,0,3382,2821
119,42,161,25,0,0,0,0,6762,4025,19159,161,0,0,0,1050,2569
186,52,238,25,1,0,1,0,12376,5950,44268,0,238,0,0,1300,3913
172,88,260,30,0,0,0,0,22880,7800,44720,0,260,0,0,2640,7854
78,38,116,24,0,0,0,0,4408,2784,9048,0,116,116,0,912,2422
167,99,266,24,0,0,0,0,26334,6384,44422,0,266,0,0,2376,4067
146,112,258,40,0,0,0,0,28896,10320,37668,0,258,0,0,4480,9051
33,72,105,19,1,0,0,0,7560,1995,3465,0,105,0,0,1368,2282
162,61,223,32,0,0,0,0,13603,7136,36126,0,223,223,0,1952,4172
223,121,344,28,0,0,0,0,41624,9632,76712,0,344,344,0,3388,4977
119,48,167,26,0,0,1,0,8016,4342,19873,167,0,0,0,1248,1617
57,43,100,43,0,0,0,0,4300,4300,5700,0,100,0,100,1849,3192
68,316,384,20,0,0,0,0,121344,7680,26112,384,0,384,0,6320,3437
9,386,395,21,0,0,0,0,152470,8295,3555,395,0,395,0,8106,4494
58,34,92,29,0,0,1,0,3128,2668,5336,0,92,0,0,986,840
318,269,587,34,0,0,0,0,157903,19958,186666,587,0,587,0,9146,14973
88,170,258,34,0,0,0,0,43860,8772,22704,0,258,258,0,5780,5180
306,132,438,37,0,0,0,0,57816,16206,134028,0,438,438,0,4884,5775
304,78,382,39,0,0,0,0,29796,14898,116128,0,382,0,0,3042,10577
89,200,289,33,1,0,0,0,57800,9537,25721,0,289,289,0,6600,3983
86,230,316,33,0,0,0,0,72680,10428,27176,0,316,0,0,7590,3164
71,235,306,37,0,0,0,0,71910,11322,21726,0,306,0,0,8695,3542
148,324,472,39,0,0,0,0,152928,18408,69856,0,472,0,0,12636,4277
116,170,286,27,0,0,0,0,48620,7722,33176,0,286,286,0,4590,7252
175,277,452,37,0,0,0,0,125204,16724,79100,0,452,0,0,10249,3948
79,128,207,27,0,0,0,0,26496,5589,16353,0,207,0,207,3456,3927
145,38,183,27,1,0,0,1,6954,4941,26535,0,0,0,0,1026,710
174,78,252,41,0,0,0,1,19656,10332,43848,0,0,252,0,3198,2429
194,91,285,35,1,0,0,0,25935,9975,55290,0,285,0,0,3185,6405
126,49,175,38,0,0,1,1,8575,6650,22050,0,0,0,0,1862,651
137,119,256,34,1,0,0,0,30464,8704,35072,256,0,0,256,4046,9135
289,88,377,28,0,0,0,1,33176,10556,108953,0,0,377,0,2464,1435
260,144,404,24,0,1,0,0,58176,9696,105040,0,404,0,0,3456,5922
158,59,217,18,1,0,0,1,12803,3906,34286,0,0,217,0,1062,847
302,145,447,52,0,0,0,0,64815,23244,134994,447,0,0,447,7540,8050
451,48,499,28,1,0,0,0,23952,13972,225049,0,499,0,0,1344,4620
661,132,793,23,0,0,0,1,104676,18239,524173,0,0,793,0,3036,2352
64,54,118,25,1,0,0,0,6372,2950,7552,0,118,0,0,1350,2174
284,230,514,50,0,1,0,0,118220,25700,145976,0,514,514,0,11500,19894
182,126,308,35,0,0,0,0,38808,10780,56056,0,308,0,0,4410,6699
173,332,505,19,0,0,0,0,167660,9595,87365,0,505,0,505,6308,14987
252,7,259,28,0,0,1,0,1813,7252,65268,0,259,0,0,196,4004
131,180,311,51,0,0,0,0,55980,15861,40741,0,311,0,311,9180,12824
106,39,145,6,0,0,0,0,5655,870,15370,0,145,0,145,234,2331
96,108,204,29,0,0,0,0,22032,5916,19584,0,204,0,204,3132,5817
116,72,188,18,0,0,0,0,13536,3384,21808,0,188,0,188,1296,2989
86,49,135,32,0,0,0,0,6615,4320,11610,0,135,0,135,1568,3136
221,121,342,35,0,0,0,0,41382,11970,75582,0,342,0,342,4235,14434
61,96,157,18,1,0,0,0,15072,2826,9577,0,157,0,0,1728,2583
132,89,221,5,1,0,0,0,19669,1105,29172,221,0,0,221,445,3647
45,387,432,16,0,0,0,0,167184,6912,19440,432,0,0,0,6192,8232
55,112,167,12,1,0,0,0,18704,2004,9185,167,0,0,0,1344,3276
124,52,176,14,1,0,0,0,9152,2464,21824,176,0,176,0,728,2723
120,126,246,15,0,0,0,0,30996,3690,29520,246,0,0,246,1890,3472
