AFP,Input,Output,Enquiry,File,Added,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,MI_N_effort_AFP,MI_N_effort_PDR_AFP,MI_N_effort_Added,MI_AFP_PDR_AFP,Effort
0.15695652941739177,0.3462133,0.343354,0.34940398,0.21927309,0.21244353,0.31431496,0.27911985,0.30159682,0.2728608227139177,0.4945215,0.1446411,0.087796286,0.08500459149954084,0.13042739,0.13670045,0.13730559
0.1925949615556977,0.38161772,0.36949807,0.30345738,0.2495663,0.29533792,0.41758206,0.3954887,0.41081646,0.38679208132079185,0.571478,0.24161461,0.16374728,0.15734331426566855,0.22316706,0.23628995,0.23748249
0.15298912917934776,0.33651626,0.3350752,0.37680814,0.15750858,0.14461419,0.26670545,0.2547596,0.24746713,0.24634969536503043,0.38978943,0.15798742,0.091905564,0.08608720139127986,0.1656388,0.1514051,0.1496473
0.037024582221474936,0.13664378,0.296662,0.24461652,0.16958492,0.09999196,0.62671995,0.61288273,0.68868214,0.6680422931957706,0.4876228,0.11455283,0.02997912,0.09189469081053091,0.2076866,0.067040086,0.07649697
0.10733382644002959,0.3137557,0.29131597,0.26457152,0.20633143,0.09680902,0.26521996,0.2638395,0.23619883,0.23566782643321735,0.27188507,0.09683147,0.07904725,0.07394639260536073,0.12691982,0.10000539,0.09864226
0.3551248213074893,0.53868604,0.5834922,0.12781028,0.25518352,0.29900753,0.29552495,0.32212797,0.25484648,0.27781650221834975,0.6058924,0.30283427,0.32833794,0.16680818331918165,0.35712442,0.319813,0.3221843
0.1589562395373744,0.3932562,0.25033602,0.38500863,0.193709,0.18465488,0.572906,0.5602297,0.5616286,0.5439862056013794,0.4159913,0.24305296,0.190478,0.2100610089938991,0.11095647,0.2421925,0.24066472
0.11288881277332877,0.33274227,0.28108895,0.3217431,0.14908409,0.1082786,0.32979453,0.31611767,0.33099332,0.32237040776295917,0.4138231,0.14765477,0.10129754,0.0899992610000739,0.14526033,0.13275121,0.13044885
0.24385635463138128,0.36342812,0.52813876,0.24047744,0.22586939,0.30100343,0.19119906,0.18545514,0.18027754,0.1817320118267988,0.608474,0.16964447,0.14921702,0.0604946339505366,0.26126093,0.15624765,0.15656826
0.22434408346064502,0.45531544,0.38759416,0.47571963,0.17923874,0.21044622,0.2481683,0.22410531,0.25096634,0.22951329704867027,0.39258748,0.16381826,0.13195908,0.08130573186942681,0.17998847,0.1466803,0.15400526
