size_D,duration_D,app,har,ifc,nlan,telonuse,t02,t03,t04,t07,t08,t09,t10,t11,t14,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_duration_D_t07,effort_D
0.14214535,0.16522688,0.58807606,0.6577182,0.6544228,0.2747916764875006,0.8082836,0.49327242,0.15208843,0.6911788,0.07815012468900749,0.1618846538115346,0.17397080043824803,0.25194168,0.1918231808176819,0.4917703708229629,0.56124365,0.6054628,0.29136735,0.17101109,0.12320901,0.10559036,0.1842907
0.063187614,0.11694027,0.44769844,0.5436629,0.4109589,0.09242703554562214,0.7127541,0.20850295,0.05061379,0.47229952,0.08083159484989569,0.050368839963116,0.06968075418084525,0.29820183,0.1304653869534613,0.3535206846479315,0.70924294,0.7126833,0.31240118,0.11717059,0.04371748,0.08731525,0.19256116
0.06430562,0.12582749,0.47045088,0.5404413,0.42844164,0.07086493425189606,0.7040415,0.22247559,0.0632015,0.4852638,0.09203960552237633,0.08561409143859085,0.0826868149612089,0.2937832,0.12528900747109925,0.35781396421860356,0.6874839,0.71995175,0.282316,0.10455126,0.02975399,0.09456815,0.20529461
0.08565166,0.099910274,0.32210466,0.3397426,0.20501561,0.03237913694274822,0.5111804,0.16387379,0.16681415,0.27909338,0.2480692148841529,0.13221575677842431,0.15218997913139876,0.4262661,0.03436649956335004,0.3204977479502252,0.6714426,0.66038847,0.22939822,0.06398045,0.07053367,0.115181476,0.16654491
0.19430616,0.2417282,0.51958025,0.5847645,0.45406163,0.2111269526676172,0.75313765,0.17611855,0.106331915,0.4391691,0.15752820945169257,0.11651359834864015,0.05338719820323189,0.20920481,0.22509293749070625,0.26178145382185464,0.80883896,0.78185576,0.40955025,0.24426179,0.19569471,0.20696086,0.3057849
0.07041908,0.11907569,0.38803744,0.40511793,0.27866033,0.001930982015858921,0.5703335,0.13178456,0.12037557,0.34497684,0.20036508202190492,0.1210641178935882,0.11510763290645798,0.3893528,0.05734467726553227,0.301980529801947,0.7190483,0.71250904,0.2513064,0.06674209,0.032989845,0.11238841,0.19578993
0.06541933,0.08146193,0.43157285,0.5281901,0.41146934,0.10716607642996459,0.69504595,0.27339017,0.110235095,0.5147338,0.11652024699121483,0.06836589316341067,0.1694533301671998,0.35375333,0.11778912822108717,0.39023666097633386,0.6580782,0.6294569,0.28025764,0.10572991,0.057066165,0.07770985,0.17653891
0.29095078,0.2719032,0.6509781,0.7061042,0.6520942,0.3951482437088946,0.84166,0.43365163,0.20481566,0.6007725,0.1380892582853555,0.19805397019460297,0.11971688718301324,0.13591844,0.22825968717403128,0.301023989897601,0.7116147,0.6815229,0.38409206,0.31345826,0.25830066,0.23514082,0.31927103
0.177368,0.17239031,0.59177524,0.69390345,0.615919,0.335471050128263,0.83003056,0.46044213,0.12210196,0.6245899,0.06158212569492755,0.12637139736286024,0.14298350857901054,0.22794914,0.20580155941984404,0.4210672878932712,0.6010323,0.62830186,0.34319782,0.22202507,0.17659277,0.1335873,0.2110832
0.12869476,0.13680847,0.44788975,0.49315536,0.3707255,0.08776562526593752,0.66549146,0.17794997,0.12110579,0.42913538,0.166771650006299,0.09712826028717397,0.12042424722545483,0.30852127,0.11589209841079015,0.26174515382548463,0.698295,0.70130783,0.28790084,0.12164387,0.087091096,0.13097715,0.21438453
0.23386377,0.20748538,0.61835515,0.7349773,0.6710474,0.4343462260607736,0.87257886,0.5067663,0.13180763,0.6411945,0.06506327390379645,0.14423818557618145,0.13060474783628487,0.2050869,0.2623058737694126,0.4613217838678216,0.6236352,0.650411,0.38821775,0.28850538,0.24997365,0.16016535,0.24970949
0.33324507,0.33042696,0.56539047,0.6077708,0.51256603,0.3114745786884747,0.77956104,0.17548162,0.19492733,0.4057473,0.2529131351747881,0.2538180346181965,0.07487023449221407,0.15646198,0.31436756856324316,0.23186751681324833,0.8323237,0.7889721,0.4676865,0.34404242,0.32043198,0.32904455,0.36993164
0.34784934,0.3993354,0.53346175,0.5503108,0.40598902,0.24305701458342088,0.71846557,0.037750572,0.21341309,0.24789327,0.31254626875277614,0.30666872933312705,0.04177421550645293,0.15272202,0.3341490665850933,0.10096155590384441,0.8850011,0.8935285,0.50525635,0.35622895,0.3054165,0.379891,0.45150822
0.16678748,0.11039431,0.5568727,0.71377695,0.68160325,0.41796686507801195,0.8613918,0.6463325,0.1494236,0.7142034,0.028510084710605083,0.12352417764758224,0.2017707321062439,0.24128573,0.20375508962449101,0.5865655413434459,0.54148895,0.5119206,0.32782194,0.21778312,0.18440345,0.083536595,0.122993454
0.033430055,0.074387975,0.3363778,0.45954883,0.31165472,0.05811430848685851,0.6464878,0.21413678,0.035752714,0.4108116,0.11848143710888623,0.03548369945163005,0.09032038541922313,0.331429,0.08738510126148986,0.4312873368712663,0.688752,0.65765667,0.27404094,0.061409794,0.036620237,0.057813227,0.14945829
0.07390886,0.12026964,0.45528704,0.5127326,0.37657425,0.05103581006214861,0.6740903,0.1751709,0.09148294,0.4529903,0.1327811679668701,0.09319188068081193,0.11276743676604621,0.3345788,0.1114508548549145,0.30469029953097004,0.7018039,0.7256994,0.28893426,0.09489699,0.032924384,0.11023854,0.22127253
0.06300363,0.1359694,0.47512293,0.53246325,0.41305894,0.05646632938797976,0.6898624,0.18195081,0.06944004,0.46532828,0.1055368263322096,0.09709235029076496,0.0819706349182381,0.32131428,0.12321077767892223,0.3418244358175564,0.71304876,0.73700535,0.2954313,0.103775665,0.026586749,0.10603841,0.21236667
0.069585666,0.14968476,0.47250557,0.5305445,0.42813787,0.06498127389887642,0.6900509,0.19109821,0.082428604,0.46641433,0.12404582744274965,0.08997132500286749,0.08733600924016055,0.3097843,0.13728183627181637,0.3339585366041463,0.7348405,0.74131143,0.31681162,0.101404354,0.046862,0.11279462,0.2235156
0.41108465,0.32761246,0.64116323,0.75512165,0.68516034,0.5406664324399859,0.90941477,0.35881317,0.18824056,0.5592977,0.18523147111388827,0.2396574060342594,0.10207141012428461,0.12005169,0.37818686218131375,0.3909541909045809,0.8294444,0.69597405,0.53472954,0.45789063,0.44351682,0.32813844,0.34033558
0.2201097,0.22414272,0.5922869,0.6357659,0.60236526,0.31172081870324914,0.7894407,0.45207113,0.21548483,0.5619657,0.1690625801437548,0.17509923249007675,0.1961621717697303,0.2830481,0.24971311502868848,0.403936019606398,0.63185203,0.65753156,0.36109453,0.23076607,0.22518587,0.18930833,0.27158266
0.074180044,0.11330495,0.46747065,0.5216324,0.3706067,0.06323378379402703,0.67274994,0.20485455,0.096646845,0.46871907,0.13917746835064812,0.08095061190493881,0.14260471855628312,0.35602078,0.11785321221467877,0.3093970390602961,0.6579959,0.7105277,0.28404996,0.084826484,0.03410773,0.10681383,0.22614287
0.5312056,0.60521996,0.66124034,0.6406151,0.49345347,0.40820630449237827,0.7386222,0.07569006,0.38869727,0.20869747,0.489739299384358,0.5453657454634254,0.15323743919424637,0.12155718,0.5203484979651501,0.05387671461232854,0.8992433,0.9480255,0.63429993,0.5250091,0.46682718,0.5741009,0.6364313
0.09700251,0.17271341,0.46592343,0.50212103,0.38157058,0.03540008012400481,0.6638841,0.12600744,0.088722914,0.39349145,0.14611886876713212,0.1210824128917587,0.06544727392683644,0.29910332,0.1301210669878933,0.2727000727299927,0.77163845,0.7801701,0.31369302,0.11489866,0.04912398,0.14388917,0.24585842
0.119894266,0.15887052,0.4638238,0.51330614,0.36773512,0.0839188300351298,0.69049746,0.13336328,0.09400833,0.4042181,0.1385729683143781,0.08729113127088688,0.06001446060086764,0.27200735,0.13527409647259034,0.22238575776142422,0.73896927,0.7620437,0.3252388,0.13877657,0.08480304,0.14956248,0.2478344
0.060055032,0.06566119,0.40063006,0.499658,0.37209266,0.12358378741502725,0.65696,0.32326365,0.16245112,0.4907835,0.14431319865879194,0.07529487247051274,0.1988297819297869,0.41053838,0.09477144052285594,0.3926248207375179,0.5586459,0.5829127,0.25620246,0.09316852,0.06031362,0.07510919,0.15585248
0.068120755,0.15230341,0.4650464,0.51243293,0.40691584,0.03096063585763815,0.6723449,0.12854561,0.07180369,0.43331486,0.13191016791461008,0.1212398578760142,0.06448233386894003,0.32530078,0.12518178748182127,0.3385425661457434,0.75633657,0.76229346,0.30717522,0.11012052,0.02920673,0.116174266,0.22910222
