data,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,actual
1.16,113.0,127.68999999999998,131.07999999999998,119.78,2040.0
1.16,293.0,266.63,339.88,310.58000000000004,1600.0
1.16,132.0,108.24,153.11999999999998,132.0,243.0
1.16,60.0,54.6,69.6,60.0,240.0
0.94,16.0,16.0,15.04,16.0,33.0
1.0,4.0,4.0,4.0,4.84,43.0
1.0,6.9,6.9,6.9,6.9,8.0
0.94,22.0,20.02,20.68,34.32,1075.0
0.94,30.0,30.0,28.2,36.3,423.0
0.94,29.0,23.78,27.26,45.24,321.0
0.94,32.0,26.24,30.08,49.92,218.0
0.94,37.0,30.34,34.78,39.22,201.0
0.94,25.0,25.0,23.5,26.5,79.0
0.94,3.0,3.0,2.82,4.68,60.0
0.94,3.9,4.406999999999999,3.666,4.134,61.0
1.0,6.1,6.1,6.1,9.516,40.0
1.0,3.6,2.952,3.6,5.6160000000000005,9.0
1.16,320.0,320.0,371.2,387.2,11400.0
1.08,1150.0,1046.5,1242.0,1391.5,6600.0
1.08,299.0,245.18,322.92,361.79,6400.0
1.16,252.0,252.0,292.32,287.28,2455.0
1.0,118.0,96.76,118.0,125.08,724.0
1.0,77.0,63.13999999999999,77.0,81.62,539.0
1.0,90.0,116.1,90.0,95.4,453.0
1.16,38.0,38.0,44.08,40.28,523.0
1.0,48.0,48.0,48.0,50.88,387.0
0.94,9.4,9.4,8.836,11.374,88.0
1.08,13.0,13.0,14.04,15.73,98.0
1.0,2.14,2.7606,2.14,2.14,7.3
1.0,1.98,2.5542,1.98,1.98,5.9
1.08,62.0,50.84,66.96000000000001,96.72,1063.0
1.08,390.0,319.79999999999995,421.2000000000001,390.0,702.0
1.08,42.0,34.44,45.36,65.52,605.0
1.08,23.0,23.0,24.840000000000003,23.0,230.0
0.94,13.0,11.83,12.22,15.73,82.0
1.05,15.0,15.0,15.75,15.0,55.0
0.94,60.0,49.2,56.4,63.6,47.0
1.0,15.0,13.65,15.0,15.0,12.0
1.0,6.2,5.084,6.2,6.2,8.0
0.94,3.0,2.46,2.82,3.0,8.0
0.94,5.3,4.345999999999999,4.981999999999999,5.3,6.0
1.04,45.5,45.5,47.32,48.23,45.0
1.04,28.6,28.6,29.744000000000003,34.606,83.0
1.04,30.6,30.6,31.824,37.026,87.0
1.04,35.0,35.0,36.4,37.1,106.0
1.04,73.0,73.0,75.92,77.38000000000001,126.0
0.94,23.0,18.86,21.62,23.0,36.0
0.94,464.0,422.24,436.16,464.0,1272.0
1.0,91.0,91.0,91.0,91.0,156.0
1.0,24.0,24.0,24.0,29.04,176.0
1.0,10.0,10.0,10.0,10.0,122.0
0.94,8.2,8.2,7.707999999999999,8.692,41.0
0.94,5.3,5.3,4.981999999999999,6.412999999999999,14.0
0.94,4.4,3.608,4.136,4.664000000000001,20.0
0.94,6.3,5.166,5.922,6.3,18.0
0.94,27.0,24.57,25.38,32.67,958.0
0.94,17.0,17.0,15.98,20.57,237.0
0.94,25.0,20.5,23.5,30.25,130.0
0.94,23.0,23.0,21.62,24.380000000000003,70.0
0.94,6.7,7.571,6.298,7.102,57.0
0.94,28.0,28.0,26.32,28.0,50.0
0.94,9.1,7.461999999999999,8.553999999999998,11.011,38.0
0.94,10.0,8.2,9.4,10.0,15.0
