size_D,duration_D,t07,MI_size_D_duration_D,MI_size_D_t07,MI_size_D_t11,MI_size_D_t09,MI_size_D_nlan,MI_size_D_t02,MI_size_D_t08,MI_duration_D_t07,effort_D
562,14,4,7868,2248,1124,1686,562,1686,2248,56,1062
647,16,4,10352,2588,2588,2588,1941,1941,3235,64,7871
130,5,2,650,260,520,520,390,390,260,10,845
254,8,2,2032,508,1016,1016,508,762,762,16,2330
1056,16,3,16896,3168,5280,4224,3168,2112,5280,48,21272
383,12,4,4596,1532,1149,1532,766,1149,1149,48,4224
345,12,2,4140,690,1380,1380,1380,1035,690,24,2826
209,27,3,5643,627,627,1045,418,627,1045,81,7320
366,24,4,8784,1464,1098,1464,366,1098,1830,96,9125
1181,54,4,63774,4724,2362,3543,2362,3543,5905,216,11900
181,13,2,2353,362,362,543,362,543,905,26,4300
739,21,3,15519,2217,1478,2217,739,2217,2217,63,4150
108,7,1,756,108,432,432,216,216,432,7,900
48,10,2,480,96,240,192,144,144,192,20,583
249,19,3,4731,747,747,996,498,747,1245,57,2565
371,11,3,4081,1113,742,1855,742,1484,1113,33,4047
211,13,4,2743,844,422,844,211,633,844,52,1520
1849,32,4,59168,7396,7396,7396,7396,1849,9245,128,25910
2482,38,5,94316,12410,12410,12410,9928,7446,9928,190,37286
434,40,4,17360,1736,1736,1736,1736,868,2170,160,15052
292,29,3,8468,876,876,1460,876,876,1168,87,11039
2954,14,4,41356,11816,14770,11816,11816,11816,8862,56,18500
304,14,4,4256,1216,912,1520,304,912,1216,56,9369
353,28,2,9884,706,706,1412,353,1059,1412,56,7184
567,16,4,9072,2268,2835,2835,2268,1134,2268,64,10447
467,13,3,6071,1401,1401,1868,1401,1401,1401,39,5100
3368,45,4,151560,13472,13472,13472,10104,10104,16840,180,63694
253,4,2,1012,506,506,1012,506,759,1012,8,1651
196,10,2,1960,392,392,392,588,784,588,20,1450
185,12,3,2220,555,555,555,740,740,925,36,1745
387,6,3,2322,1161,1548,1935,774,1548,1548,18,1798
430,28,4,12040,1720,1290,1290,860,1290,2150,112,2957
204,6,3,1224,612,408,612,408,816,816,18,963
71,6,2,426,142,213,284,71,213,213,12,1233
840,6,4,5040,3360,2520,4200,2520,1680,4200,24,3240
1648,11,5,18128,8240,6592,8240,6592,3296,4944,55,10000
1035,8,5,8280,5175,4140,5175,4140,2070,3105,40,6800
548,22,3,12056,1644,1644,1644,548,1644,2192,66,3850
2054,31,3,63674,6162,10270,8216,6162,6162,8216,93,14000
302,26,3,7852,906,906,906,604,906,1208,78,5787
1172,22,4,25784,4688,4688,4688,3516,2344,2344,88,9700
253,7,3,1771,759,759,1012,253,759,759,21,1100
227,14,3,3178,681,681,1135,454,908,681,42,5578
59,6,2,354,118,177,236,177,177,177,12,1060
299,6,3,1794,897,1495,1196,1196,897,1196,18,5279
422,15,3,6330,1266,1688,2110,422,1266,1266,45,8117
1058,9,5,9522,5290,3174,4232,3174,4232,3174,45,8710
65,9,4,585,260,195,260,195,130,260,36,796
390,26,4,10140,1560,1560,1950,1170,1950,1950,104,11023
193,13,2,2509,386,579,579,386,772,386,26,1755
1526,28,3,42728,4578,6104,6104,6104,4578,4578,84,5931
575,13,4,7475,2300,2300,2300,1150,1725,1150,52,4456
509,13,3,6617,1527,1018,2036,509,1527,2036,39,3600
583,12,2,6996,1166,1166,1166,1749,2332,1749,24,4557
315,14,4,4410,1260,945,1260,630,945,1575,56,8752
138,12,3,1656,414,276,552,276,552,414,36,3440
257,9,3,2313,771,1028,1028,771,1028,1028,27,1981
423,30,4,12690,1692,1269,1692,423,1269,2115,120,13700
495,20,3,9900,1485,1485,2475,1485,990,1485,60,7105
622,16,3,9952,1866,2488,2488,2488,1866,2488,48,6816
204,12,4,2448,816,1020,1020,408,612,1020,48,4620
616,15,3,9240,1848,3080,3080,2464,1848,3080,45,7451
3634,33,4,119922,14536,18170,18170,10902,14536,10902,132,39479
