AFP,Added,N_effort,MI_N_effort_PDR_AFP,MI_N_effort_NPDU_UFP,MI_AFP_PDR_AFP,Effort
1587.0,1502.0,7490.0,35203.0,37450.0,7458.900000000001,7490
260.0,51.0,4150.0,66400.0,68890.0,4160.0,4150
152.0,163.0,668.0,2939.2000000000003,2738.8,668.8000000000001,668
252.0,69.0,3901.0,49932.8,67487.3,3225.6000000000004,3238
292.0,0.0,3607.0,37152.100000000006,42201.9,3007.6000000000004,2994
83.0,0.0,1606.0,25856.6,29711.0,1336.3000000000002,1333
79.0,0.0,1936.0,39300.8,48593.600000000006,1603.7,1607
97.0,120.0,1158.0,13780.2,11232.6,1154.3,1158
116.0,81.0,1498.0,16028.6,19474.0,1241.1999999999998,1243
52.0,0.0,4063.0,263282.4,358762.9,3369.6,3372
465.0,460.0,10200.0,223380.0,226440.0,10183.5,10200
67.0,25.0,2053.0,52146.2,70212.6,1701.8,1704
199.0,214.0,3034.0,40352.2,43082.8,2646.7000000000003,2640
176.0,168.0,3348.0,63612.0,66625.2,3344.0,3348
391.0,38.0,814.0,1383.8,1953.6,664.6999999999999,676
263.0,176.0,911.0,3188.5,3188.5,920.5,911
42.0,52.0,2496.0,148262.4,119808.0,2494.8,2496
190.0,160.0,1171.0,7260.2,6791.8,1178.0,1171
245.0,19.0,3532.0,50860.8,59690.8,3528.0,3532
77.0,0.0,525.0,2992.5,3937.5,438.9,436
355.0,0.0,1095.0,2847.0,3394.5,923.0,909
3156.0,28.0,10957.0,31775.3,44923.7,9152.4,9094
46.0,28.0,344.0,2580.0,2236.0,345.0,344
56.0,53.0,296.0,1568.8,1657.6,296.8,296
106.0,35.0,4220.0,139260.0,187368.0,3498.0,3503
71.0,31.0,296.0,1036.0,1154.4,248.5,246
306.0,306.0,2082.0,14157.6,14157.6,2080.8,2082
244.0,244.0,191.0,152.8,152.8,195.2,191
98.0,114.0,3583.0,108564.9,112506.2,2969.4,2974
331.0,312.0,395.0,395.0,513.5,331.0,328
101.0,112.0,406.0,1624.0,1461.6,404.0,406
192.0,198.0,2151.0,20004.300000000003,23445.9,1785.6,1785
60.0,39.0,471.0,3720.9,3297.0,474.0,471
180.0,153.0,700.0,2730.0,2660.0,702.0,700
118.0,38.0,698.0,3420.2000000000003,4048.4,578.2,579
73.0,6.0,1459.0,24219.4,29617.7,1211.8000000000002,1211
143.0,14.0,1372.0,10976.0,13994.4,1144.0,1139
2190.0,1825.0,16690.0,110154.0,151879.0,14454.0,14520
9.0,5.0,239.0,6357.400000000001,5712.099999999999,239.4,239
203.0,201.0,1520.0,9424.0,11552.0,1258.6,1262
162.0,157.0,1754.0,18943.2,19644.8,1749.6,1754
183.0,181.0,1824.0,15139.2,18422.4,1518.9,1514
59.0,6.0,804.0,9085.2,11336.4,666.7,667
412.0,412.0,5864.0,83268.8,83268.8,5850.4,5864
348.0,10.0,1172.0,3281.6,4219.2,974.4,973
2529.0,2056.0,5333.0,11199.3,13865.8,5310.900000000001,5333
250.0,164.0,1775.0,12602.5,15265.0,1775.0,1775
206.0,100.0,246.0,246.0,295.2,206.0,204
617.0,377.0,3793.0,19344.3,25792.4,3146.7,3148
173.0,177.0,10501.0,529250.4,622709.2999999999,8719.199999999999,8716
286.0,265.0,1464.0,7466.4,8052.0,1458.6,1464
52.0,20.0,1636.0,42699.600000000006,52515.600000000006,1357.2,1358
45.0,59.0,281.0,1742.2,1348.8,279.0,281
104.0,0.0,2796.0,62350.8,78288.0,2319.2000000000003,2321
465.0,431.0,4884.0,42490.8,47863.2,4045.5,4054
2145.0,2234.0,2400.0,2640.0,2640.0,2359.5,2400
283.0,292.0,5650.0,113000.0,109045.0,5660.0,5650
109.0,47.0,1837.0,25718.0,31780.1,1526.0,1525
160.0,74.0,575.0,1725.0,2070.0,480.0,477
65.0,54.0,606.0,4666.2,5757.0,500.5,503
366.0,260.0,10205.0,235735.5,292883.5,8454.6,8470
63.0,16.0,937.0,11525.1,14898.3,774.9000000000001,778
309.0,381.0,2597.0,21814.8,17659.6,2595.6,2597
610.0,575.0,950.0,1520.0,1615.0,976.0,950
562.0,502.0,5727.0,58415.4,65287.8,5732.4,5727
156.0,146.0,2458.0,32199.8,41294.4,2043.6,2040
75.0,40.0,4430.0,217070.0,261813.0,3675.0,3677
136.0,0.0,687.0,2885.4,3709.8,571.2,570
96.0,119.0,4530.0,57531.0,172593.0,1219.1999999999998,1223
78.0,78.0,1084.0,13550.0,15067.6,975.0,976
51.0,20.0,466.0,3541.6,3867.8,387.6,387
1092.0,1300.0,5320.0,21280.0,21812.0,4368.0,4416
134.0,134.0,345.0,724.5,897.0,281.40000000000003,286
75.0,0.0,367.0,1504.6999999999998,1945.1,307.5,305
88.0,36.0,155.0,232.5,294.5,132.0,129
3088.0,544.0,4266.0,5972.4,5972.4,4323.2,4266
82.0,100.0,440.0,2376.0,1936.0,442.8,440
110.0,18.0,1362.0,16888.8,17978.399999999998,1364.0,1362
308.0,236.0,2533.0,20770.6,17984.3,2525.6,2533
143.0,172.0,225.0,360.0,292.5,228.8,225
826.0,396.0,11045.0,148003.0,151316.5,11068.4,11045
3460.0,2756.0,32760.0,311220.0,360360.0,32870.0,32760
73.0,80.0,2475.0,69547.5,76477.5,2051.3,2054
64.0,11.0,252.0,982.8,957.6,249.6,252
497.0,454.0,2362.0,11337.6,10156.6,2385.6,2362
288.0,99.0,2963.0,25185.5,28148.5,2448.0,2459
494.0,494.0,8706.0,153225.6,153225.6,8694.400000000001,8706
130.0,14.0,770.0,4543.0,4774.0,767.0,770
204.0,229.0,8111.0,322817.8,287129.4,8119.2,8111
17.0,17.0,762.0,34137.6,34137.6,761.5999999999999,762
60.0,71.0,164.0,377.2,377.2,138.0,136
73.0,56.0,431.0,2111.9,2801.5,357.70000000000005,358
169.0,169.0,580.0,1624.0,1972.0,473.2,481
1351.0,1173.0,3842.0,9220.8,11141.8,3242.4,3189
2087.0,2046.0,22500.0,243000.00000000003,247500.0,22539.6,22500
253.0,252.0,12601.0,583426.2999999999,627529.7999999999,11713.9,11719
102.0,102.0,244.0,439.2,585.6,183.6,183
115.0,53.0,1786.0,23039.4,30897.800000000003,1483.5,1482
288.0,300.0,1251.0,5379.3,5254.2,1238.4,1251
199.0,0.0,1136.0,5339.2,6816.0,935.3,943
163.0,155.0,3234.0,53361.0,67590.59999999999,2689.5,2684
97.0,16.0,729.0,5467.5,4228.2,727.5,729
439.0,105.0,3630.0,30129.000000000004,31581.0,3643.7,3630
3113.0,3113.0,42080.0,458672.0,568080.0,33931.700000000004,34085
153.0,143.0,3283.0,61392.1,75509.0,2861.1,2856
670.0,146.0,6936.0,59649.6,74908.8,5762.0,5757
129.0,0.0,631.0,3091.9,2587.1,632.1,631
329.0,206.0,2184.0,14414.4,11793.6,2171.4,2184
5684.0,4943.0,21014.0,77751.8,90360.2,21030.8,21014
61.0,72.0,502.0,3413.6,3514.0,414.8,417
267.0,70.0,2683.0,26830.0,21464.0,2670.0,2683
218.0,227.0,6665.0,169291.0,195951.0,5537.2,5532
919.0,884.0,5801.0,30165.2,38286.6,4778.8,4815
66.0,28.0,296.0,1095.2,1480.0,244.2,246
54.0,0.0,827.0,10502.9,13149.3,685.8,686
245.0,299.0,870.0,1653.0,2523.0,465.5,470
54.0,0.0,476.0,3474.8,4379.2,394.2,395
151.0,111.0,1241.0,8935.2,11789.5,1087.2,1080
103.0,105.0,1396.0,18985.6,18566.8,1400.8,1396
300.0,138.0,2933.0,28743.4,30796.5,2940.0,2933
249.0,58.0,4551.0,83283.3,83283.3,4556.7,4551
224.0,6.0,3613.0,48414.2,60337.1,3001.6,2999
1984.0,1613.0,2540.0,3302.0,4064.0,2579.2000000000003,2540
58.0,0.0,31.0,12.4,15.5,23.200000000000003,26
56.0,0.0,540.0,4320.0,5508.0,448.0,448
244.0,257.0,1092.0,4040.4,4586.400000000001,902.8,906
12.0,10.0,211.0,3713.6,3418.2,211.2,211
1416.0,376.0,1724.0,2068.8,2586.0,1699.2,1724
67.0,71.0,1821.0,42975.600000000006,46617.600000000006,1581.2,1584
