rely,data,cplx,stor,turn,acap,pcap,sced,loc,MI_loc_time,MI_loc_cplx,actual
0.6303878,0.1959231017553861,0.293272,0.4306543,0.11905815,0.3431942,0.14922604,0.8132465,0.22735374,0.36839032,0.4510469848953015,0.28399837
0.35171354,0.25252161515129695,0.22124466,0.32147413,0.30312285,0.61890006,0.48183075,0.8155133,0.14399853,0.10070295,0.303741809625819,0.24927324
0.27183098,0.2202042732122564,0.15826002,0.2505386,0.20873803,0.53704137,0.45855412,0.5790006,0.14949319,0.14153674,0.2690942030905797,0.14902547
0.29733402,0.12070107724206464,0.19330463,0.16894153,0.09233293,0.24572232,0.28345412,0.33025134,0.5041005,0.446096,0.6692234830776517,0.49338755
0.3479972,0.09487998569279915,0.118130475,0.22255288,0.07423812,0.32026434,0.28735805,0.5081227,0.34010816,0.2557899,0.5105251189474881,0.37258488
0.47113168,0.06807526408451585,0.10094744,0.34717378,0.10073508,0.42788988,0.27549776,0.7466636,0.149528,0.20802133,0.3515588248441175,0.19326213
0.20304267,0.46613847796830865,0.2741777,0.21504003,0.3588414,0.5884998,0.5548248,0.5486547,0.17301995,0.11918233,0.21560305843969416,0.21937087
0.3293401,0.15948346956900816,0.06584734,0.26782733,0.13753216,0.4702175,0.3561126,0.64681715,0.19495113,0.14549214,0.31589608841039113,0.18538089
0.38894787,0.2180735630844138,0.1377298,0.2816567,0.15237798,0.55637836,0.46015233,0.76652515,0.10004648,0.1629506,0.2510755148924485,0.15385512
0.40286842,0.12058873723532425,0.17665717,0.3826457,0.26159257,0.6264081,0.46309915,0.8112653,0.09326533,0.14585851,0.2586129041387096,0.15368715
0.26477996,0.20278798216727895,0.16054395,0.23349479,0.20070884,0.4843159,0.40594584,0.5123657,0.18961036,0.15663752,0.3155707984429202,0.21920182
0.5218776,0.28774286726457204,0.2059063,0.41582438,0.24521604,0.48755503,0.28668487,0.80985296,0.14025015,0.18297935,0.37610246238975376,0.14819568
0.32594448,0.08344182100650926,0.10497132,0.26755854,0.11905746,0.46366292,0.38463974,0.604491,0.15815878,0.1687071,0.3067902893209711,0.20169629
0.3577286,0.15027365901641956,0.10340181,0.27880463,0.15660499,0.48006153,0.3516333,0.71961635,0.2304919,0.16548921,0.33538260646173934,0.26776585
