size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,Generated_Var_1,Generated_Var_2,Generated_Var_3,effort_D
562,14,1,4,1,0,1,1,0,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,-105.80246,64.7377,-8.265417,1062
647,16,4,0,1,1,0,3,0,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,-788.91003,383.66907,-56.076553,7871
130,5,4,0,1,1,0,3,0,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,-84.42776,43.189823,-6.442233,845
254,8,1,0,1,1,0,2,0,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,-233.1991,115.61038,-16.941685,2330
1056,16,0,0,1,1,0,3,0,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,-2137.1194,1013.149,-151.06346,21272
383,12,4,0,1,1,0,2,0,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,-423.22687,207.19376,-30.3294,4224
345,12,4,2,1,1,0,4,1,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,-282.61996,141.5376,-20.451836,2826
209,27,4,0,1,1,0,2,0,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,-737.0239,343.39993,-53.304474,7320
366,24,4,0,1,1,0,1,0,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,-917.7442,431.656,-65.6926,9125
1181,54,4,1,2,1,1,2,0,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,-1191.6741,587.1541,-84.863434,11900
181,13,1,0,1,1,0,2,0,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,-432.4901,203.54044,-31.237717,4300
739,21,4,3,1,1,1,1,0,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,-413.12823,215.64122,-29.269615,4150
108,7,0,4,1,1,0,2,0,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,-90.235,44.784367,-6.966034,900
48,10,0,3,1,1,0,3,0,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,-58.761967,28.124731,-4.969907,583
249,19,1,0,1,1,0,2,0,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,-257.04852,126.13579,-18.926212,2565
371,11,4,0,1,1,0,2,0,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,-405.34387,198.57466,-28.997536,4047
211,13,4,0,1,1,0,1,0,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,-151.87218,77.00598,-11.265029,1520
1849,32,4,0,1,1,0,4,1,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,-2598.9111,1253.8342,-183.21318,25910
2482,38,4,0,1,1,0,4,1,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,-3741.2754,1798.1658,-263.64902,37286
434,40,0,2,1,1,0,4,0,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,-1515.3402,706.15857,-108.72504,15052
292,29,4,0,1,1,0,3,0,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,-1111.519,517.1667,-79.8629,11039
2954,14,0,2,1,1,0,4,0,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,-1842.9675,949.19305,-127.63072,18500
304,14,4,2,1,1,0,1,0,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,-942.7965,440.8277,-67.33493,9369
353,28,4,3,1,1,1,1,0,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,-722.3622,342.1958,-51.986183,7184
567,16,4,0,1,1,0,4,1,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,-1049.2731,499.32056,-74.66043,10447
467,13,4,0,1,1,0,3,1,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,-510.88336,250.32796,-36.443657,5100
3368,45,4,0,1,1,0,3,0,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,-6397.802,3041.8281,-450.94803,63694
253,4,0,0,1,1,0,2,1,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,-164.7389,84.28844,-11.899789,1651
196,10,3,2,1,1,0,3,1,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,-145.01164,73.176315,-10.7918005,1450
185,12,1,0,1,1,0,4,0,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,-174.88077,86.298096,-13.097318,1745
387,6,0,0,1,1,0,2,0,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,-178.44768,94.97012,-12.703799,1798
430,28,2,0,1,1,0,2,0,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,-295.2818,150.3427,-21.638569,2957
204,6,4,0,1,1,0,2,0,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,-95.76981,50.900894,-7.128393,963
71,6,4,0,1,1,0,1,0,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,-124.02505,59.077732,-9.273524,1233
840,6,1,2,1,0,1,3,0,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,-321.3392,175.57211,-21.9925,3240
1648,11,4,2,1,0,1,4,0,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,-995.8177,514.7706,-69.268906,10000
1035,8,4,2,1,0,1,4,0,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,-677.9239,347.24347,-47.478775,6800
548,22,0,0,1,1,0,1,0,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,-384.3682,195.32767,-27.59724,3850
2054,31,0,2,1,1,0,3,1,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,-1396.4838,712.5759,-97.71983,14000
302,26,2,0,1,1,0,2,0,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,-581.779,276.07748,-42.11257,5787
1172,22,0,2,1,1,0,3,1,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,-969.7638,485.63275,-68.36026,9700
253,7,1,3,1,0,0,1,0,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,-109.38452,58.615067,-8.012309,1100
227,14,4,0,1,1,0,2,0,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,-561.013,264.00052,-40.377647,5578
59,6,4,0,1,1,0,3,0,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,-106.64222,50.74393,-8.126452,1060
299,6,1,0,1,1,0,4,1,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,-530.30774,252.67216,-38.04165,5279
422,15,0,0,1,1,0,1,0,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,-815.61096,387.2316,-58.20163,8117
