FunctionalSize,ValueAdjustmentFactor,ProjectElapsedTime,DevelopmentType,BusinessAreaType,ClientServer,DevelopmentPlatform,LanguageType,FirstOS,MaxTeamSize,Generated_Var_1,Generated_Var_2,Generated_Var_3,NormalisedWorkEffortLevel1
3,1.09,0.0,0,0,1,0,0,0,8.448507462686567,-1.096377,0.6634991,1.0948334,28
620,1.0379370078740158,7.0,1,0,1,1,1,2,8.448507462686567,-0.38672972,-0.2645816,1.1804687,18160
730,1.14,6.042685887708649,0,0,1,1,1,2,8.448507462686567,-0.38672972,-0.2645816,1.1804687,20975
114,1.18,6.042685887708649,0,0,1,1,1,2,8.448507462686567,-0.38672972,-0.2645816,1.1804687,7290
460,1.0,4.0,0,0,1,1,1,2,5.0,0.5175662,-0.7826929,-0.042408377,2253
7,1.1,1.87,0,0,1,1,2,2,8.448507462686567,-0.38672972,-0.2645816,1.1804687,396
80,1.12,13.7,0,0,0,1,1,1,3.5,-0.38672972,-0.2645816,1.1804687,3199
4,1.0379370078740158,0.1,0,0,0,1,1,1,8.448507462686567,-0.38672972,-0.2645816,1.1804687,145
309,1.0379370078740158,3.0,1,0,0,4,2,3,8.448507462686567,-0.38672972,-0.2645816,1.1804687,2516
69,0.95,9.0,1,0,1,4,1,3,8.448507462686567,-0.38672972,-0.2645816,1.1804687,2915
275,1.23,5.46,0,0,1,4,1,3,8.448507462686567,-0.38672972,-0.2645816,1.1804687,1888
68,1.0379370078740158,3.0,0,0,1,1,1,1,8.448507462686567,-0.38672972,-0.2645816,1.1804687,2710
12,1.11,2.5,0,0,1,1,2,1,8.448507462686567,-0.38672972,-0.2645816,1.1804687,343
702,1.0379370078740158,12.3,1,0,1,3,2,3,8.448507462686567,-0.38672972,-0.2645816,1.1804687,4805
154,1.0,6.0,1,1,1,1,1,1,9.0,-0.38672972,-0.2645816,1.1804687,2408
3,1.0379370078740158,6.042685887708649,0,1,1,1,1,1,8.448507462686567,-0.8717954,0.45961976,1.139606,65
46,1.12,7.0,0,2,1,1,2,1,11.0,-0.38672972,-0.2645816,1.1804687,4063
