Dataset                      Metric                   metric valor    p    k
---------------------------  ---------------------  --------------  ---  ---
../datasets_2/albrecht.arff  MAE                        9.32          1    3
../datasets_2/albrecht.arff  Median Absolute Error      5.36667       1    3
../datasets_2/albrecht.arff  RMSE                      12.0706        1    3
../datasets_2/albrecht.arff  R2 Score                   0.603428      1    3
../datasets_2/albrecht.arff  MAE                        9.32          2    3
../datasets_2/albrecht.arff  Median Absolute Error      5.36667       2    3
../datasets_2/albrecht.arff  RMSE                      12.0706        2    3
../datasets_2/albrecht.arff  R2 Score                   0.603428      2    3
../datasets_2/albrecht.arff  MAE                        6.745         1    4
../datasets_2/albrecht.arff  Median Absolute Error      3.2           1    4
../datasets_2/albrecht.arff  RMSE                      10.3487        1    4
../datasets_2/albrecht.arff  R2 Score                   0.708498      1    4
../datasets_2/albrecht.arff  MAE                        6.745         2    4
../datasets_2/albrecht.arff  Median Absolute Error      3.2           2    4
../datasets_2/albrecht.arff  RMSE                      10.3487        2    4
../datasets_2/albrecht.arff  R2 Score                   0.708498      2    4
../datasets_2/albrecht.arff  MAE                        5.124         1    5
../datasets_2/albrecht.arff  Median Absolute Error      3.84          1    5
../datasets_2/albrecht.arff  RMSE                       5.87684       1    5
../datasets_2/albrecht.arff  R2 Score                   0.905994      1    5
../datasets_2/albrecht.arff  MAE                        5.124         2    5
../datasets_2/albrecht.arff  Median Absolute Error      3.84          2    5
../datasets_2/albrecht.arff  RMSE                       5.87684       2    5
../datasets_2/albrecht.arff  R2 Score                   0.905994      2    5
../datasets_2/albrecht.arff  MAE                        6.60333       1    6
../datasets_2/albrecht.arff  Median Absolute Error      4.18333       1    6
../datasets_2/albrecht.arff  RMSE                       8.42071       1    6
../datasets_2/albrecht.arff  R2 Score                   0.806997      1    6
../datasets_2/albrecht.arff  MAE                        6.60333       2    6
../datasets_2/albrecht.arff  Median Absolute Error      4.18333       2    6
../datasets_2/albrecht.arff  RMSE                       8.42071       2    6
../datasets_2/albrecht.arff  R2 Score                   0.806997      2    6
../datasets_2/albrecht.arff  MAE                        8.59429       1    7
../datasets_2/albrecht.arff  Median Absolute Error      5.65714       1    7
../datasets_2/albrecht.arff  RMSE                      10.9837        1    7
../datasets_2/albrecht.arff  R2 Score                   0.671631      1    7
../datasets_2/albrecht.arff  MAE                        8.18857       2    7
../datasets_2/albrecht.arff  Median Absolute Error      5.65714       2    7
../datasets_2/albrecht.arff  RMSE                      10.6899        2    7
../datasets_2/albrecht.arff  R2 Score                   0.688962      2    7
../datasets_2/albrecht.arff  MAE                        9.6775        1    8
../datasets_2/albrecht.arff  Median Absolute Error      5.9375        1    8
../datasets_2/albrecht.arff  RMSE                      12.8033        1    8
../datasets_2/albrecht.arff  R2 Score                   0.553816      1    8
../datasets_2/albrecht.arff  MAE                        8.97          2    8
../datasets_2/albrecht.arff  Median Absolute Error      5.9375        2    8
../datasets_2/albrecht.arff  RMSE                      12.6438        2    8
../datasets_2/albrecht.arff  R2 Score                   0.564865      2    8
../datasets_2/albrecht.arff  MAE                       10.6733        1    9
../datasets_2/albrecht.arff  Median Absolute Error      6.55556       1    9
../datasets_2/albrecht.arff  RMSE                      14.4878        1    9
../datasets_2/albrecht.arff  R2 Score                   0.428691      1    9
../datasets_2/albrecht.arff  MAE                       10.2           2    9
../datasets_2/albrecht.arff  Median Absolute Error      4.18889       2    9
../datasets_2/albrecht.arff  RMSE                      14.3112        2    9
../datasets_2/albrecht.arff  R2 Score                   0.442534      2    9
../datasets_2/kemerer.arff   MAE                       76.1667        1    3
../datasets_2/kemerer.arff   Median Absolute Error     71.2333        1    3
../datasets_2/kemerer.arff   RMSE                      87.671         1    3
../datasets_2/kemerer.arff   R2 Score                  -0.24015       1    3
../datasets_2/kemerer.arff   MAE                       76.1667        2    3
../datasets_2/kemerer.arff   Median Absolute Error     71.2333        2    3
../datasets_2/kemerer.arff   RMSE                      87.671         2    3
../datasets_2/kemerer.arff   R2 Score                  -0.24015       2    3
../datasets_2/kemerer.arff   MAE                       64.25          1    4
../datasets_2/kemerer.arff   Median Absolute Error     60.1           1    4
../datasets_2/kemerer.arff   RMSE                      78.0596        1    4
../datasets_2/kemerer.arff   R2 Score                   0.0168611     1    4
../datasets_2/kemerer.arff   MAE                       64.25          2    4
../datasets_2/kemerer.arff   Median Absolute Error     60.1           2    4
../datasets_2/kemerer.arff   RMSE                      78.0596        2    4
../datasets_2/kemerer.arff   R2 Score                   0.0168611     2    4
../datasets_2/kemerer.arff   MAE                      121.067         1    5
../datasets_2/kemerer.arff   Median Absolute Error    131.8           1    5
../datasets_2/kemerer.arff   RMSE                     126.583         1    5
../datasets_2/kemerer.arff   R2 Score                  -1.58532       1    5
../datasets_2/kemerer.arff   MAE                      121.067         2    5
../datasets_2/kemerer.arff   Median Absolute Error    131.8           2    5
../datasets_2/kemerer.arff   RMSE                     126.583         2    5
../datasets_2/kemerer.arff   R2 Score                  -1.58532       2    5
../datasets_2/kemerer.arff   MAE                      103.489         1    6
../datasets_2/kemerer.arff   Median Absolute Error    104.702         1    6
../datasets_2/kemerer.arff   RMSE                     103.756         1    6
../datasets_2/kemerer.arff   R2 Score                  -0.736973      1    6
../datasets_2/kemerer.arff   MAE                      103.489         2    6
../datasets_2/kemerer.arff   Median Absolute Error    104.702         2    6
../datasets_2/kemerer.arff   RMSE                     103.756         2    6
../datasets_2/kemerer.arff   R2 Score                  -0.736973      2    6
../datasets_2/kemerer.arff   MAE                       85.7671        1    7
../datasets_2/kemerer.arff   Median Absolute Error     85.7443        1    7
../datasets_2/kemerer.arff   RMSE                      86.3417        1    7
../datasets_2/kemerer.arff   R2 Score                  -0.202828      1    7
../datasets_2/kemerer.arff   MAE                       97.7814        2    7
../datasets_2/kemerer.arff   Median Absolute Error     85.7443        2    7
../datasets_2/kemerer.arff   RMSE                     101.201         2    7
../datasets_2/kemerer.arff   R2 Score                  -0.652472      2    7
../datasets_2/kemerer.arff   MAE                       81.3129        1    8
../datasets_2/kemerer.arff   Median Absolute Error     62.6125        1    8
../datasets_2/kemerer.arff   RMSE                      85.5712        1    8
../datasets_2/kemerer.arff   R2 Score                  -0.181458      1    8
../datasets_2/kemerer.arff   MAE                       82.6462        2    8
../datasets_2/kemerer.arff   Median Absolute Error     62.6125        2    8
../datasets_2/kemerer.arff   RMSE                      87.4365        2    8
../datasets_2/kemerer.arff   R2 Score                  -0.233525      2    8
../datasets_2/kemerer.arff   MAE                       65.7448        1    9
../datasets_2/kemerer.arff   Median Absolute Error     50.5111        1    9
../datasets_2/kemerer.arff   RMSE                      73.3375        1    9
../datasets_2/kemerer.arff   R2 Score                   0.13221       1    9
../datasets_2/kemerer.arff   MAE                       65.7448        2    9
../datasets_2/kemerer.arff   Median Absolute Error     50.5111        2    9
