Dataset                   Metric                   metric valor
------------------------  ---------------------  --------------
datasets_2/albrecht.arff  MAE                        12.2867
datasets_2/albrecht.arff  Median Absolute Error       7.36667
datasets_2/albrecht.arff  RMSE                       18.8929
datasets_2/albrecht.arff  R2 Score                    0.718945
datasets_2/albrecht.arff  MAE                        12.34
datasets_2/albrecht.arff  Median Absolute Error       7.36667
datasets_2/albrecht.arff  RMSE                       18.9022
datasets_2/albrecht.arff  R2 Score                    0.718668
datasets_2/albrecht.arff  MAE                        15.35
datasets_2/albrecht.arff  Median Absolute Error       7.975
datasets_2/albrecht.arff  RMSE                       24.4588
datasets_2/albrecht.arff  R2 Score                    0.528952
datasets_2/albrecht.arff  MAE                        15.315
datasets_2/albrecht.arff  Median Absolute Error       7.8
datasets_2/albrecht.arff  RMSE                       24.4476
datasets_2/albrecht.arff  R2 Score                    0.529387
datasets_2/albrecht.arff  MAE                        16.864
datasets_2/albrecht.arff  Median Absolute Error       7.68
datasets_2/albrecht.arff  RMSE                       27.1599
datasets_2/albrecht.arff  R2 Score                    0.419168
datasets_2/albrecht.arff  MAE                        17.244
datasets_2/albrecht.arff  Median Absolute Error       7.68
datasets_2/albrecht.arff  RMSE                       27.1987
datasets_2/albrecht.arff  R2 Score                    0.41751
datasets_2/albrecht.arff  MAE                        17.3933
datasets_2/albrecht.arff  Median Absolute Error       4.65
datasets_2/albrecht.arff  RMSE                       29.4675
datasets_2/albrecht.arff  R2 Score                    0.316279
datasets_2/albrecht.arff  MAE                        17.65
datasets_2/albrecht.arff  Median Absolute Error       5.93333
datasets_2/albrecht.arff  RMSE                       29.5135
datasets_2/albrecht.arff  R2 Score                    0.31414
datasets_2/albrecht.arff  MAE                        18.7886
datasets_2/albrecht.arff  Median Absolute Error       5.52857
datasets_2/albrecht.arff  RMSE                       31.2002
datasets_2/albrecht.arff  R2 Score                    0.233506
datasets_2/albrecht.arff  MAE                        18.1943
datasets_2/albrecht.arff  Median Absolute Error       3.58571
datasets_2/albrecht.arff  RMSE                       31.0313
datasets_2/albrecht.arff  R2 Score                    0.241784
datasets_2/albrecht.arff  MAE                        19.4125
datasets_2/albrecht.arff  Median Absolute Error       4.4875
datasets_2/albrecht.arff  RMSE                       32.622
datasets_2/albrecht.arff  R2 Score                    0.162057
datasets_2/albrecht.arff  MAE                        19.4125
datasets_2/albrecht.arff  Median Absolute Error       4.4875
datasets_2/albrecht.arff  RMSE                       32.622
datasets_2/albrecht.arff  R2 Score                    0.162057
datasets_2/albrecht.arff  MAE                        20.9644
datasets_2/albrecht.arff  Median Absolute Error       5.85556
datasets_2/albrecht.arff  RMSE                       34.158
datasets_2/albrecht.arff  R2 Score                    0.0812897
datasets_2/albrecht.arff  MAE                        20.9644
datasets_2/albrecht.arff  Median Absolute Error       5.85556
datasets_2/albrecht.arff  RMSE                       34.158
datasets_2/albrecht.arff  R2 Score                    0.0812897
datasets_2/kemerer.arff   MAE                        84.2333
datasets_2/kemerer.arff   Median Absolute Error     105.967
datasets_2/kemerer.arff   RMSE                      100.566
datasets_2/kemerer.arff   R2 Score                   -0.220452
datasets_2/kemerer.arff   MAE                        84.2333
datasets_2/kemerer.arff   Median Absolute Error     105.967
datasets_2/kemerer.arff   RMSE                      100.566
datasets_2/kemerer.arff   R2 Score                   -0.220452
datasets_2/kemerer.arff   MAE                        95.95
datasets_2/kemerer.arff   Median Absolute Error     119.675
datasets_2/kemerer.arff   RMSE                      112.694
datasets_2/kemerer.arff   R2 Score                   -0.532563
datasets_2/kemerer.arff   MAE                        95.95
datasets_2/kemerer.arff   Median Absolute Error     119.675
datasets_2/kemerer.arff   RMSE                      112.694
datasets_2/kemerer.arff   R2 Score                   -0.532563
datasets_2/kemerer.arff   MAE                        84.3467
datasets_2/kemerer.arff   Median Absolute Error     112.94
datasets_2/kemerer.arff   RMSE                       97.7962
datasets_2/kemerer.arff   R2 Score                   -0.154148
datasets_2/kemerer.arff   MAE                        96.3
datasets_2/kemerer.arff   Median Absolute Error     125.38
datasets_2/kemerer.arff   RMSE                      112.662
datasets_2/kemerer.arff   R2 Score                   -0.5317
datasets_2/kemerer.arff   MAE                        85.5444
datasets_2/kemerer.arff   Median Absolute Error     115.783
datasets_2/kemerer.arff   RMSE                      100.286
