size_D,duration_D,app,dba,ifc,telonuse,t01,t02,t03,t05,t06,t07,t08,t10,t11,t12,t13,t14,effort_D
0.20099404,0.13856205,0.05570776242922375,0.062498033,0.13196162319616234,0.64923126,0.101977795,0.33278036,0.13490013650998633,0.21678383300702997,0.36664572199874335,0.1184976818497682,0.07251744,0.7026192,0.1694376,0.27808517,0.14754277885256672,0.17570996,0.22292423
0.18429114,0.14412233,0.052189299781070016,0.11153722,0.15724001572400156,0.6659466,0.19779107,0.36464673,0.2309124569087543,0.29413975764838546,0.39961167397670044,0.13365028336502832,0.104158744,0.7101488,0.18799971,0.3552317,0.18808991128539468,0.17418379,0.22306515
0.24480179,0.13794777,0.07636315236368475,0.04582405,0.11115153111515312,0.6279458,0.09766039,0.2047298,0.0692469130753087,0.21459348287560898,0.3065937983956279,0.1099538909953891,0.08089967,0.6959982,0.18505956,0.23701644,0.10638154238289255,0.26817322,0.2849867
0.19909084,0.27097872,0.20666082933391705,0.1362294,0.12211654821165482,0.47580498,0.17930558,0.09540349,0.21533620846637913,0.09067771544066293,0.08082817984969079,0.18681816868181686,0.2089069,0.5106262,0.08390094,0.07462117,0.11284709677082581,0.007914841,0.26853704
0.13170582,0.1913026,0.22130932786906718,0.2746032,0.27761292776129276,0.5612538,0.36639538,0.44960207,0.41738103826189615,0.15703934942236097,0.331518849891131,0.24946480494648052,0.24563424,0.5376185,0.18117557,0.30850637,0.2911675174700511,0.22001326,0.14664228
0.36577404,0.24748564,0.19622990037700996,0.094855785,0.297823849782385,0.5403311,0.2623286,0.37681592,0.2326096367390363,0.3805823528349412,0.33258183995491036,0.20216184021618402,0.19793315,0.54452735,0.30533725,0.28740942,0.2480392048823523,0.47829986,0.38624334
0.11662179,0.07423107,0.0403506559649344,0.11349183,0.16395799639579964,0.7222921,0.18654308,0.4009493,0.2119935788006421,0.1960501817630109,0.45500358730021523,0.1193134619313462,0.0866041,0.75898975,0.16541152,0.39905685,0.2227779733666784,0.17073303,0.11167256
0.1469526,0.113539204,0.059628138037186196,0.070866644,0.10108397410839741,0.6523416,0.090390354,0.27262837,0.11587999841200015,0.18931637135898227,0.34382459062947546,0.12436602743660274,0.07344045,0.7707128,0.12724026,0.26845658,0.17615415056924902,0.13223082,0.20258735
0.11108193,0.0021393895,0.061219463878053604,0.18318027,0.2202700320270032,0.8095306,0.3001152,0.6044881,0.306533629346637,0.23467446408046785,0.6231313373878803,0.19654946965494696,0.10723697,0.7926898,0.28864324,0.610088,0.5007917300475038,0.29244775,0.037275642
0.3731173,0.1872082,0.12417906758209322,0.13779408,0.3547487954748796,0.70963544,0.33076575,0.4626673,0.2113766788623321,0.57069983424199,0.5414607824876471,0.24482827448282746,0.16252811,0.76481026,0.5271177,0.46755224,0.36788292207297535,0.5036874,0.35802585
0.14864692,0.12049367,0.05321888067811193,0.009400606,0.04795670979567099,0.6297964,0.06607705,0.18228781,0.10235919476408051,0.1294522677671361,0.282481616948897,0.08167863816786382,0.06993072,0.7410724,0.09436183,0.22377032,0.07596439455786368,0.07347715,0.22828439
0.07878828,0.044005923,0.031000327899967206,0.06818378,0.04225531622553163,0.69590795,0.077649385,0.33945817,0.1682651131734887,0.07302490438149427,0.3809051228543074,0.08282709828270984,0.03935136,0.7536706,0.05652888,0.33320767,0.16036898962213939,0.07199985,0.11787416
0.19011903,0.12321769,0.0399538690046131,0.04936415,0.1494085049408505,0.6932913,0.19292757,0.30143535,0.1693972830602717,0.3052164483129869,0.3992345539540732,0.11312033131203314,0.07653172,0.7818555,0.26090246,0.36346245,0.14966154897969294,0.15233213,0.25611633
0.19466104,0.15518954,0.06418544858145514,0.07635403,0.16727875672787568,0.66031456,0.15550861,0.24160999,0.17533798246620175,0.23314537398872245,0.36880762212845736,0.06703708270370827,0.11447106,0.7647536,0.24066265,0.3017546,0.1357069681424181,0.15357059,0.25576833
0.11178139,0.096967146,0.03340266265973373,0.058214724,0.024611832461183248,0.63469136,0.034532845,0.21952921,0.1317744168225583,0.0817436349046181,0.28913874734832484,0.05705386970538698,0.049577847,0.71971685,0.03135632,0.22483742,0.0809012698540762,0.066541255,0.19324374
0.09771784,0.055763867,0.04112271588772841,0.05201274,0.07314113731411373,0.7021804,0.13238302,0.3568167,0.202817569718243,0.15532157931929474,0.3910329534619772,0.1186904118690412,0.06295909,0.76519895,0.110388055,0.37942427,0.21461130287667818,0.08593547,0.13350648
0.22982705,0.13149521,0.05208913479108652,0.05765897,0.09582847958284796,0.63212556,0.06364587,0.2044326,0.06509619349038065,0.18290413097424787,0.30656756839405414,0.08064515206451521,0.064075395,0.6970998,0.1567495,0.22232854,0.06447226386833584,0.23783445,0.2729308
0.43022254,0.28765056,0.20611726938827304,0.15928102,0.3483592948359295,0.5611791,0.25950506,0.32011825,0.20214915978508402,0.49301197958071874,0.3770365926221956,0.2187567218756722,0.2081768,0.56615657,0.44379067,0.2796209,0.3156424389385463,0.59357035,0.47326344
0.15485846,0.16862325,0.099936010006399,0.10101664,0.19748567974856798,0.6191158,0.2050204,0.37318468,0.27556360244363975,0.2529128951747737,0.39407249364434965,0.17542313754231376,0.1386628,0.69316745,0.13576947,0.35093606,0.25104738506284313,0.18457341,0.20672768
0.15142407,0.14710726,0.06423450357654963,0.074346244,0.09509111450911145,0.6096825,0.12313643,0.3026371,0.20613593938640606,0.17851157071069426,0.31367751882065115,0.11640234164023416,0.09309213,0.67637396,0.09179796,0.24334222,0.13061350783681047,0.118269086,0.21804817
