N_effort,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Effort
7490.0,83.62333,-61.705814,47.50486,-13.9802265,-282.1268,7490
4150.0,55.072807,-46.254314,32.31183,-10.175156,-192.5746,4150
668.0,7.346083,-5.823976,4.4442286,-1.3155572,-25.188433,668
3901.0,50.656418,-42.75512,29.442604,-9.519047,-176.57254,3238
3607.0,52.32257,-43.92453,30.705967,-9.664625,-182.92905,2994
1606.0,22.47138,-18.644226,13.267137,-4.128222,-78.22012,1333
1936.0,26.259758,-22.61446,14.565741,-5.34623,-89.89358,1607
1158.0,15.261279,-12.529113,9.065908,-2.7848713,-52.948452,1158
1498.0,19.369638,-16.453535,10.931682,-3.8479416,-66.41578,1243
4063.0,54.681335,-48.789326,27.897394,-12.392725,-183.23137,3372
10200.0,126.24807,-106.54841,73.871,-23.38755,-442.199,10200
2053.0,27.048874,-23.662186,14.561547,-5.7509904,-91.7928,1704
3034.0,37.752716,-32.01812,21.675291,-7.2549376,-130.90576,2640
3348.0,42.144413,-35.3024,24.762947,-7.7752366,-147.23242,3348
814.0,18.415396,-11.714512,10.71426,-1.3731635,-58.593506,676
911.0,12.16365,-9.905043,7.2572026,-2.2098517,-42.0845,911
2496.0,33.434135,-27.923725,19.677025,-6.1583314,-116.6839,2496
1171.0,14.046052,-11.499665,8.356336,-2.5592854,-48.68642,1171
3532.0,49.32324,-41.383736,28.954662,-9.107851,-172.40984,3532
525.0,8.544979,-6.8395877,5.144263,-1.5381107,-29.39318,436
1095.0,21.63743,-17.930487,12.788936,-3.968486,-75.310745,909
10957.0,149.62958,-138.72401,105.932526,-34.052536,-539.94836,9094
344.0,5.1821012,-3.990821,3.1806817,-0.9138537,-17.59896,344
296.0,3.7705348,-2.7039058,2.3428464,-0.6374195,-12.544345,296
4220.0,54.634834,-48.720207,28.614258,-12.019365,-184.7823,3503
296.0,4.596478,-3.494727,2.838737,-0.8051438,-15.5450735,246
2082.0,23.873373,-19.8246,14.0945,-4.3835497,-83.15259,2082
191.0,5.6160426,2.3358133,4.9931293,6.4925156,-10.633908,191
3583.0,44.658142,-40.076435,23.014969,-10.038141,-150.16872,2974
395.0,7.126467,6.4113007,1.1991831,1.222398,-13.530482,328
406.0,4.156491,-2.8058832,2.5363054,-0.67130417,-13.61382,406
2151.0,26.645908,-22.767555,15.000086,-5.300203,-91.61674,1785
471.0,6.7315574,-5.303399,4.0854087,-1.201482,-23.033182,471
