size_D,duration_D,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,effort_D
562.0,14.0,-67.00367,49.73924,203.32059,25.39451,-97.5332,210.51006,-175.46048,-169.04991,-319.22885,1062
647.0,16.0,-454.96277,365.38718,1399.6254,201.2361,-730.20544,1427.9498,-1197.3907,-1218.4349,-2210.025,7871
130.0,5.0,-50.18277,40.40439,153.27617,21.478683,-79.4226,156.06807,-131.60161,-131.82529,-241.56685,845
254.0,8.0,-135.75793,109.13181,416.64978,59.20697,-216.91809,424.88123,-357.01126,-361.4304,-657.64246,2330
1056.0,16.0,-1221.0305,983.7198,3770.126,550.6033,-1972.7366,3845.22,-3219.5027,-3293.5483,-5953.0894,21272
383.0,12.0,-244.9283,196.72867,752.7702,107.81813,-392.49966,767.8927,-644.316,-654.47485,-1188.4875,4224
345.0,12.0,-164.90283,132.13428,505.16418,71.314,-262.58273,515.41315,-433.10553,-437.65088,-797.5638,2826
209.0,27.0,-419.70963,339.9797,1299.8971,191.9438,-681.7706,1324.5089,-1108.8063,-1137.1212,-2052.1814,7320
366.0,24.0,-523.5758,422.96515,1619.1172,237.68285,-848.1739,1650.6086,-1381.9972,-1415.3004,-2556.4966,9125
1181.0,54.0,-688.57025,551.71844,2115.7148,301.62125,-1102.1683,2159.5928,-1811.7175,-1839.5172,-3342.1226,11900
181.0,13.0,-247.28369,200.08585,764.5882,112.20365,-400.48975,779.0799,-652.65515,-667.8732,-1206.8876,4300
739.0,21.0,-243.2227,193.23836,741.7397,102.02655,-383.17578,757.68787,-637.4044,-639.2967,-1171.3306,4150
108.0,7.0,-53.022755,42.996796,162.7576,23.166582,-84.6584,165.5433,-139.45003,-140.50122,-256.59982,900
48.0,10.0,-34.59513,28.440716,106.68548,15.525714,-55.75698,108.230865,-91.284935,-92.179085,-168.12386,583
249.0,19.0,-149.21074,120.216576,458.80203,65.60529,-239.21239,467.69876,-392.86728,-398.4361,-724.3674,2565
371.0,11.0,-234.60356,188.51433,721.1647,103.27038,-375.9699,735.61346,-617.2871,-626.9593,-1138.5571,4047
211.0,13.0,-89.346664,71.78782,273.70074,38.480442,-142.06697,278.95636,-234.74475,-236.31935,-431.82843,1520
1849.0,32.0,-1492.0732,1198.4785,4596.1772,664.19714,-2399.918,4689.7515,-3929.4177,-4007.0737,-7258.2017,25910
2482.0,38.0,-2145.035,1723.8236,6611.219,957.58307,-3453.614,6745.4917,-5650.702,-5766.7896,-10440.31,37286
434.0,40.0,-861.74347,697.0164,2668.3125,393.77585,-1399.2363,2719.8176,-2276.0771,-2335.1086,-4213.191,15052
292.0,29.0,-632.07465,511.64636,1957.7472,289.3074,-1026.8461,1995.1665,-1669.6978,-1713.3376,-3090.8743,11039
2954.0,14.0,-1079.3654,856.2859,3292.0127,455.29144,-1703.993,3365.0583,-2827.548,-2846.2556,-5200.11,18500
304.0,14.0,-537.0439,434.2573,1661.7534,244.83345,-871.0481,1693.7689,-1417.6885,-1453.471,-2623.4248,9369
353.0,28.0,-412.93118,333.4584,1276.0946,186.56766,-667.9396,1300.9097,-1089.686,-1114.3137,-2014.8868,7184
567.0,16.0,-600.7699,484.13824,1854.2561,270.25754,-969.85614,1890.966,-1583.854,-1618.6819,-2927.724,10447
467.0,13.0,-295.38412,237.16249,907.9904,130.02834,-473.2815,926.33887,-777.16675,-789.57684,-1433.6711,5100
3368.0,45.0,-3655.8745,2942.9727,11284.6455,1645.4082,-5902.519,11511.023,-9637.749,-9856.222,-17819.375,63694
253.0,4.0,-97.20549,77.76757,296.93677,41.43202,-153.77075,302.8142,-254.82635,-256.13437,-468.246,1651
196.0,10.0,-85.10195,68.38781,260.72125,36.718056,-135.2777,265.69916,-223.52255,-225.21786,-411.30017,1450
185.0,12.0,-102.11964,82.3098,313.40344,44.72767,-163.19717,319.3438,-268.4579,-271.6132,-494.5457,1745
387.0,6.0,-106.96498,84.318565,324.63284,44.084156,-166.49887,332.15955,-279.4603,-278.51044,-512.49255,1798
430.0,28.0,-172.96957,138.34914,529.61835,74.07235,-274.66907,540.4396,-454.4949,-457.71512,-836.3819,2957
204.0,6.0,-57.770267,45.789818,175.38931,23.990488,-90.021935,179.21751,-150.93419,-150.27367,-276.64667,963
71.0,6.0,-71.70937,58.32474,221.35188,32.34885,-115.86826,225.19444,-189.1517,-192.614,-349.06702,1233
840.0,6.0,-193.86314,150.54552,586.6588,78.29937,-297.29526,601.8248,-505.0777,-501.15698,-925.967,3240
1648.0,11.0,-584.6105,463.78998,1782.1298,245.97041,-921.9328,1821.4242,-1531.0006,-1539.3698,-2814.6804,10000
1035.0,8.0,-397.24655,315.8909,1212.4075,168.36911,-628.09326,1238.6901,-1041.0059,-1048.3457,-1914.7224,6800
548.0,22.0,-224.80663,179.51115,687.8293,96.16768,-356.81857,702.19214,-590.2352,-595.00134,-1086.2147,3850
2054.0,31.0,-815.71796,648.82336,2492.196,346.95773,-1291.8911,2546.4424,-2139.2112,-2157.148,-3936.6777,14000
302.0,26.0,-332.97986,268.9268,1028.7223,150.16832,-538.3732,1048.6521,-878.6767,-897.95435,-1624.3472,5787
1172.0,22.0,-563.226,449.72638,1725.6505,243.37971,-896.9336,1762.287,-1479.375,-1497.2954,-2725.6306,9700
253.0,7.0,-66.048904,51.973408,200.31183,27.194523,-102.33512,204.96625,-172.42838,-171.34436,-316.09656,1100
