Dataset                      Metric                   Metric Value    d    n
---------------------------  ---------------------  --------------  ---  ---
../datasets_2/albrecht.arff  MAE                        8.00667       5   11
../datasets_2/albrecht.arff  Median Absolute Error      5.23333       5   11
../datasets_2/albrecht.arff  RMSE                      11.1626        5   11
../datasets_2/albrecht.arff  R2 Score                   0.901887      5   11
../datasets_2/albrecht.arff  MAE                        9.96667       5   12
../datasets_2/albrecht.arff  Median Absolute Error      5.23333       5   12
../datasets_2/albrecht.arff  RMSE                      12.8801        5   12
../datasets_2/albrecht.arff  R2 Score                   0.869373      5   12
../datasets_2/albrecht.arff  MAE                       26.37          5   13
../datasets_2/albrecht.arff  Median Absolute Error     10.5           5   13
../datasets_2/albrecht.arff  RMSE                      35.7795        5   13
../datasets_2/albrecht.arff  R2 Score                  -0.00800222    5   13
../datasets_2/albrecht.arff  MAE                        9.89          5   14
../datasets_2/albrecht.arff  Median Absolute Error      8.2           5   14
../datasets_2/albrecht.arff  RMSE                      12.1857        5   14
../datasets_2/albrecht.arff  R2 Score                   0.883078      5   14
../datasets_2/albrecht.arff  MAE                       17.57          5   15
../datasets_2/albrecht.arff  Median Absolute Error     10.5           5   15
../datasets_2/albrecht.arff  RMSE                      22.0548        5   15
../datasets_2/albrecht.arff  R2 Score                   0.617001      5   15
../datasets_2/albrecht.arff  MAE                        7.67          5   16
../datasets_2/albrecht.arff  Median Absolute Error      4.85          5   16
../datasets_2/albrecht.arff  RMSE                      11.0312        5   16
../datasets_2/albrecht.arff  R2 Score                   0.904185      5   16
../datasets_2/albrecht.arff  MAE                       26.37          5   17
../datasets_2/albrecht.arff  Median Absolute Error     15.9           5   17
../datasets_2/albrecht.arff  RMSE                      36.0112        5   17
../datasets_2/albrecht.arff  R2 Score                  -0.0210982     5   17
../datasets_2/albrecht.arff  MAE                       16.15          5   18
../datasets_2/albrecht.arff  Median Absolute Error     10.5           5   18
../datasets_2/albrecht.arff  RMSE                      21.7533        5   18
../datasets_2/albrecht.arff  R2 Score                   0.627399      5   18
../datasets_2/albrecht.arff  MAE                       24.41          5   19
../datasets_2/albrecht.arff  Median Absolute Error      6.1           5   19
../datasets_2/albrecht.arff  RMSE                      35.4074        5   19
../datasets_2/albrecht.arff  R2 Score                   0.0128543     5   19
../datasets_2/albrecht.arff  MAE                       10.63          5   20
../datasets_2/albrecht.arff  Median Absolute Error      6.5           5   20
../datasets_2/albrecht.arff  RMSE                      13.1151        5   20
../datasets_2/albrecht.arff  R2 Score                   0.864563      5   20
../datasets_2/albrecht.arff  MAE                       17.4367        6   11
../datasets_2/albrecht.arff  Median Absolute Error     10.5           6   11
../datasets_2/albrecht.arff  RMSE                      21.9991        6   11
../datasets_2/albrecht.arff  R2 Score                   0.61893       6   11
../datasets_2/albrecht.arff  MAE                       24.2267        6   12
../datasets_2/albrecht.arff  Median Absolute Error      6.5           6   12
../datasets_2/albrecht.arff  RMSE                      35.4138        6   12
../datasets_2/albrecht.arff  R2 Score                   0.012496      6   12
../datasets_2/albrecht.arff  MAE                        8.54667       6   13
../datasets_2/albrecht.arff  Median Absolute Error      5.23333       6   13
../datasets_2/albrecht.arff  RMSE                      11.6645        6   13
../datasets_2/albrecht.arff  R2 Score                   0.892867      6   13
../datasets_2/albrecht.arff  MAE                        6.93          6   14
../datasets_2/albrecht.arff  Median Absolute Error      2.8           6   14
../datasets_2/albrecht.arff  RMSE                      10.7147        6   14
../datasets_2/albrecht.arff  R2 Score                   0.909603      6   14
../datasets_2/albrecht.arff  MAE                       26.37          6   15
../datasets_2/albrecht.arff  Median Absolute Error     15.9           6   15
../datasets_2/albrecht.arff  RMSE                      36.0112        6   15
../datasets_2/albrecht.arff  R2 Score                  -0.0210982     6   15
../datasets_2/albrecht.arff  MAE                       10.68          6   16
../datasets_2/albrecht.arff  Median Absolute Error      6.5           6   16
../datasets_2/albrecht.arff  RMSE                      13.1341        6   16
../datasets_2/albrecht.arff  R2 Score                   0.864171      6   16
../datasets_2/albrecht.arff  MAE                       24.46          6   17
../datasets_2/albrecht.arff  Median Absolute Error      6.1           6   17
../datasets_2/albrecht.arff  RMSE                      35.4144        6   17
../datasets_2/albrecht.arff  R2 Score                   0.0124626     6   17
../datasets_2/albrecht.arff  MAE                       17.62          6   18
../datasets_2/albrecht.arff  Median Absolute Error     15.9           6   18
../datasets_2/albrecht.arff  RMSE                      22.4397        6   18
../datasets_2/albrecht.arff  R2 Score                   0.603513      6   18
../datasets_2/albrecht.arff  MAE                        9.14          6   19
../datasets_2/albrecht.arff  Median Absolute Error      6.5           6   19
../datasets_2/albrecht.arff  RMSE                      11.6357        6   19
../datasets_2/albrecht.arff  R2 Score                   0.893395      6   19
../datasets_2/albrecht.arff  MAE                       25             6   20
../datasets_2/albrecht.arff  Median Absolute Error     10.5           6   20
../datasets_2/albrecht.arff  RMSE                      35.6015        6   20
../datasets_2/albrecht.arff  R2 Score                   0.00200439    6   20
../datasets_2/albrecht.arff  MAE                       25.0267        7   11
../datasets_2/albrecht.arff  Median Absolute Error     10.5           7   11
../datasets_2/albrecht.arff  RMSE                      35.6053        7   11
../datasets_2/albrecht.arff  R2 Score                   0.00178742    7   11
../datasets_2/albrecht.arff  MAE                       16.2267        7   12
../datasets_2/albrecht.arff  Median Absolute Error     10.5           7   12
../datasets_2/albrecht.arff  RMSE                      21.7711        7   12
../datasets_2/albrecht.arff  R2 Score                   0.626791      7   12
../datasets_2/albrecht.arff  MAE                        8.42667       7   13
../datasets_2/albrecht.arff  Median Absolute Error      5.23333       7   13
../datasets_2/albrecht.arff  RMSE                      11.3483        7   13
../datasets_2/albrecht.arff  R2 Score                   0.898596      7   13
../datasets_2/albrecht.arff  MAE                        9.47          7   14
../datasets_2/albrecht.arff  Median Absolute Error      6.1           7   14
../datasets_2/albrecht.arff  RMSE                      11.9368        7   14
../datasets_2/albrecht.arff  R2 Score                   0.887807      7   14
../datasets_2/albrecht.arff  MAE                       16.77          7   15
../datasets_2/albrecht.arff  Median Absolute Error      8.2           7   15
../datasets_2/albrecht.arff  RMSE                      21.7443        7   15
../datasets_2/albrecht.arff  R2 Score                   0.62771       7   15
