size_D,duration_D,nlan,t07,t11,t14,Generated_Var_2,Generated_Var_3,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_16,Generated_Var_18,Generated_Var_19,effort_D
0.143335192414947,0.2,0.0,0.75,0.0,1.0,0.2147378,-0.19548352,0.17543101,-0.25251845,-0.12912291,0.28909558,0.107248545,0.12800373,0.0075898020947219
0.1670384829894032,0.24,0.6666666666666666,0.75,0.6666666666666666,0.75,0.32213488,-0.29469258,0.23087353,-0.31705555,-0.20171593,0.42050424,0.20788485,0.18202513,0.1154790765476699
0.0228667038482989,0.02,0.6666666666666666,0.25,0.6666666666666666,0.75,0.2934888,-0.27294853,0.2101146,-0.30059236,-0.17578521,0.38678718,0.17861423,0.16398874,0.0041514157595347
0.0574456218627997,0.08,0.3333333333333333,0.25,0.6666666666666666,0.5,0.25813437,-0.24095422,0.19312695,-0.27725276,-0.14946356,0.3415587,0.14509487,0.14557445,0.0276813867630048
0.2810931399888455,0.24,0.6666666666666666,0.5,1.0,0.25,0.29984546,-0.2692387,0.21591547,-0.30261433,-0.18711784,0.3886669,0.18470308,0.16382322,0.3278192391183787
0.0934188510875627,0.16,0.3333333333333333,0.75,0.3333333333333333,0.75,0.29338485,-0.26127028,0.21140736,-0.2954393,-0.18016288,0.37950623,0.17824686,0.16109076,0.0576920029788784
0.0828220858895705,0.16,1.0,0.25,0.6666666666666666,1.0,0.29587632,-0.28226483,0.21980229,-0.30777222,-0.17892711,0.3966196,0.18376672,0.17363152,0.035540555529147
0.0448968209704406,0.46,0.3333333333333333,0.5,0.3333333333333333,0.25,0.31274578,-0.28319615,0.22365835,-0.30950767,-0.1945582,0.40647662,0.1979245,0.17442605,0.1067484273739918
0.0886781929726715,0.4,0.0,0.75,0.3333333333333333,0.25,0.29685777,-0.26330772,0.21072483,-0.29634947,-0.18232667,0.38223726,0.18083593,0.16094184,0.1353488298394891
0.3159509202453988,1.0,0.3333333333333333,0.75,0.0,0.75,0.29033133,-0.2519751,0.202889,-0.28750584,-0.17714557,0.3702917,0.17258996,0.15102997,0.1793189776742564
0.0370886781929726,0.18,0.3333333333333333,0.25,0.0,0.5,0.25475284,-0.22614694,0.19062251,-0.27000198,-0.15202959,0.33047193,0.14175043,0.14028153,0.0588962304511099
0.1926938092582264,0.34,0.0,0.5,0.0,0.0,0.26303887,-0.22410133,0.19511947,-0.26513273,-0.15341367,0.3349077,0.14804748,0.14262208,0.0565194657032846
0.0167317345231455,0.06,0.3333333333333333,0.0,0.6666666666666666,1.0,0.24020782,-0.21598265,0.1901856,-0.2676006,-0.14768001,0.31986013,0.13063532,0.14188617,0.0050228961670707
0.0,0.12,0.6666666666666666,0.25,1.0,0.75,0.2828585,-0.2525453,0.20651743,-0.29437518,-0.17735237,0.3653624,0.16751367,0.15080485,0.0
0.0560513106525376,0.3,0.3333333333333333,0.5,0.3333333333333333,0.75,0.28137982,-0.25046834,0.20562711,-0.28794706,-0.17132613,0.3643878,0.16689852,0.15496951,0.0314049848679311
0.0900725041829336,0.14,0.3333333333333333,0.5,0.0,0.5,0.29278564,-0.256545,0.20442852,-0.29085138,-0.17864406,0.3735503,0.17566267,0.15476058,0.0548874205764446
0.0454545454545454,0.18,0.0,0.75,0.0,0.5,0.2900684,-0.25656936,0.20805731,-0.2920586,-0.17755207,0.37371713,0.17451909,0.15759483,0.0148468571247484
0.5022308979364194,0.56,1.0,0.75,0.6666666666666666,0.5,0.29639223,-0.27337393,0.22375739,-0.30533606,-0.18538514,0.39254585,0.18525651,0.17426959,0.4013088051211357
0.6787506971556051,0.68,1.0,1.0,1.0,0.0,0.3159379,-0.29100445,0.232609,-0.315537,-0.19806457,0.41575292,0.20341179,0.18262053,0.5815626435962035
0.1076408254322364,0.72,1.0,0.75,0.6666666666666666,0.25,0.31213424,-0.2856302,0.22773567,-0.31340522,-0.19656724,0.40868175,0.19854432,0.17613289,0.2292627275752246
0.0680423870607919,0.5,0.6666666666666666,0.5,0.3333333333333333,0.25,0.3012137,-0.27043775,0.21706554,-0.30144656,-0.18614155,0.3908214,0.18642464,0.16705209,0.1656763480217394
0.8103736754043502,0.2,1.0,0.75,1.0,0.5,0.27150083,-0.24490145,0.20301366,-0.282197,-0.16759373,0.35605875,0.15910831,0.15274186,0.2838966265785679
0.071388733965421,0.2,0.0,0.75,0.3333333333333333,0.75,0.30559763,-0.2756679,0.22377297,-0.304555,-0.18897864,0.4016894,0.19074827,0.173213,0.1392150338292849
0.0850529838259899,0.48,0.0,0.25,0.0,0.5,0.26487687,-0.22444081,0.18430611,-0.265166,-0.15852717,0.3322785,0.14702496,0.13321215,0.1045934940026302
0.1447295036252091,0.24,1.0,0.75,1.0,0.25,0.27332905,-0.24805662,0.20816588,-0.28944048,-0.16987815,0.36180866,0.16228944,0.15949598,0.1562960498169891
0.1168432794199665,0.18,0.6666666666666666,0.5,0.3333333333333333,0.5,0.26963875,-0.24283433,0.20459554,-0.2851966,-0.16669959,0.35508388,0.15819916,0.15540104,0.071572309106178
0.9258226436140546,0.82,0.6666666666666666,0.75,0.6666666666666666,0.25,0.29284224,-0.26250285,0.21380186,-0.29673016,-0.18037999,0.3806732,0.17863822,0.16327614,1.0
0.0571667596207473,0.0,0.3333333333333333,0.25,0.0,0.25,0.27795586,-0.2421503,0.19875923,-0.2870413,-0.17114577,0.35686082,0.16054869,0.15070212,0.0169225650045158
0.041271611823759,0.12,0.6666666666666666,0.25,0.0,0.75,0.3030453,-0.28203693,0.21704918,-0.3069468,-0.18381217,0.3992357,0.18848565,0.1706048,0.01373770024243
0.0382041271611823,0.16,1.0,0.5,0.3333333333333333,1.0,0.28554103,-0.25600752,0.20873636,-0.29201823,-0.17435345,0.3712784,0.17120314,0.15858969,0.0184120042464863
0.0945343000557724,0.04,0.3333333333333333,0.5,0.6666666666666666,0.5,0.30458963,-0.26940686,0.20914882,-0.30083263,-0.18933332,0.3905488,0.18654642,0.15939419,0.0192517944573846
0.1065253764640267,0.48,0.3333333333333333,0.75,0.3333333333333333,0.75,0.32404333,-0.29760277,0.22436401,-0.3168476,-0.20002459,0.42133573,0.20763531,0.17842,0.0376162634089144
0.0435025097601784,0.04,0.3333333333333333,0.5,0.0,0.5,0.27899688,-0.24508402,0.20238522,-0.28385594,-0.16954008,0.3584847,0.16398358,0.15094519,0.0060211373611573
0.0064138315672058,0.04,0.0,0.25,0.3333333333333333,0.75,0.29184863,-0.2654253,0.2108992,-0.29720312,-0.17717732,0.38135412,0.17715362,0.1622483,0.0102993139072427
