TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Effort
0.5895816,0.4204616,0.41262287,0.18616779,0.5188875,0.348559,0.6675064,0.8682612,0.46328366,0.471051,0.44178152,0.5079447,0.3403963
0.41069508,0.53999317,0.5552949,0.17552812,0.5170787,0.33497825,0.64446616,0.87905335,0.47115064,0.5201038,0.47265193,0.5644537,0.34256467
0.10409193,0.51160735,0.6220862,0.17995638,0.3701924,0.28936946,0.55369675,0.8208585,0.6058234,0.41111124,0.39518496,0.42627686,0.30044255
0.11670131,0.34297663,0.61962235,0.1530816,0.17589983,0.21107271,0.24441925,0.573571,0.65414166,0.19828716,0.19550289,0.041751474,0.25579715
0.34837914,0.4171561,0.5547464,0.17421317,0.39129344,0.2683711,0.65153754,0.5222468,0.572232,0.37676358,0.36462128,0.36510485,0.21186224
0.15760484,0.1705923,0.5495554,0.13313152,0.25328782,0.1752826,0.49464932,0.6698345,0.7031801,0.22304752,0.30229592,0.36399037,0.21829742
0.32390136,0.30775985,0.68536675,0.13191104,0.4077706,0.24928077,0.6245593,0.85133874,0.5726653,0.43389434,0.45382324,0.5725058,0.27073103
0.83964825,0.4570698,0.56941634,0.16751485,0.4002502,0.24333403,0.36032006,0.8804164,0.48465866,0.45274436,0.47873244,0.42295045,0.15667668
0.7207284,0.6566948,0.35624284,0.1381569,0.511443,0.29942346,0.67782444,0.84745,0.41162157,0.5330961,0.48811093,0.5686472,0.34613755
0.45725775,0.8745207,0.58471036,0.32021376,0.5715271,0.44215536,0.5549331,0.73037845,0.28272277,0.65480083,0.6022439,0.52885795,0.4097007
0.7208411,0.25949058,0.51388454,0.18238695,0.32181776,0.22746107,0.6025772,0.81010777,0.4886964,0.43329474,0.4795867,0.56619215,0.24091393
0.51755536,0.9484485,0.17890853,0.14118616,0.053458005,0.17752238,0.1603876,0.8812778,0.54809225,0.48497397,0.38060856,0.5153609,0.088720486
0.35123423,0.91318387,0.42229968,0.05436954,0.35364634,0.18035494,0.4163555,0.71610093,0.5965565,0.40340778,0.37249142,0.3346827,0.19434288
0.046353005,0.56849223,0.6152767,0.19139679,0.20710799,0.25540695,0.3202316,0.73399353,0.6207611,0.33138126,0.3111409,0.25840062,0.25090152
0.7792038,0.36272186,0.5497178,0.16224197,0.4985096,0.29171157,0.58188,0.8098904,0.46730465,0.45168704,0.46950626,0.40469772,0.2636771
0.14765975,0.51417464,0.26396686,0.05493538,0.28471398,0.17313652,0.459791,0.51730454,0.6690624,0.19446242,0.17377512,0.12725991,0.22119153
0.35274607,0.84745675,0.4281411,0.073293924,0.19577311,0.14059271,0.07892715,0.65973675,0.614711,0.27868074,0.25545436,0.1824016,0.11170531
0.14321525,0.19529511,0.44692335,0.122823045,0.19759464,0.18564396,0.32513785,0.6733343,0.7279705,0.17229715,0.22462617,0.1829871,0.18208626
0.26680514,0.761871,0.4224813,0.15902655,0.49860814,0.31318867,0.74899524,0.7950456,0.4463147,0.5122289,0.4487699,0.5931403,0.41650134
0.09752962,0.3029974,0.24755213,0.3812418,0.24287438,0.33215976,0.5733497,0.899819,0.7145314,0.29057932,0.3837571,0.55579805,0.40929905
0.7498469,0.36707687,0.7075937,0.23122689,0.39767507,0.29930252,0.57342875,0.6219593,0.48312336,0.4884263,0.48536664,0.44512343,0.24390906
0.60096127,0.36136663,0.4671885,0.1655961,0.47170433,0.28484005,0.6768709,0.84638083,0.49640912,0.44817787,0.45572427,0.5477125,0.29184476
0.89880925,0.5275622,0.5471896,0.4047948,0.41958004,0.4344351,0.7356994,0.36741146,0.3508368,0.5542265,0.5036668,0.45254844,0.2159843
0.882638,0.5605452,0.67170966,0.5962355,0.70167005,0.6084322,0.4538672,0.80033195,0.28676504,0.69374615,0.6935916,0.661362,0.5080143
0.7885123,0.8719005,0.55746955,0.61423534,0.5953478,0.63495624,0.5824946,0.53260016,0.18412347,0.7543396,0.6958283,0.5958081,0.41666377
0.52467376,0.7561578,0.38112712,0.129937,0.34367895,0.2436123,0.4905507,0.60585487,0.46806186,0.42175114,0.40004447,0.34706938,0.1605217
0.6836252,0.7516697,0.36001533,0.124204144,0.21606043,0.22434212,0.21625972,0.8882613,0.43636328,0.49692458,0.42359838,0.46349716,0.12537496
0.15546477,0.32464623,0.63278735,0.10519698,0.34532452,0.24620833,0.476157,0.81051886,0.5832792,0.33789313,0.3517137,0.37131226,0.2431806
0.37325233,0.59365106,0.1851587,0.1735133,0.32173502,0.25691086,0.5346712,0.80873674,0.54968345,0.35326216,0.34446064,0.35458565,0.3009703
0.73727936,0.9434186,0.6156484,0.8864059,0.9106915,0.8928046,0.5473328,0.7399535,0.058842123,0.93021244,0.91108537,0.87665385,0.8106676
0.7569567,0.6621135,0.32853556,0.2112968,0.5566378,0.37120974,0.8198097,0.9113842,0.41030157,0.5957556,0.5597687,0.7168997,0.44479707
0.19866678,0.9257594,0.46825325,0.22526497,0.4251541,0.3105684,0.7132271,0.810593,0.4429,0.5609591,0.47687238,0.6074558,0.40840334
0.86701035,0.9077755,0.533869,0.48486876,0.5315967,0.527906,0.6004629,0.54465437,0.26275748,0.7157399,0.6474314,0.57010263,0.30093104
0.18566741,0.840235,0.71387434,0.18825492,0.45592725,0.31712693,0.5061827,0.7341133,0.43606275,0.5607767,0.4894925,0.4963507,0.28786892
0.57460755,0.84793407,0.333126,0.30775052,0.5935397,0.43752605,0.8436056,0.8581768,0.31681532,0.6535215,0.6166239,0.763364,0.6039326
0.14559253,0.49424464,0.50767356,0.05660007,0.27678713,0.167616,0.41903192,0.51841605,0.6256837,0.25720125,0.23813629,0.16759068,0.17171046
0.8064718,0.6816042,0.51023084,0.2425431,0.34389344,0.32469425,0.57623416,0.34730896,0.37700826,0.46654359,0.38673094,0.28450596,0.11442971
0.4219293,0.30238146,0.27908427,0.26353,0.32323834,0.28832623,0.65462446,0.84256774,0.5846266,0.32077637,0.4046743,0.5052096,0.35201657
0.73642457,0.8980774,0.47220734,0.19357336,0.3201151,0.27036187,0.17825948,0.82846117,0.46498162,0.5196118,0.45899186,0.4011243,0.13565147
0.179089,0.9320528,0.5041394,0.16040091,0.30947912,0.23069757,0.48287603,0.71930766,0.5688657,0.44453943,0.40379906,0.4183061,0.24780205
0.61199474,0.8935006,0.5499712,0.68007034,0.82179046,0.7575554,0.66377157,0.7740438,0.109003246,0.85420763,0.8229841,0.8188954,0.78110796
0.16448152,0.8885571,0.6165489,0.15034433,0.3260467,0.22948836,0.43285945,0.7000586,0.49839485,0.4737916,0.42203826,0.34066564,0.23452456
0.6573051,0.62368774,0.6882405,0.21430424,0.47288266,0.35149845,0.4331719,0.83843625,0.34902114,0.5827105,0.52425706,0.49787933,0.29303777
0.8571459,0.60112506,0.6676984,0.5837214,0.71437657,0.63246506,0.4464343,0.79020804,0.26580375,0.70199066,0.68055534,0.62601644,0.53949535
