ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Effort
0.6865275,0.15551133,0.29846066,0.16540034,0.08875704,0.19819877,0.2802952,0.1957185,0.3562101,0.41241136,0.27891308,0.24708943,0.268198,0.1642116,0.5156312,0.5832071,0.5227251,0.07790504,0.4305988,0.73337555,0.31609404,0.31121933,0.49600416,0.3350582,0.3140874,0.09316239,0.4332199,0.08899617
0.666808,0.3640724,0.38005656,0.27984938,0.37685394,0.35294497,0.5931541,0.29783428,0.6233705,0.22621012,0.31928977,0.31842014,0.3265472,0.28843683,0.07751959,0.5317335,0.21874583,0.45648822,0.57279885,0.80911285,0.21483517,0.39233053,0.36189657,0.21581602,0.29036665,0.09865689,0.31058288,0.49473307
0.6144406,0.8322303,0.8935926,0.9251493,0.7770799,0.3612828,0.5053516,0.78810847,0.56127167,0.6998044,0.15584639,0.16075116,0.03987398,0.09567143,0.22169107,0.56264794,0.4718187,0.40937322,0.4697016,0.7297843,0.19303417,0.14717066,0.18835282,0.3999262,0.50832915,0.20278344,0.61444736,0.4528557
0.616232,0.16101333,0.25047645,0.1724142,0.18521254,0.23502597,0.31425643,0.19872425,0.31694543,0.5779643,0.2242505,0.21942036,0.2009345,0.175891,0.07205632,0.5790864,0.35634658,0.13125908,0.3570668,0.65310097,0.28836954,0.22149983,0.46496552,0.43061447,0.44012976,0.17758366,0.5229304,0.15081787
0.6486592,0.17533948,0.27862924,0.15688424,0.37755868,0.15736552,0.39701784,0.13913572,0.49159247,0.5874881,0.39675844,0.36664754,0.43799585,0.3976736,0.065505646,0.7193586,0.442613,0.33768216,0.4675756,0.79812396,0.19882405,0.2052342,0.39869767,0.34787464,0.37378645,0.0949094,0.4291625,0.36225915
0.48008716,0.051021203,0.18760028,0.10838782,0.12846155,0.122973636,0.18349585,0.12685737,0.33649352,0.23044276,0.14379002,0.15949513,0.15594757,0.14880818,0.051096484,0.49931467,0.16235763,0.07235695,0.2080658,0.46822914,0.4824642,0.20161554,0.4602763,0.5496197,0.6235657,0.36988154,0.5785873,0.074644774
0.54409635,0.39588463,0.5037948,0.38062695,0.3990414,0.33241534,0.32764578,0.34747657,0.6192544,0.5560592,0.12452752,0.14904743,0.117169514,0.106360376,0.069490485,0.6034655,0.20035046,0.1669322,0.2969309,0.56353384,0.3176669,0.21068099,0.36493593,0.49915814,0.5335283,0.30411854,0.60485077,0.17750159
0.6412194,0.092318654,0.18007149,0.14082447,0.29720762,0.07097095,0.17734635,0.09968926,0.5066524,0.39905927,0.10045642,0.13646615,0.08414126,0.09464447,0.055079073,0.6098753,0.17577823,0.056757227,0.2000341,0.5333353,0.32964194,0.23074114,0.5627634,0.5120611,0.5012839,0.24447384,0.5621128,0.09902507
0.65502745,0.18143879,0.34490657,0.10790797,0.11377059,0.24517813,0.5543553,0.168253,0.5381915,0.4276727,0.19331948,0.17815346,0.18190324,0.13284455,0.41616592,0.51389635,0.28348756,0.0949551,0.40498644,0.74503297,0.31499732,0.24706599,0.4868136,0.3891914,0.413213,0.07776341,0.49854946,0.13419408
0.38901192,0.09665336,0.20096584,0.060131308,0.32428104,0.16354722,0.22755218,0.1557782,0.34755516,0.4149806,0.16662252,0.17958957,0.18541922,0.17261067,0.04754279,0.49119523,0.14112478,0.08987366,0.12239142,0.33966675,0.57548296,0.19403866,0.35632616,0.5976434,0.6615181,0.5276711,0.6628642,0.098346926
