PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,effort_D
0.09079615631199632,0.6375391033371557,0.2589812996459875,0.5942187142354499,0.33215400247242705,0.4794311326370238
0.19588323419716952,0.5504327735570926,0.14538465270098175,0.40557031491309575,0.6136309298211257,0.5336988910561409
0.012411343265094785,0.5855309486436637,0.26730834430624295,0.2773404706866725,0.3152069384029715,0.4078161874767476
0.017234330270782694,0.5535807415527155,0.28803171651814286,0.20879985206160578,0.38170318293174726,0.3985448136361996
0.13627660898622812,0.27981280948341836,0.21235304555262677,0.44574809904838775,0.3156170571049267,0.288225474271534
0.05614692812548133,0.4908963360888718,0.2543071815059031,0.5139833125517338,0.6731153285653354,0.4261433703790002
0.020999367075416442,0.5463729940405815,0.37641528096778576,0.20959695231965111,0.4111828167315912,0.3758658502753628
0.0025203051495549106,0.4968288485368706,0.14951946198709046,0.3089733218128745,0.32945202938847473,0.402476001468004
0.008996298059828683,0.5317415370609495,0.2555604466371514,0.2687108028453049,0.40990315990396115,0.4040418853268013
0.04139617205571927,0.3740908095966735,0.1289483768191018,0.36287187548442523,0.29341276358480184,0.3463131332877903
0.40064185971448557,0.5604898797810155,0.1492107783910958,0.35523723367005977,0.6400512933428603,0.6601577199022116
0.05795907056258242,0.49580035177574366,0.2317972213578066,0.48317130635853284,0.6220012122810366,0.4217439292506491
0.09257642354756243,0.5337559544807697,0.2722393040368779,0.5714465151867715,0.6754505945665101,0.4479059454809939
0.058332616966105415,0.416225658588541,0.18043710283154385,0.47379016383636163,0.5141433878514974,0.3928636087980575
0.292508389712286,0.6116035263137359,0.03153080779710263,0.2192757548702245,0.28686713452927404,0.6519681395010524
0.014954508106896358,0.5580476039352883,0.33320501557899485,0.25293092636214787,0.4131909688764849,0.3966960721565148
0.34279627859190576,0.13641622935591513,0.5275331559776572,0.5487874811255352,0.3171065825692213,0.1497275953281048
0.035771716562176675,0.48195556372768406,0.23723860969152247,0.44998833888177636,0.581095432076512,0.413040859161116
0.07414937626465141,0.5895142230305027,0.1932512026478554,0.5045434719045814,0.364168129626241,0.4676159979202346
0.05978428105820748,0.49490816138474086,0.24787808853815052,0.5094194944083126,0.6696947582196549,0.4287390684707352
0.738526879988385,0.6098213764551103,0.20612652587071195,0.24542476072208416,0.594961440206612,0.848154399443928
0.041310079414285494,0.4681339010383296,0.21155675214573716,0.4752075210061233,0.5745330197802234,0.4039271902926612
0.03981151498212218,0.42747413836066517,0.19511981781633758,0.4194890232734646,0.5059815895232769,0.393983073725017
