rely,data,cplx,time,stor,virt,acap,aexp,pcap,modp,sced,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_aexp_data,actual
0.35266215,-0.12671174,0.42588842,0.3418887,0.52165025,0.24504207,0.055776544,0.1270695,0.07670215,0.25205755,0.027279146,-0.14376755,-0.06381259,0.1652761,-0.14694352,-0.050482552
0.5003566,-0.31816205,0.56705606,0.5796213,0.85788035,0.4664511,0.11319424,0.2345526,0.094136655,0.32852656,0.015808277,-0.24745306,-0.16179645,0.2728167,-0.29530996,-0.17569588
0.15212971,0.0073013753,0.59380394,0.31887752,0.40920734,-0.020549022,0.101373024,0.022413764,0.03558235,0.12520117,-0.018464528,-0.117965765,0.0046436638,0.22241639,-0.1317645,-0.079898104
0.32435197,-0.10428159,0.4224484,0.34604272,0.5365049,0.21672148,0.07307779,0.12728758,0.050788194,0.27179483,0.0181778,-0.12820178,-0.0787368,0.16868742,-0.16699433,-0.09426552
0.103766,0.06466141,0.44934428,0.16094062,0.23923254,-0.1342851,0.12576365,0.14732887,0.10949941,0.1740193,0.014580935,-0.05659896,0.017620796,0.10479711,-0.07984815,0.0002558641
0.42793095,-0.14148684,0.46174443,0.41483143,0.6317165,0.40625462,0.074751124,0.16938801,0.12960681,0.305787,0.04946941,-0.16136542,-0.07810611,0.19155374,-0.1755175,-0.07892217
0.329813,-0.09314452,0.4463646,0.33508602,0.500539,0.12827905,0.0033074282,0.06349771,0.0065987185,0.20894554,0.012889005,-0.116742656,-0.0341516,0.18398798,-0.18341547,-0.086108714
0.95537907,-0.47426206,0.9094935,0.79742277,1.2179525,0.35966268,-0.35190797,-0.31700346,-0.08666769,-0.22814333,-0.1722008,-0.39757064,-0.07783765,0.56707233,-0.61553144,-0.32862207
0.3476671,-0.12887417,0.4668868,0.390397,0.622057,0.3022883,0.14482239,0.21233736,0.115140334,0.32053202,0.036497757,-0.14359581,-0.099871896,0.1688504,-0.1586214,-0.084963664
0.3376062,-0.09823205,0.44420943,0.35971853,0.57107246,0.31490028,0.16117749,0.21872513,0.14089091,0.35306084,0.04782709,-0.1230371,-0.084780835,0.14517987,-0.12303616,-0.05410077
0.31321955,-0.054951012,0.6774219,0.4126663,0.54561144,-0.10310155,0.0028718412,-0.06426218,-0.00015505031,0.059087776,-0.07627136,-0.18465622,-0.0019320324,0.29521945,-0.3004395,-0.14607961
0.3826124,-0.06687048,0.72786695,0.51562256,0.7016428,-0.040371455,-0.030086964,-0.08990395,-0.051078033,-0.0016358495,-0.052363724,-0.20701955,-0.026152201,0.32263097,-0.32249367,-0.21582663
0.34286255,-0.1289195,0.44290367,0.39307383,0.587684,0.2944676,0.12042835,0.1421028,0.107121006,0.2933585,0.05083251,-0.14863186,-0.08179348,0.17791514,-0.1711256,-0.061495926
0.46728116,-0.15823698,0.49491552,0.40874982,0.6114795,0.3561706,-0.051695377,0.044387355,0.08958958,0.12289841,0.029907893,-0.19101481,-0.024521478,0.2461478,-0.2280239,-0.10810462
0.6928913,-0.4243783,0.64128286,0.660013,1.0114398,0.5392699,-0.049449503,0.07479628,0.04749781,0.21927547,-0.042683847,-0.28810206,-0.14192116,0.36080346,-0.42420474,-0.19335824
0.16319494,0.051989123,0.40621483,0.23924913,0.37579137,0.15679374,0.2367766,0.29835773,0.20842351,0.35083067,0.104207456,-0.050850198,-0.03498117,0.11336759,-0.014423162,-0.02566776
0.23001845,0.05842369,0.4446701,0.3102916,0.41019928,0.23008592,0.17971088,0.20666727,0.18366632,0.3719136,0.10479973,-0.07344937,-0.0058993846,0.12482911,-0.053925302,-0.0068556294
0.2516415,-0.13846995,0.46383873,0.4280027,0.62200314,0.30413902,0.26092178,0.38887978,0.14821006,0.44696042,0.083250284,-0.1544473,-0.117052324,0.18561788,-0.15678921,-0.10647102
0.26320678,-0.005346236,0.5668725,0.33859017,0.46900958,0.024570107,0.04114188,-0.0025376081,0.027548213,0.09706527,0.0040809065,-0.12830561,-0.028516255,0.21244384,-0.19591404,-0.12046456
0.5667638,-0.26314813,0.5403679,0.4484478,0.76503974,0.36298397,-0.062386237,-0.01822992,0.038824383,0.07765625,-0.020594,-0.220872,-0.07164921,0.28840703,-0.29527068,-0.17631495
0.27734652,-0.0073665148,0.412739,0.2700656,0.4318392,0.2020546,0.10635483,0.14577031,0.12825552,0.20212063,0.06042087,-0.081677556,-0.03280706,0.15456907,-0.066327825,-0.068663105
0.23289903,0.08074527,0.4321636,0.28846222,0.42213216,0.22874948,0.20254837,0.2169824,0.17538811,0.33927637,0.12675408,-0.06855805,-0.040933363,0.10368678,-0.031687386,-0.042646583
0.13731506,0.10366148,0.41911966,0.29039937,0.3712749,0.13887492,0.2230819,0.2581953,0.15188716,0.3147822,0.13197199,-0.071328685,-0.043801248,0.1130462,-0.04915471,-0.083548814
0.20060478,0.04373263,0.4231206,0.33302757,0.44790497,0.20725536,0.18490523,0.2035286,0.11818832,0.28171924,0.13739339,-0.113990635,-0.06416624,0.15390125,-0.090905264,-0.106903
0.32458347,-0.043271467,0.4926703,0.3357121,0.48959136,0.12190811,0.027538927,0.016787821,0.010624338,0.1229559,0.01217892,-0.12633923,-0.03497313,0.212817,-0.14677137,-0.10865995
0.13540775,0.09993883,0.48001745,0.29582986,0.3860302,0.060623925,0.15336867,0.15117101,0.07495742,0.23367028,0.073819645,-0.08422202,-0.030912824,0.12376,-0.0769762,-0.06846526
0.3164732,-0.1331407,0.45104077,0.38938314,0.5949434,0.30925143,0.19385889,0.26817584,0.13962665,0.3779109,0.05069895,-0.14771244,-0.10137106,0.15973707,-0.13602543,-0.071560785
0.32672858,-0.003286684,0.59194434,0.35836995,0.54453135,-0.008860834,0.0137113035,-0.059610162,-0.0010927841,0.039170086,-0.04619191,-0.16930342,-2.2135675e-05,0.24390341,-0.2123423,-0.15117404
0.40043068,-0.2707563,0.55815244,0.5496483,0.81265795,0.40468088,0.19803093,0.35421547,0.107428074,0.42580062,0.023422841,-0.20452598,-0.16687068,0.23586589,-0.2548068,-0.14584099
0.28390688,-0.15470831,0.48913422,0.4554269,0.63447756,0.32094955,0.21996066,0.29452482,0.1317425,0.42363885,0.060841657,-0.15514517,-0.10094202,0.19796242,-0.18536545,-0.0888156
0.22946338,-0.011973807,0.40701202,0.24875942,0.3872071,0.113698885,0.11038822,0.16685934,0.13526495,0.2513299,0.06683655,-0.0852309,-0.024592329,0.11833212,-0.073650956,-0.016709503
0.18864472,0.1322082,0.43773156,0.23762506,0.34045824,0.15766823,0.21440393,0.23482679,0.22854654,0.32465702,0.1210588,-0.04443838,-0.00587257,0.10020509,0.008255242,-0.01241352
0.25377226,-0.032429576,0.4681801,0.30265123,0.41609824,0.13789,0.061440468,0.04487466,0.073222674,0.13907614,0.024550665,-0.12175013,-0.0052264854,0.19636817,-0.12203963,-0.07193397
