AFP,Enquiry,File,Added,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,N_effort,Effort
0.1475077,0.16685593,0.10108222,0.21017405,0.06042715,0.06715702671570267,0.062302760738165645,0.03144458,0.07474221,0.075795874
0.1411669,0.18765844,0.09468742,0.19475427,0.1874658,0.20479315047931504,0.17136955028217302,0.16066802,0.091599256,0.10022408
0.13779198,0.20291339,0.06569145,0.19025606,0.3085891,0.3186287318628732,0.2931788475907309,0.2782971,0.08118074,0.08151172
0.15668808,0.22114763,0.10583932,0.14186722,0.45091355,0.4692647069264707,0.4413363864801832,0.4379691,0.20732807,0.20166616
0.17425579,0.16482943,0.105910674,0.13546064,0.21045835,0.23337842333784237,0.20771877246312637,0.19675821,0.11235465,0.121529415
0.24699192,0.26666903,0.14399298,0.32092452,0.05789283,0.06531187053118705,0.0533803732028224,0.03759198,0.12143333,0.111771196
0.14449196,0.15143435,0.14264603,0.1994181,0.2481128,0.2604697060469706,0.24137873448272407,0.22979787,0.07940176,0.08455438
0.095553055,0.17449157,0.116492294,0.1568664,0.1672804,0.18299473829947385,0.14936356896181416,0.13668093,0.048066936,0.057143908
0.12912297,0.23918381,0.057223476,0.12009686,0.32755604,0.35370473537047353,0.3166713190002791,0.31232533,0.13703686,0.1398566
0.1482333,0.2085354,0.1949155,0.28326488,0.46003407,0.4245275124527513,0.3761077725664664,0.3367107,0.21803634,0.23165217
0.13790722,0.16508703,0.11886595,0.2284087,0.19982593,0.20371065037106506,0.19018457141107428,0.16943035,0.07467724,0.078728445
0.15351535,0.17371994,0.08556673,0.21518192,0.11496944,0.13215008321500835,0.10351877621112657,0.083627,0.08922146,0.09919362
0.5708712,0.5596851,0.5210367,0.714931,0.09226561,0.10459228045922805,0.09770588586235315,0.075980134,0.269445,0.2682387
0.16565555,0.18237764,0.114103064,0.25061685,0.13045664,0.13416358341635837,0.12312238738734325,0.0952463,0.10691889,0.112788856
0.2469385,0.32193026,0.2477466,0.27462995,0.08992556,0.10544722054472205,0.08965017537901053,0.07169492,0.09961487,0.1028703
0.17485617,0.15995719,0.14126393,0.21435872,0.07199862,0.0792516879251688,0.06576829394609764,0.0462412,0.049672287,0.053887032
