Transactions,Entities,PointsAdjust,Envergure,Effort
0.18669814,0.372448,0.1660658799639528,0.49664956,0.22334105
0.21066877,0.40098584,0.21525245291514716,0.4873426,0.24683927
0.47424644,0.5855827,0.4611010576660635,0.5679449,0.4814847
0.25027525,0.19901638,0.15060760903645656,0.69450945,0.22153914
0.13448265,0.33689827,0.15378378922702737,0.35686105,0.17527497
0.1813511,0.2760282,0.10037473602248416,0.6076186,0.24257384
0.13587701,0.24842004,0.12036762722205763,0.5219487,0.15629196
0.30926192,0.25226194,0.2294537537672252,0.79057586,0.307944
0.08189351,0.21144779,0.09516445570986734,0.22193317,0.10603838
0.20837256,0.35875934,0.22729101363746082,0.5748912,0.22443268
0.0686184,0.1325239,0.049861322991679384,0.16507025,0.0958992
0.24381539,0.4526444,0.2761025565661534,0.6018332,0.3163721
0.33601105,0.30377963,0.15461385927683155,0.9407786,0.3743842
0.1842325,0.28968096,0.0549142732948564,0.76813847,0.27384135
0.24592443,0.35789543,0.16271444976286698,0.738067,0.26683253
0.24554312,0.15869513,0.13223355793401348,0.54560536,0.27343127
0.2866367,0.31737074,0.1899255513955331,0.6691784,0.22541717
0.3269931,0.46342593,0.30488123829287433,0.57712626,0.35361335
0.68440175,0.70367485,0.6522625391357524,0.72881854,0.68601775
0.1341037,0.23202164,0.1317377779042667,0.3618427,0.18692838
0.1448786,0.25850978,0.11223132073387924,0.26291668,0.18277496
0.25695658,0.38629857,0.19350706161042372,0.6291172,0.25743392
0.22816586,0.29003394,0.15264939915896394,0.5711879,0.22301601
0.5577212,0.61990654,0.4759629285577758,0.78618824,0.5774462
0.63399273,0.6525036,0.5898114353886861,0.69711596,0.6463675
0.11624911,0.21151032,0.1358980481538829,0.20230755,0.112983264
0.29093271,0.53069097,0.29764698785881927,0.55266523,0.3180468
0.17069437,0.40989906,0.23928940435736426,0.4572214,0.25065392
0.18857145,0.23232132,0.14743441884606512,0.41017348,0.22031587
0.35325962,0.326776,0.219703183182191,0.9024662,0.35187963
0.2681137,0.35116488,0.17119844027190642,0.67900795,0.24672168
0.2722519,0.31390655,0.14910553894633233,0.72858244,0.25359577
0.13061354,0.23775648,0.17232325033939502,0.5511617,0.23897988
0.25924575,0.3221401,0.21603329296199758,0.5696619,0.27245134
0.29316363,0.47167897,0.23446938406816306,0.72346205,0.37579173
0.22071019,0.25569877,0.1646405698784342,0.58235365,0.19873229
0.24930467,0.28914428,0.08781853526911212,0.8987204,0.32645312
0.26920503,0.34593984,0.1824267909456075,0.70826334,0.24548186
0.3281216,0.2909648,0.1846031310761879,0.86442906,0.28189766
0.25514707,0.21108717,0.11636186698171203,0.4368701,0.22893229
0.24345087,0.26200232,0.11457819687469181,0.70674527,0.2029967
0.29264414,0.545942,0.3502555710153343,0.4287036,0.36864236
0.24651895,0.5057292,0.26541997592519856,0.48678517,0.297544
0.24867275,0.38431066,0.24254484455269068,0.4893471,0.26942617
