size_D,duration_D,app,dba,ifc,telonuse,t05,t07,t08,t10,t11,t14,effort_D
0.20099404,0.13856205,0.05570776242922375,0.062498033,0.13196162319616234,0.64923126,0.21678383300702997,0.1184976818497682,0.07251744,0.7026192,0.1694376,0.17570996,0.22292423
0.18429114,0.14412233,0.052189299781070016,0.11153722,0.15724001572400156,0.6659466,0.29413975764838546,0.13365028336502832,0.104158744,0.7101488,0.18799971,0.17418379,0.22306515
0.24480179,0.13794777,0.07636315236368475,0.04582405,0.11115153111515312,0.6279458,0.21459348287560898,0.1099538909953891,0.08089967,0.6959982,0.18505956,0.26817322,0.2849867
0.19909084,0.27097872,0.20666082933391705,0.1362294,0.12211654821165482,0.47580498,0.09067771544066293,0.18681816868181686,0.2089069,0.5106262,0.08390094,0.007914841,0.26853704
0.13170582,0.1913026,0.22130932786906718,0.2746032,0.27761292776129276,0.5612538,0.15703934942236097,0.24946480494648052,0.24563424,0.5376185,0.18117557,0.22001326,0.14664228
0.36577404,0.24748564,0.19622990037700996,0.094855785,0.297823849782385,0.5403311,0.3805823528349412,0.20216184021618402,0.19793315,0.54452735,0.30533725,0.47829986,0.38624334
0.11662179,0.07423107,0.0403506559649344,0.11349183,0.16395799639579964,0.7222921,0.1960501817630109,0.1193134619313462,0.0866041,0.75898975,0.16541152,0.17073303,0.11167256
0.1469526,0.113539204,0.059628138037186196,0.070866644,0.10108397410839741,0.6523416,0.18931637135898227,0.12436602743660274,0.07344045,0.7707128,0.12724026,0.13223082,0.20258735
0.11108193,0.0021393895,0.061219463878053604,0.18318027,0.2202700320270032,0.8095306,0.23467446408046785,0.19654946965494696,0.10723697,0.7926898,0.28864324,0.29244775,0.037275642
0.3731173,0.1872082,0.12417906758209322,0.13779408,0.3547487954748796,0.70963544,0.57069983424199,0.24482827448282746,0.16252811,0.76481026,0.5271177,0.5036874,0.35802585
0.14864692,0.12049367,0.05321888067811193,0.009400606,0.04795670979567099,0.6297964,0.1294522677671361,0.08167863816786382,0.06993072,0.7410724,0.09436183,0.07347715,0.22828439
0.07878828,0.044005923,0.031000327899967206,0.06818378,0.04225531622553163,0.69590795,0.07302490438149427,0.08282709828270984,0.03935136,0.7536706,0.05652888,0.07199985,0.11787416
0.19011903,0.12321769,0.0399538690046131,0.04936415,0.1494085049408505,0.6932913,0.3052164483129869,0.11312033131203314,0.07653172,0.7818555,0.26090246,0.15233213,0.25611633
0.19466104,0.15518954,0.06418544858145514,0.07635403,0.16727875672787568,0.66031456,0.23314537398872245,0.06703708270370827,0.11447106,0.7647536,0.24066265,0.15357059,0.25576833
0.11178139,0.096967146,0.03340266265973373,0.058214724,0.024611832461183248,0.63469136,0.0817436349046181,0.05705386970538698,0.049577847,0.71971685,0.03135632,0.066541255,0.19324374
0.09771784,0.055763867,0.04112271588772841,0.05201274,0.07314113731411373,0.7021804,0.15532157931929474,0.1186904118690412,0.06295909,0.76519895,0.110388055,0.08593547,0.13350648
0.22982705,0.13149521,0.05208913479108652,0.05765897,0.09582847958284796,0.63212556,0.18290413097424787,0.08064515206451521,0.064075395,0.6970998,0.1567495,0.23783445,0.2729308
0.43022254,0.28765056,0.20611726938827304,0.15928102,0.3483592948359295,0.5611791,0.49301197958071874,0.2187567218756722,0.2081768,0.56615657,0.44379067,0.59357035,0.47326344
0.15485846,0.16862325,0.099936010006399,0.10101664,0.19748567974856798,0.6191158,0.2529128951747737,0.17542313754231376,0.1386628,0.69316745,0.13576947,0.18457341,0.20672768
0.15142407,0.14710726,0.06423450357654963,0.074346244,0.09509111450911145,0.6096825,0.17851157071069426,0.11640234164023416,0.09309213,0.67637396,0.09179796,0.118269086,0.21804817
0.39617565,0.21574202,0.15297022470297753,0.19401562,0.3880984888098489,0.7889612,0.6606805696408342,0.291255059125506,0.16212095,0.8907592,0.7472731,0.4720974,0.35149428
0.1615881,0.13537076,0.03891031010896899,0.08413416,0.09714583571458359,0.63603926,0.17772944066376645,0.08416262841626283,0.062281862,0.7219426,0.11265688,0.10010189,0.22278522
0.15127012,0.14813927,0.10433283956671605,0.110244215,0.2356075035607504,0.66611606,0.3162157689729462,0.21126186112618614,0.14447095,0.74903846,0.21370585,0.22660929,0.1857561
0.15841526,0.14320743,0.04893545310645469,0.05474639,0.08335093833509384,0.62138915,0.19523616171416971,0.09254569925456993,0.089445755,0.6914166,0.10301502,0.10125822,0.23204127
0.13141605,0.11219317,0.032862078713792126,0.08229214,0.005495369949536995,0.6133708,0.057948323476899405,0.034441863444186344,0.04864253,0.70784867,0.017286792,0.067488134,0.22327304
0.38332626,0.3284526,0.22781073721892625,0.21837449,0.296628589662859,0.48581135,0.37440397246423834,0.18815915881591588,0.24127086,0.4743795,0.3102932,0.40170592,0.4349521
0.050425664,0.059253,0.11114022488597751,0.13169014,0.18173311817331184,0.72184587,0.2210021732601304,0.23382406338240636,0.117838785,0.7623932,0.15436529,0.2411223,0.05099982
0.18735139,0.13824868,0.02430118356988164,0.07137078,0.07846937384693739,0.65451145,0.1917148915028935,0.07217556721755672,0.06205906,0.70913637,0.15166156,0.11561191,0.24911365
0.48107272,0.37563503,0.3553113644688635,0.32789493,0.5268713526871354,0.5041348,0.5923835355430122,0.3659966665996667,0.39113772,0.53071415,0.6070444,0.7511716,0.5174892
0.15629393,0.13683188,0.0704406879559312,0.08342898,0.09117139311713932,0.62992567,0.21114464266867858,0.10266227526622754,0.0974666,0.7768984,0.12052347,0.14606744,0.2543086
0.1419014,0.13608792,0.04324055767594423,0.0780825,0.11286906528690653,0.64018416,0.18182428090945688,0.08203364220336422,0.08176507,0.73026675,0.10174529,0.09681457,0.21919587
0.20909378,0.20227793,0.13599750640024935,0.06785351,0.14317999431799946,0.5603155,0.20502533230151995,0.18301759830175984,0.16875051,0.6250178,0.16478504,0.16755146,0.24731195
0.25784856,0.13915154,0.04417518858248114,0.11821371,0.2396945939694594,0.7455649,0.43644609618676583,0.14676956467695648,0.08358,0.8160322,0.42190182,0.24074584,0.28590238
0.42128876,0.3326012,0.2760361123963887,0.18263406,0.34656757465675747,0.4620211,0.40103354406201264,0.24674427467442747,0.27164567,0.45040458,0.3388782,0.4603268,0.4527126
0.16451809,0.1714426,0.061833539816646015,0.08025724,0.09384251938425195,0.5827669,0.1395403783724227,0.08135027813502782,0.1024939,0.64936846,0.077392355,0.09519714,0.24527514
0.31245527,0.15690894,0.08244500175549982,0.16876286,0.3272863027286303,0.7868397,0.5452011327120679,0.2388766338876634,0.08478989,0.83599085,0.5275528,0.3261423,0.28808516
0.27554953,0.2548723,0.19540691045930894,0.09020263,0.22190642219064224,0.48898673,0.22857244371434662,0.20408576040857604,0.21511365,0.49987322,0.16915713,0.19698042,0.314344
0.18170005,0.12767701,0.06347651365234863,0.06341159,0.18354694835469484,0.6897487,0.3321390399283424,0.1799279379927938,0.09748666,0.75387836,0.25514638,0.21255332,0.21011026
0.20619032,0.15809736,0.08464796153520385,0.03723997,0.14451299445129948,0.6253587,0.25942219556533175,0.15375081537508153,0.099765524,0.6613478,0.18157278,0.1596989,0.23836967
0.17185086,0.10052258,0.04220686577931342,0.054184675,0.13649503364950336,0.6892368,0.26037009562220575,0.11644627164462716,0.0750014,0.7352076,0.20526184,0.21056145,0.20451374
0.8038798,0.79422307,0.8518793148120685,0.92531526,1.0,0.14229113,0.9026473541588413,0.8719577471957747,0.913306,0.13566402,0.9544476,1.0,0.7996993
0.14041787,0.13673732,0.06501776849822315,0.04945278,0.1192377619237762,0.62625647,0.18698336121900166,0.11313415731341574,0.096804515,0.719002,0.099625245,0.12568796,0.20670584
0.17688978,0.20180261,0.12354469764553024,0.11970818,0.2509230250923025,0.5763121,0.259863515591811,0.17548678754867875,0.1722079,0.6057201,0.1324607,0.178989,0.21497464
0.29093745,0.14775945,0.10050383994961601,0.23117071,0.33065599306559934,0.7775279,0.561351133681068,0.29091442909144294,0.13474955,0.79835093,0.47802836,0.3513124,0.2325905
0.16352005,0.0594721,0.0404688529531147,0.11285454,0.20582538058253808,0.7777581,0.34682132080927924,0.197528469752847,0.09494133,0.85292363,0.31193787,0.26153874,0.14628357
0.17167443,0.10483861,0.05426497257350274,0.028404057,0.17180941718094173,0.68690026,0.269395416163725,0.1409206240920624,0.1066183,0.7293829,0.2277583,0.19656944,0.16950656
0.17242628,0.099129155,0.06817574318242567,0.038820922,0.10720576072057608,0.65500003,0.18570984114259045,0.12742804274280428,0.069270775,0.7182542,0.1632651,0.28249365,0.23126435
0.19010362,0.10164986,0.03489531251046875,0.1782437,0.17060719706071972,0.7307649,0.274621516477291,0.15378920537892055,0.060124412,0.7529638,0.23171477,0.19876951,0.14813766
0.19973305,0.16420236,0.09377662062233794,0.039608955,0.09275437327543734,0.56391513,0.12512994750779685,0.09762687476268747,0.10369025,0.6249624,0.07541712,0.14856362,0.26942143
0.08620403,0.061206043,0.012464804753519524,0.08169031,0.02690297669029767,0.67381155,0.044988217699293065,0.036212000621200065,0.029039457,0.7193321,0.035210922,0.05336088,0.13043553
0.3275799,0.081480876,0.0896709910329009,0.24984157,0.3776844777684478,0.9177027,0.6497211389832684,0.3105667810566781,0.10135646,0.9521867,0.7030317,0.40741062,0.21720697
0.10683639,0.060756,0.02596382540361746,0.0305807,0.05486113548611355,0.6886903,0.12609437756566266,0.09336096933609694,0.0566902,0.75481033,0.10607444,0.09179431,0.13896774
0.49416056,0.5098629,0.508843489115651,0.46943045,0.5123256912325692,0.30518362,0.4725947083556825,0.5092695509269551,0.5300596,0.27699038,0.4403206,0.3914079,0.49222404
0.24380568,0.06691668,0.08662659533734046,0.23289478,0.3619238161923816,0.8786447,0.6049183962951038,0.3149761614976162,0.13603757,0.9167833,0.5735982,0.39005595,0.14668752
0.20835686,0.23786831,0.1517676148232385,0.083601415,0.12155566815556682,0.5144135,0.1572910294374618,0.17627732762773277,0.16469096,0.5369649,0.10345487,0.061749518,0.27500015
0.19497517,0.1418034,0.0803601519639848,0.040189743,0.05219173921917392,0.58743316,0.12449503746970225,0.08958611895861189,0.07183106,0.6687048,0.07294898,0.17351073,0.27826238
