size_D,duration_D,nlan,t01,t03,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_TransPro,har_Multi,har_Network,har_PC,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Generated_Var_17,Generated_Var_18,Generated_Var_19,Generated_Var_20,Generated_Var_21,Generated_Var_22,Generated_Var_23,Generated_Var_24,Generated_Var_25,Generated_Var_26,Generated_Var_27,Generated_Var_28,effort_D
0.143335192414947,0.2,0.0,1.0,0.3333333333333333,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.57750446,-0.8266741,0.3463411,-0.23064089,-0.83774817,-0.21085894,-0.69188166,0.55818284,-0.6707732,-0.7152032,0.83639044,-0.7990543,-0.90908426,-0.8154488,-0.6235125,-1.0044078,-0.8937106,0.2686418,-0.1254913,0.98849255,-0.6896159,-0.3697484,-0.52142066,0.1718169,-0.51290596,-0.80967534,0.97909325,-1.0178444,0.0075898020947219
0.1670384829894032,0.24,0.6666666666666666,0.75,1.0,0.75,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.60931736,-0.91971403,0.35816094,-0.22082728,-0.91156995,-0.25450593,-0.74920577,0.6075896,-0.7100177,-0.7775485,0.9023601,-0.8966258,-1.0088855,-0.92704344,-0.710136,-1.0936683,-0.99531454,0.2782545,-0.14680806,1.0566396,-0.76895005,-0.4183182,-0.5856023,0.1953254,-0.5393717,-0.903279,1.0612248,-1.117124,0.1154790765476699
0.0228667038482989,0.02,0.6666666666666666,0.25,0.3333333333333333,0.25,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.5081829,-0.7644773,0.3034035,-0.2036681,-0.73428345,-0.20626482,-0.61236936,0.48832303,-0.59600145,-0.6580866,0.7328475,-0.71719366,-0.81870896,-0.7431149,-0.5852651,-0.89781415,-0.83252734,0.23007405,-0.11085291,0.8711299,-0.61600703,-0.34458557,-0.47471267,0.16051541,-0.45793158,-0.73408484,0.8867753,-0.91672474,0.0041514157595347
0.0574456218627997,0.08,0.3333333333333333,0.5,0.0,0.25,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.25,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.55077505,-0.7807064,0.32011843,-0.2154394,-0.78315234,-0.20526026,-0.65400046,0.52501947,-0.6327397,-0.6893169,0.7859174,-0.75002325,-0.8638268,-0.7688684,-0.5913315,-0.9499129,-0.8626881,0.26063263,-0.12503806,0.9360545,-0.65642875,-0.35260728,-0.50146866,0.17219636,-0.47459793,-0.76594824,0.93615174,-0.9615331,0.0276813867630048
0.2810931399888455,0.24,0.6666666666666666,0.25,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5710298,-0.822899,0.33070567,-0.21779568,-0.8228877,-0.22017018,-0.68359816,0.5506708,-0.65770674,-0.7177087,0.8237295,-0.7956306,-0.909592,-0.81699777,-0.62753886,-0.994164,-0.9036961,0.26696724,-0.13294083,0.97524524,-0.69286865,-0.3732183,-0.52814686,0.18046232,-0.4934621,-0.8084102,0.97715694,-1.0108689,0.3278192391183787
0.0934188510875627,0.16,0.3333333333333333,0.5,0.3333333333333333,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.75,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.5405488,-0.8181635,0.3187506,-0.20691769,-0.79076004,-0.22458999,-0.6571199,0.5262489,-0.63197446,-0.69872326,0.78833795,-0.7796248,-0.8825411,-0.8055637,-0.6296522,-0.9617224,-0.88745844,0.24450427,-0.12520406,0.9326294,-0.6683267,-0.37037858,-0.5131441,0.17432667,-0.4825791,-0.7926555,0.9457886,-0.98545307,0.0576920029788784
0.0828220858895705,0.16,1.0,0.25,0.3333333333333333,0.25,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.49333724,-0.7263992,0.3029632,-0.19801942,-0.70874536,-0.19451252,-0.6000342,0.47865683,-0.5773432,-0.64031875,0.7018212,-0.67589974,-0.7948904,-0.71536976,-0.551093,-0.87921154,-0.81719846,0.23867556,-0.10194169,0.8454264,-0.5912086,-0.3233191,-0.4645517,0.15389997,-0.44075948,-0.70307124,0.85178715,-0.87013596,0.035540555529147
0.0448968209704406,0.46,0.3333333333333333,0.75,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.75,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.54733694,-0.82504714,0.32604316,-0.2050358,-0.8050271,-0.22520466,-0.66917336,0.5342604,-0.63607293,-0.7017379,0.79988027,-0.79421073,-0.88449067,-0.80500907,-0.6299008,-0.97401965,-0.88262826,0.24938601,-0.13418539,0.95115876,-0.6728591,-0.37049535,-0.5138565,0.17766644,-0.49361467,-0.80423915,0.9538835,-1.0010161,0.1067484273739918
0.0886781929726715,0.4,0.0,0.25,0.3333333333333333,0.75,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.48010644,-0.7067017,0.28446594,-0.18823706,-0.67708164,-0.18803668,-0.57439977,0.44720656,-0.5510297,-0.61400056,0.6821723,-0.6701005,-0.7380818,-0.65470713,-0.52907044,-0.8303211,-0.74696195,0.21926731,-0.122384936,0.8311789,-0.5624568,-0.3126621,-0.42969835,0.16007455,-0.43453532,-0.6840881,0.8314706,-0.86393356,0.1353488298394891
0.3159509202453988,1.0,0.3333333333333333,0.75,0.3333333333333333,0.75,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.41275856,-0.6526824,0.25260141,-0.17423409,-0.5836892,-0.17900874,-0.4987934,0.38317135,-0.48809758,-0.55682623,0.5863973,-0.59007084,-0.65529525,-0.5927649,-0.49622858,-0.73315513,-0.689077,0.17760348,-0.09501992,0.71866375,-0.48855168,-0.28831896,-0.38252598,0.13912109,-0.3933072,-0.61110526,0.74083376,-0.766437,0.1793189776742564
