size_D,duration_D,source,t01,t07,t10,t13,Generated_Var_1,Generated_Var_5,effort_D
0.38271164296269855,0.328058949683537,0.061360255,0.2863394,0.25054701503282095,0.33411023,0.2534212,0.1343559,0.14426754,0.50104284
0.3332664199959852,0.2795923867755432,0.08856399,0.24133267,0.19387687163261233,0.29156926,0.20765005,0.17075242,0.17558134,0.466152
0.15121442907286572,0.12482840748970446,0.27088702,0.124029264,0.10191679611500776,0.23372418,0.08553876,0.28372288,0.26133314,0.25806788
0.047163690829821456,0.05165669309940159,0.586265,0.15242936,0.09530819071849145,0.2099309,0.20619528,0.5770317,0.5782511,0.15736045
0.3483807209028433,0.26770384606223074,0.20837082,0.2966054,0.2524461351467681,0.37179992,0.23511909,0.19809443,0.16303262,0.4289363
0.07613549456812968,0.05780447946826877,0.23271166,0.044279784,0.050236437014186223,0.08804205,0.030930802,0.29110208,0.33280125,0.2527069
0.09819980589198836,0.056710263402615806,0.26058125,0.051996633,0.033732982023978925,0.08757931,0.05089633,0.29228714,0.3310007,0.23706192
0.3384567403074044,0.2179926430795586,0.20021276,0.21344058,0.40575952434557144,0.34786567,0.14450045,0.14003882,0.101608075,0.48649994
0.2194213131652788,0.17619510057170604,0.21587835,0.18150608,0.10191846611510798,0.22838694,0.17074569,0.28044382,0.26459414,0.32610863
0.15269372916162377,0.10800380148022809,0.21280642,0.098301515,0.07459152447549147,0.15455252,0.09393932,0.2541285,0.27820736,0.30094278
0.07700631462037888,0.044895416693725,0.25435704,0.03354901,0.05038690902321454,0.07642096,0.031407014,0.2927331,0.3306386,0.2449058
0.0848633750918025,0.045628986737739206,0.2731096,0.041059196,0.08917144535028673,0.11282146,0.03000553,0.26456544,0.29099786,0.24758774
0.08539728512383711,0.12416192144971529,0.19236983,0.028613612,0.13302761798165708,0.008222222,0.028841302,0.48761246,0.524058,0.30215183
0.13131920787915247,0.07125032427501947,0.23131965,0.056436017,0.09006625940397557,0.12002471,0.05891277,0.24402343,0.2709298,0.28117317
0.36091062165463733,0.26811335608680137,0.23652156,0.3042789,0.3363350201801012,0.4265842,0.22012503,0.19958434,0.13890351,0.44428533
0.09162533049751982,0.059530183571811016,0.2840038,0.06896691,0.03278613196716792,0.111827224,0.06573282,0.32369426,0.3403471,0.2327126
0.0796630947797857,0.14479843868790634,0.31730187,0.07047407,0.11897636213858173,0.05647935,0.088607684,0.56376874,0.57975715,0.26872003
0.21308706278522377,0.14836990890219454,0.13829039,0.13319294,0.11306363678381821,0.1822207,0.10413863,0.19059902,0.21099263,0.3580509
0.08100286486017189,0.07813357468801449,0.20958532,0.048518226,0.04616809277008557,0.048972636,0.03116496,0.3777791,0.4274965,0.2723144
0.07773803466428209,0.08512174110730447,0.24044518,0.05930595,0.06542155392529324,0.051929787,0.03941457,0.4211618,0.45888805,0.2625444
0.08850136931008216,0.07002652420159144,0.27282125,0.065881595,0.01405173584310415,0.09909004,0.06530909,0.35011137,0.37176716,0.24556144
0.1908339714500383,0.15117417907045075,0.11206807,0.10379423,0.05334982620098957,0.12034997,0.079596564,0.32597518,0.35898602,0.3463505
0.0873750852425051,0.07912543874752632,0.16559412,0.011795744,0.03467577908054675,0.037977055,0.016271576,0.35357866,0.39836365,0.28323543
0.1904080614244837,0.1446076286764577,0.33382016,0.21136595,0.18608976116538567,0.3211703,0.1581508,0.3113796,0.26609373,0.29423314
0.07532031451921888,0.05045714902742895,0.22587733,0.027401865,0.048053505883210355,0.061863482,0.02245687,0.29731444,0.34381264,0.25743467
0.14166677850000672,0.10462192627731558,0.34889078,0.102815494,0.07807296968437817,0.17814484,0.12563784,0.3363959,0.3140493,0.21864554
0.031123363867401835,0.011730090703805443,0.465163,0.06882365,0.10471341628280499,0.17348304,0.06430723,0.3813416,0.36658674,0.16811138
0.15466595927995755,0.09931365595881936,0.15184782,0.070695326,0.05135038808102328,0.1019479,0.07415597,0.23714808,0.29830593,0.31824344
0.07899506873970413,0.09644400178664012,0.18055205,0.012143582,0.06708667402520044,0.011715695,0.021635398,0.41511726,0.45988655,0.28123268
0.08481769508906171,0.047055086823305205,0.23090462,0.019550651,0.05767894146073649,0.0704183,0.02604194,0.2513064,0.2980824,0.25896782
0.07761051465663088,0.06632332897939974,0.18131901,0.004698649,0.026736886604213195,0.0515036,0.014921352,0.32347208,0.37005,0.27567855
0.07686990961219459,0.0486323599179416,0.23503704,0.039545715,0.033652844019170645,0.07076515,0.026826248,0.2987412,0.33945912,0.2498942
0.3577062714623763,0.29466675768000544,0.169784,0.2767691,0.2883597773015867,0.36971405,0.23270218,0.17700152,0.14923473,0.4484684
