AFP,Input,Enquiry,File,Added,N_effort,Effort
0.15551133,0.29846066,0.08875704532542272,0.19819877,0.1957185,0.07790504,0.08899617
0.3640724,0.38005656,0.37685396261123777,0.35294497,0.29783428,0.45648822,0.49473307
0.8322303,0.8935926,0.7770799466247968,0.3612828,0.78810847,0.40937322,0.4528557
0.16101333,0.25047645,0.1852125511127531,0.23502597,0.19872425,0.13125908,0.15081787
0.17533948,0.27862924,0.37755870265352215,0.15736552,0.13913572,0.33768216,0.36225915
0.051021203,0.18760028,0.12846155770769346,0.122973636,0.12685737,0.07235695,0.074644774
0.39588463,0.5037948,0.39904142394248543,0.33241534,0.34747657,0.1669322,0.17750159
0.092318654,0.18007149,0.2972076378324583,0.07097095,0.09968926,0.056757227,0.09902507
0.18143879,0.34490657,0.11377059682623582,0.24517813,0.168253,0.0949551,0.13419408
0.09665336,0.20096584,0.3242810594568636,0.16354722,0.1557782,0.08987366,0.098346926
0.1597459,0.27081394,0.19627816177668972,0.16783023,0.13492441,0.24868228,0.27044794
0.13169155,0.2073126,0.2869510872170652,0.09757168,0.13279253,0.11223611,0.15356518
0.2733335,0.31401575,0.3872320232339214,0.30861846,0.23149736,0.15509716,0.17226149
0.122642204,0.22042619,0.18304288098257285,0.1153017,0.08820456,0.08378329,0.09440333
0.2046479,0.28964782,0.22767421366045282,0.24391639,0.19759807,0.22967623,0.25447798
0.08650466,0.2384208,0.13220377793222668,0.10488847,0.08859663,0.030313157,0.029630609
0.12240728,0.20933113,0.2006555620393337,0.07410875,0.02597621,0.050241344,0.08363415
0.096792266,0.15794969,0.14489597869375873,0.110509045,0.099418394,0.048073947,0.05360078
0.3835489,0.43323803,0.5399761323985679,0.36315116,0.4237997,0.36978352,0.40896198
0.30619413,0.33967516,0.31261941875716515,0.21070918,0.2707513,0.24723375,0.27549496
0.09281476,0.26551473,0.09791844187510651,0.20716923,0.21570411,0.11823139,0.13629368
0.08053435,0.15344878,0.19918186195091173,0.1468083,0.09106255,0.13804886,0.15008721
0.13053206,0.21623638,0.1663262899795774,0.06677961,0.10294016,0.042123206,0.07818309
0.091469616,0.23622221,0.09508744570524674,0.089558415,0.10417359,0.13810734,0.14807382
0.12902296,0.24994546,0.10859191651551499,0.18521035,0.16225022,0.13149771,0.14721513
0.18927741,0.32722348,0.15451309927078596,0.31142142,0.20331003,0.14636286,0.13743822
0.12335165,0.17530943,0.23258901395534085,0.08349944,0.066855416,0.13328724,0.163382
0.06832699,0.086356305,0.1975326318519579,0.14125767,0.098439105,0.1304222,0.15442324
0.14855945,0.23693264,0.2471965748317945,0.16986838,0.13333178,0.17354988,0.20038709
0.20792735,0.2759954,0.28055811683348697,0.28470564,0.17428783,0.17582528,0.18494141
0.14021403,0.19410285,0.11478655688719341,0.102562524,0.1739773,0.08430069,0.10577808
0.3091361,0.41681784,0.27798761667925703,0.49417004,0.26529062,0.22231367,0.22950202
0.23028374,0.3601677,0.4075767644546059,0.20921057,0.14565386,0.09963069,0.08348979
0.35163662,0.3996294,0.3220630193237812,0.2825166,0.3155724,0.2398227,0.24108315
0.559535,0.6160842,0.6644171398650284,0.67425925,0.5161042,0.29598892,0.32229784
0.28949592,0.37501547,0.31772865906371955,0.26296967,0.32181403,0.3597921,0.3771451
0.19623297,0.30952984,0.2524137351448241,0.16593957,0.19061235,0.1914585,0.19589642
0.2738741,0.3968264,0.28241319694479183,0.5621488,0.281299,0.2957199,0.28807938
0.19071884,0.27418223,0.1846317110779027,0.23672317,0.16093901,0.27377096,0.2711974
0.13957381,0.15911035,0.24571891474313487,0.11243552,0.117629565,0.15851739,0.18280268
0.08263884,0.22676365,0.14562286873737212,0.15233424,0.16628098,0.10505907,0.08923103
0.11886664,0.21253373,0.15789899947393995,0.19292824,0.15931278,0.13770689,0.14080727
0.1374303,0.14068724,0.17928884075733045,0.17059258,0.14207584,0.3077575,0.30570722
0.24150865,0.2780971,0.3269006796140408,0.3224674,0.17961657,0.24960527,0.27059072
0.42506245,0.5950581,0.6173323770399427,0.4478008,0.3904151,0.7110946,0.7015702
0.14104676,0.23916416,0.18394586103675167,0.15706351,0.10618049,0.10174511,0.13531986
0.16210362,0.1462495,0.23407542404452547,0.17866223,0.18932414,0.10741479,0.14410482
0.11104304,0.19137697,0.2540633852438031,0.10704728,0.12629879,0.23313569,0.2537004
0.30857468,0.38064247,0.36514322190859333,0.43813425,0.35582405,0.15044989,0.20087934
0.07202139,0.11181159,0.1106523416391405,0.20236433,0.13489121,0.08581836,0.11017195
0.10779801,0.23654354,0.1415247884914873,0.114921585,0.15230459,0.07480414,0.09267478
0.10746867,0.25238904,0.23790505427430328,0.07490761,0.15360406,0.073612735,0.10045067
0.052440397,0.0970585,0.15116493906989636,0.11068998,0.12597123,0.09399787,0.12177903
0.38602594,0.4224454,0.2828375569702534,0.28347713,0.2830848,0.11337583,0.11523019
0.38518208,0.5346872,0.8007617480457049,0.20349213,0.25180793,0.55122375,0.57899684
0.1404729,0.24336961,0.13059185783551147,0.15919113,0.15139435,0.17498969,0.2007291
0.2584673,0.39218515,0.4167636850058211,0.26734242,0.1882551,0.3936058,0.42563727
0.12668993,0.19885771,0.17539583052374985,0.17797002,0.12708338,0.11194675,0.12052074
0.09286136,0.25827047,0.18025156081509366,0.11729619,0.12155468,0.13584848,0.13169825
0.1976388,0.19004793,0.21221654273299256,0.2147358,0.18010782,0.15128374,0.16959052
0.13728362,0.210122,0.3649579518974771,0.2202848,0.11701492,0.09494844,0.11919603
0.1599191,0.30670136,0.18647369118842147,0.24288881,0.1840452,0.21258321,0.23714668
0.19549842,0.39121416,0.2555031953301917,0.2750675,0.15284546,0.28239143,0.27097657
0.12605977,0.21182427,0.11891950713517042,0.14468391,0.075671636,0.08942059,0.08520046
0.21125859,0.23835868,0.32222257933335474,0.18586423,0.10269269,0.10508077,0.11702781
0.1780963,0.21438155,0.2759767965586078,0.23189759,0.12229177,0.27399576,0.29461735
0.1549945,0.29894948,0.17153076029184564,0.21137443,0.12535995,0.20056166,0.19693723
0.12623131,0.16686428,0.17871916072314964,0.1568448,0.078943625,0.120429076,0.11817375
0.1253149,0.22276771,0.17020550021233,0.19755569,0.15443516,0.12125174,0.13214651
0.17146298,0.28712624,0.2560089353605361,0.18322791,0.13118613,0.083144605,0.10442277
0.19878165,0.28024143,0.09112562546753754,0.26192343,0.16400133,0.13792738,0.16000336
0.11816947,0.2118452,0.20283825217029514,0.105790846,0.047413614,0.151615,0.15847656
0.1387285,0.42299333,0.13278638796718328,0.18949425,0.18953247,0.063073926,0.08891254
0.31086212,0.49127832,0.3239339794360388,0.2766685,0.2672802,0.06295131,0.0658679
0.20015743,0.31599203,0.25802917548175053,0.28872716,0.21361586,0.16759059,0.18483084
0.15301156,0.2961833,0.21493040289582419,0.30294028,0.20369692,0.3267738,0.31866187
0.11843049,0.2596815,0.30697331841839914,0.21075684,0.17566797,0.08148697,0.10243991
0.3764392,0.24710092,0.42477806548668395,0.22472551,0.3928144,0.24639776,0.28225005
0.092441395,0.065380715,0.23083068384984104,0.12623802,0.06430707,0.10637883,0.11889486
0.15149991,0.27153793,0.2864818771889126,0.08172172,0.065532885,0.12198977,0.16608626
0.24804668,0.29425374,0.4990473099428386,0.25233868,0.1057093,0.1382106,0.14990968
0.18272468,0.2997408,0.14297335857840152,0.19788776,0.18279354,0.08462163,0.124605075
0.104687184,0.22052655,0.17732493063949584,0.20367259,0.12152347,0.10931973,0.10016653
0.15238933,0.2863167,0.18509849110590948,0.18116531,0.14170691,0.28906807,0.29439068
0.14914191,0.18740615,0.20736552244193135,0.22945267,0.16085573,0.16659147,0.19172835
0.15181124,0.23840171,0.108329916499795,0.16237083,0.20130862,0.08166271,0.14156504
0.13124849,0.1636932,0.07233027033981623,0.17521098,0.21056946,0.17426382,0.21567386
0.21515878,0.27405003,0.1987336819240209,0.16831651,0.1534921,0.08001545,0.09121308
0.11273024,0.12696588,0.33983656039019366,0.13414373,0.058223233,0.11662355,0.12752292
0.1300067,0.26946682,0.15211731912703916,0.15321991,0.12531006,0.099866994,0.12874582
0.13642643,0.17112494,0.15795037947702278,0.1541729,0.098836236,0.12460001,0.1468906
0.10114784,0.30329522,0.14229515853770952,0.11450348,0.19614726,0.09317792,0.094026834
0.20358665,0.3049295,0.29732926783975605,0.10573459,0.0607988,0.23774408,0.23688272
0.13821001,0.2528743,0.2553819553229173,0.18350205,0.16321105,0.27752703,0.29362836
0.25270277,0.37422442,0.30795401847724113,0.24054658,0.1862508,0.24114661,0.25031525
0.5484622,0.6310942,0.494775799686548,0.33387196,0.57992584,0.26831472,0.28856692
0.6121682,0.609756,0.6247238874834332,0.24920475,0.5519812,0.39396557,0.42501646
0.4517646,0.55836284,0.485070199104212,0.47538355,0.44092345,0.21089332,0.22401392
0.09043566,0.15442339,0.17849238070954285,0.13517897,0.11395396,0.14909278,0.16375202
0.08392461,0.18813111,0.1103934416236065,0.10516029,0.073950715,0.071544304,0.07548508
0.24634123,0.41014767,0.1974442618466557,0.24055491,0.19746868,0.11137568,0.09914826
0.28362146,0.23129141,0.23490647409438847,0.2950083,0.29066807,0.102934055,0.118755445
0.09790549,0.26283574,0.07036234422174065,0.15115045,0.15223224,0.13978235,0.13780148
0.1693395,0.28310615,0.07374344442460666,0.18024579,0.17407471,0.11041931,0.13641176
0.10482781,0.15772131,0.23449055406943325,0.10639394,0.124159396,0.124016024,0.12433033
0.17278516,0.16531631,0.24594464475667868,0.17575617,0.14978774,0.11181013,0.119592465
0.1291382,0.21862772,0.12476423748585426,0.11936319,0.108631864,0.10851675,0.10496591
0.6375631,0.7544006,0.5497994729879684,0.47944802,0.5646597,0.21453577,0.22329259
0.0955521,0.26147467,0.16617496997049822,0.13508758,0.11778103,0.048421964,0.053937968
0.14740422,0.121073924,0.33910470034628204,0.16419852,0.044363692,0.17843932,0.19913763
0.12848733,0.24217933,0.1933456116007367,0.18813112,0.11732893,0.11988905,0.12344407
0.11722609,0.20802023,0.09109171546550293,0.18944225,0.11497013,0.080085754,0.09803907
0.14810061,0.18970802,0.17700436062026165,0.1960235,0.14685583,0.18424897,0.20046276
0.10561488,0.35963497,0.0809154848549291,0.17100284,0.15340364,0.10819011,0.10139991
0.13399251,0.2758962,0.2681226860873612,0.19117104,0.1786319,0.11727828,0.11974131
0.1498068,0.3236171,0.1863946411836785,0.21676028,0.2137767,0.12802683,0.14070451
0.4823592,0.6276854,0.6684336401060184,0.36069354,0.51686335,0.6884603,0.72676605
0.12621725,0.13240094,0.3203030392181824,0.19551352,0.055980932,0.13361692,0.14616844
0.12216764,0.18230627,0.14069334844160092,0.21686798,0.16215414,0.24669847,0.22094405
0.14795415,0.1764647,0.28164787689887266,0.30414495,0.29848552,0.16569701,0.17850146
