data,time,lexp,tool,Generated_Var_6,Generated_Var_8,actual
0.12054749,0.108597584,0.116719656,0.10836771,0.10241100614466038,0.10323618,0.11031608
0.23544371,0.2379717,0.24377394,0.2423952,0.22356386341383183,0.22916645,0.23070355
0.034990408,0.032405116,0.03793156,0.02639687,0.026561254593675275,0.02142056,0.03649104
0.06330591,0.030292418,0.021652745,0.03724833,0.054352197261131836,0.052721202,0.018845923
0.062564455,0.04862708,0.04768081,0.030102849,0.046878459812707586,0.037256546,0.052368317
0.056473844,0.03537833,0.03974075,0.061900437,0.046827296809637806,0.049921952,0.043581408
0.25467855,0.25786608,0.26009575,0.24523054,0.24277718456663105,0.24115336,0.24737011
0.3979379,0.40328625,0.42143518,0.40186143,0.3879671232780274,0.38659337,0.39283618
0.36799768,0.36181432,0.36488572,0.35687917,0.34606104076366245,0.34529522,0.3667311
0.16791697,0.16484705,0.17575252,0.14910139,0.14469354868161294,0.14499395,0.16822515
0.111741975,0.060921405,0.05012536,0.06810053,0.09474245568454735,0.09089355,0.07949957
0.05198253,0.044147182,0.056395672,0.07779798,0.040542702432562146,0.047182724,0.040507447
0.23818785,0.23624152,0.25218663,0.21347941,0.2202935032176102,0.21804419,0.2353922
0.03650357,0.014177765,0.028669255,0.05833344,0.0276622716597363,0.03119433,0.022872116
0.11525838,0.10396448,0.10509655,0.13066845,0.1115462266927736,0.11180262,0.09843323
0.037282966,0.025732499,0.037621357,0.049207434,0.027913549674812983,0.024814226,0.044050712
0.045128733,0.025557201,0.024815025,0.024544612,0.029344284760657084,0.0259659,0.04372845
0.099785194,0.08641501,0.08875552,0.087100774,0.07866313071978785,0.08203171,0.09153925
0.027526826,0.014715486,0.01014303,0.02565281,0.02093136425588186,0.016878746,0.026145015
0.17086908,0.15542708,0.15782188,0.19762485,0.1685312201118732,0.17122611,0.14736336
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.39251956,0.391469,0.39596877,0.38332987,0.37591275255476514,0.38288262,0.3794263
0.037524834,0.016836777,0.011323221,0.03143865,0.03490040709402443,0.03163615,0.032998882
0.09341349,0.07849811,0.07889055,0.09713338,0.07596709455802568,0.08141644,0.07294415
0.05519467,0.0326529,0.030360179,0.07331017,0.046504142790248566,0.05295124,0.03430183
0.12516537,0.11202063,0.119665585,0.122480944,0.11041060662463639,0.11585267,0.1172044
0.14841558,0.12920444,0.12592249,0.13013929,0.1326582979594979,0.12888402,0.12953496
0.09858428,0.074328564,0.07910243,0.056676224,0.07818337469100249,0.06861536,0.082568645
