TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,MI_PointsAdjust_Entities,MI_PointsAdjust_Language,MI_PointsAdjust_Transactions,MI_Entities_Language,Effort
0.79363346,0.858179,0.4498198,0.1481247,0.22004688,0.23781478426888708,0.46771473,0.92378426,0.09854265191255912,0.38978088,0.050808024,0.3299622,0.26749295
0.6989883,0.72498083,0.1630724,0.30769134,0.16437392,0.2891502173490131,0.54416585,0.86368173,0.12247582734854964,0.54487926,0.13038374,0.24326807,0.39126194
0.8451134,0.8547432,0.49447232,0.1330404,0.18900688,0.20415484224929056,0.40509552,0.9160797,0.08111411086684665,0.33040583,0.06972323,0.29729727,0.21127926
0.74635166,0.8401663,0.18028858,0.17147678,0.06931785,0.1662918899775134,0.511798,0.94211936,0.03144947588696855,0.29935205,0.082078196,0.13187537,0.1284489
0.85477096,0.8297158,0.61252576,0.3598141,0.24143067,0.3790905427454326,0.63555723,0.88869655,0.1958964417537865,0.6240739,0.16818553,0.3498826,0.42395896
0.30610332,0.7377894,0.669127,0.22280088,0.060166676,0.20555616233336974,0.44563258,0.29245484,0.05359031621541897,0.18220109,0.11708565,0.036309816,0.10733912
0.7282391,0.4155436,0.33375138,0.19995895,0.12871744,0.18390484103429047,0.37195277,0.85501885,0.06667008400020505,0.310312,0.050246693,0.21562095,0.20262513
0.5303181,0.8330495,0.5042922,0.08795479,0.0680287,0.07516959451017567,0.29161996,0.8542427,0.02591141255468475,0.21015477,0.09240518,0.14888647,0.1340263
0.7196384,0.81995946,0.18381622,0.23360273,0.17546032,0.2824707769482466,0.5793673,0.9070431,0.11506507690390462,0.49881637,0.07675824,0.24522571,0.30208445
0.17111346,0.42259932,0.36268967,0.17199004,0.12328732,0.14473414868404894,0.5333144,0.917817,0.05053526303211578,0.34358257,0.059607435,0.22436294,0.24640936
0.02586889,0.49980986,0.45764017,0.15537652,0.17004445,0.1657919399475164,0.4487043,0.86396325,0.07836841470210489,0.3686142,0.08612123,0.2522241,0.2287644
