size_D,duration_D,app,har,dba,ifc,telonuse,t01,t03,t06,t07,t11,t14,effort_D
0.022568256,0.05327601,0.1391978,0.1104476516268591,0.031895727,0.04532656,0.7241127,0.043209076,0.14739984,0.17458203,0.12706579270657928,0.1911890514713431,0.32942066705793327,0.024584565
0.09045284,0.021875061,0.26357588,0.1400024384001463,0.110054374,0.019097447,0.7499118,0.14566796,0.26139632,0.17971557,0.13567297356729738,0.13082786784967207,0.24267238573276143,0.072089806
0.2687308,0.2868086,0.3257877,0.12130529727831783,0.1052801,0.06495771,0.4763922,0.14593042,0.19568235,0.03588751,0.34954476495447656,0.2202727732163664,0.1507458849254115,0.29207417
0.30348048,0.3292134,0.342052,0.0652309699138582,0.1202482,0.07186675,0.43653718,0.16646259,0.20500909,0.030115515,0.3674722967472297,0.24454405467264329,0.1429973957002604,0.32200417
0.113832794,0.02656965,0.30053815,0.17644728058683684,0.2078926,0.07501739,0.7865866,0.23902576,0.3519323,0.279921,0.0788888678888868,0.15569119934147196,0.25294125470587453,0.10204973
0.018430099,0.046399377,0.15115145,0.1618124297087458,0.032028437,0.053266972,0.7210799,0.039394394,0.14884026,0.1649496,0.12895987289598732,0.2205195732311744,0.3332904866709513,0.0058288677
0.28696895,0.14064252,0.51875734,0.29469111768146705,0.31832337,0.09711486,0.6483553,0.3513534,0.40072784,0.25343302,0.3407536340753634,0.06405787384347243,0.16397462360253764,0.24972318
0.17115644,0.10728919,0.34447733,0.17719508063170486,0.14862221,0.024974704,0.66625863,0.18993987,0.28594106,0.15791133,0.24314575431457544,0.15748595944915758,0.20452347954765202,0.14896615
0.050414957,0.03952506,0.15705252,0.1112281766736906,0.08708277,0.08550125,0.7616082,0.08467607,0.1906761,0.22265825,0.0791148329114833,0.17737525064251503,0.32766976723302327,0.043841504
0.012404114,0.043952882,0.12243235,0.13916212834972772,0.024535507,0.05141467,0.7334757,0.024474561,0.12621959,0.17182344,0.11581213158121317,0.19961053197663195,0.3402322159767784,0.022232886
0.26047918,0.2301257,0.41067496,0.1679313900758834,0.20884371,0.0726735,0.5091734,0.25320792,0.29830465,0.12087184,0.3247370124737013,0.12880929772855787,0.14936201506379848,0.25979656
0.022459447,0.14072612,0.06646478,0.12710094762605686,0.08577466,0.14894855,0.7335332,0.040817037,0.097155534,0.26073182,0.06997615699761571,0.15943350956601057,0.395247260475274,0.087333046
0.050940253,0.044578142,0.21123585,0.1651516699091002,0.056453586,0.026554525,0.71307707,0.08396007,0.20143557,0.15380323,0.17002321700232173,0.18337196100231767,0.27922094207790576,0.03890556
0.3776603,0.39637542,0.34850386,0.10652155639129339,0.13675636,0.11657286,0.43431106,0.18404163,0.2210655,0.018868953,0.398680939868094,0.4481697968901879,0.16486565351343463,0.36552307
0.032894045,0.07127217,0.106179655,0.12927175775630545,0.0223324,0.046963573,0.7607529,0.016069561,0.1052704,0.1699883,0.11465071146507115,0.19611248176674892,0.32595642740435726,0.05314028
0.07401229,0.1546548,0.107530594,0.2177201030632062,0.121735394,0.20442396,0.7649483,0.04487869,0.05783211,0.30373603,0.09199906319990632,0.2413678444820707,0.43002295699770426,0.11097236
0.049333036,0.023301855,0.19768837,0.1406846684410801,0.046861053,0.005838275,0.74503934,0.0864784,0.21264693,0.14959845,0.1298920629892063,0.22000131320007882,0.2720896327910367,0.024826758
0.053067237,0.049841084,0.18315339,0.09042144542528674,0.10919604,0.06378186,0.7426454,0.11963047,0.23150134,0.23138833,0.06820446682044667,0.12743320764599245,0.2977389702261029,0.063159674
0.5271905,0.5553829,0.50638497,0.11722452103347127,0.24285221,0.16868013,0.26987696,0.29050624,0.26416278,0.0125314295,0.5705829270582927,0.45042010702520646,0.10372461962753803,0.54054785
0.07421631,0.017199248,0.25779226,0.15860474951628498,0.13191426,0.02683869,0.73281395,0.16006397,0.27616757,0.19999862,0.12164671216467123,0.09415610564936634,0.24649250535074943,0.06778907
