ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,Resource,Dev.Type,Duration,N_effort,MI_N_effort_AFP,MI_N_effort_Added,MI_N_effort_Enquiry,MI_N_effort_File,MI_N_effort_Changed,MI_N_effort_Output,Effort
0.13402523804151428,0.22875441372526484,0.32765585,0.52783805,0.45241964,0.31701455,0.018626775117606506,0.26832902,0.3796323,0.2071906,0.4287729,0.527021731621304,0.7924669475480168,0.40230090023009,0.22596921,0.27981317,0.20751655,0.11154344,0.298087179808718,0.3868200432092026,0.48800877,0.21620041
0.2575632454537947,0.1321855679311341,0.25484782,0.49679503,0.3661726,0.24250619,0.028821847729310866,0.24882387,0.33041537,0.24395657,0.15411443,0.2481759648905579,0.66994850019691,0.2735638573563858,0.10826785,0.29287618,0.33804265,0.06654037,0.14039881403988141,0.2009317120559027,0.2464036,0.11555384
0.641637598498256,0.17358991041539462,0.27332765,0.27995938,0.5815955,0.33070764,0.05853000651180039,0.2390128,0.3601525,0.27120477,0.69515634,0.3353404601204276,0.4021601941296116,0.45144976514497653,0.24332313,0.2109939,0.40061274,0.2986476,0.24547737454773746,0.2832528869951732,0.022433996,0.24387664
0.20934909256094555,0.14630762877845774,0.23650739,0.5537555,0.34416357,0.2636897,0.04424608065476484,0.25875816,0.35593945,0.26505864,0.12904051,0.2450961347057681,0.6838676710320603,0.3765601576560158,0.11480232,0.2514071,0.35092798,0.072486885,0.198861279886128,0.2177783630667018,0.30378115,0.12280923
0.1390346083420765,0.18125407087524426,0.24064818,0.61766696,0.32792655,0.27139086,0.04930755095845306,0.3198782,0.31767988,0.2981357,0.06931575,0.24886627493197652,0.680850900851054,0.38417858841785885,0.12229997,0.23352467,0.42499214,0.087933876,0.2410172241017224,0.21642230298533818,0.4054473,0.12565045
0.1860709611642577,0.14683990881039452,0.2389272,0.5524492,0.3262137,0.31577337,0.04042212242532735,0.2189169,0.41860205,0.27919942,0.18022856,0.31650306899018416,0.7060617423637046,0.4314309831430983,0.15210317,0.21452124,0.3435939,0.079157434,0.22220883222088325,0.2833401470004088,0.30759886,0.15180193
0.4928634295718058,0.44808532688511965,0.5555091,0.35789415,0.6534711,0.652394,0.023520741411244484,0.50480944,0.3653335,0.457282,0.36870867,0.5183304310998259,0.49254182955250975,0.5943664594366459,0.3472522,0.5062418,0.46482462,0.3855179,0.4411740141174015,0.32025007921500476,0.13124645,0.34799027
0.5135742708144563,0.23764477425868646,0.40846545,0.3552926,0.5895736,0.2971864,0.032404364944261896,0.29032654,0.38504058,0.45165113,0.3481578,0.23267157396029445,0.3952756437165386,0.4873112487311249,0.19791467,0.34788117,0.37041515,0.23601872,0.19616869961686997,0.2462213347732801,0.13327718,0.20221972
0.2788873467332408,0.10283917617035057,0.22057045,0.48164582,0.32874054,0.26489514,0.034455119067307145,0.22088689,0.3545552,0.25062364,0.103779,0.20285023217101394,0.6375678382540704,0.24955927495592753,0.08475092,0.28922743,0.33919433,0.05917909,0.1691691169169117,0.23689311421358686,0.22750583,0.09183562
0.43271699596301977,0.33682226020933564,0.39805052,0.5441115,0.56899506,0.30429852,0.02185451931127116,0.4223563,0.32337254,0.122456595,0.12589523,0.24408780464526827,0.6192241371534483,0.1307732630773263,0.1725283,0.34268138,0.40907177,0.2055924,0.19536580953658098,0.224333733460024,0.29858318,0.17937776
0.4069521644171299,0.07675260060515604,0.18768996,0.37102532,0.4599999,0.26184258,0.03605342216320533,0.1836391,0.36361158,0.14015791,0.24591497,0.20182725210963512,0.6375594382535663,0.33447465344746535,0.10921131,0.28956842,0.26796708,0.15694523,0.197220179722018,0.326860599611636,0.24046957,0.1212416
