ID,AFP,Output,Enquiry,Interface,Changed,Deleted,PDR_AFP,Duration,N_effort,Resource_1,Resource_2,Resource_3,Resource_4,Dev.Type_0,Generated_Var_1,Generated_Var_2,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_11,Effort
1,1587,260,340,0,0,0,4.7,4.0,7490,0,0,0,1,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,7490
2,260,4,3,41,138,61,16.0,17.0,4150,0,1,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,4150
3,152,33,28,35,0,0,4.4,9.0,668,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,668
4,252,28,8,0,153,4,12.8,4.0,3901,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,3238
5,292,0,194,0,307,0,10.3,13.0,3607,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,2994
6,83,0,24,0,87,0,16.1,4.0,1606,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,1333
7,79,0,23,0,77,0,20.3,6.0,1936,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,1607
8,97,108,7,5,0,0,11.9,7.0,1158,0,1,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,1158
9,116,23,58,20,34,0,10.7,6.0,1498,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,1243
10,52,7,0,0,46,0,64.8,7.0,4063,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,3372
11,465,129,24,15,0,0,21.9,9.0,10200,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,10200
12,67,5,16,0,35,0,25.4,7.0,2053,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,1704
13,199,115,57,42,0,0,13.3,7.0,3034,0,1,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,2640
14,176,54,54,7,0,0,19.0,26.0,3348,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,3348
15,391,26,81,0,302,0,1.7,7.0,814,1,0,0,0,1,5.120185,3.3732107,0.92335796,4.048375,2.8309996,-0.25416493,-5.931686,1.3795323,-1.3313723,676
16,263,45,101,10,87,0,3.5,3.0,911,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,911
17,42,15,3,15,0,0,59.4,6.4,2496,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,2496
18,190,20,16,5,42,0,6.2,10.0,1171,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,1171
19,245,28,18,0,190,0,14.4,13.0,3532,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,3532
20,77,0,42,0,70,0,5.7,1.0,525,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,436
21,355,0,73,0,351,0,2.6,4.0,1095,1,0,0,0,1,3.1191685,2.2586803,0.60151243,2.0854661,1.4608326,-0.31693873,-3.392972,0.60862356,-0.5819267,909
22,3156,525,97,0,12,2657,2.9,6.0,10957,1,0,0,0,1,20.14797,11.427537,12.228277,-50.72839,-47.35786,-28.280384,-24.22869,36.79891,-33.43548,9094
23,46,28,0,0,25,0,7.5,6.0,344,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,344
24,56,12,15,5,0,0,5.3,3.0,296,0,0,0,1,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,296
25,106,4,12,0,53,7,33.0,13.0,4220,1,0,0,0,1,0.3393224,0.05999869,0.2428889,-0.114187606,-0.47898608,-0.33369648,-0.20836979,0.23382954,0.029847588,3503
