size_D,duration_D,nlan,t07,t10,t11,t14,t15,app_InfServ,effort_D
562,14,1,4,3,2,5,3,1,1062
647,16,3,4,5,4,4,5,0,7871
130,5,3,2,3,4,4,4,0,845
254,8,2,2,5,4,3,3,1,2330
1056,16,3,3,4,5,2,3,0,21272
383,12,2,4,4,3,4,4,0,4224
345,12,4,2,4,4,5,4,0,2826
209,27,2,3,5,3,2,3,0,7320
366,24,1,4,3,3,2,3,0,9125
1181,54,2,4,2,2,4,2,0,11900
181,13,2,2,4,2,3,3,1,4300
739,21,1,3,2,2,1,2,0,4150
108,7,2,1,3,4,5,1,0,900
48,10,3,2,3,5,4,2,0,583
249,19,2,3,3,3,4,3,1,2565
371,11,2,3,5,2,3,3,0,4047
211,13,1,4,3,2,3,3,0,1520
1849,32,4,4,4,4,3,4,0,25910
2482,38,4,5,4,5,1,4,0,37286
434,40,4,4,4,4,2,3,0,15052
292,29,3,3,5,3,2,3,0,11039
2954,14,4,4,4,5,3,3,0,18500
304,14,1,4,4,3,4,3,0,9369
353,28,1,2,4,2,3,3,0,7184
567,16,4,4,5,5,2,4,0,10447
467,13,3,3,4,3,3,3,0,5100
3368,45,3,4,4,4,2,4,0,63694
253,4,2,2,3,2,2,4,0,1651
196,10,3,2,3,2,4,3,0,1450
185,12,4,3,3,3,5,3,1,1745
387,6,2,3,4,4,3,4,0,1798
430,28,2,4,2,3,4,3,0,2957
204,6,2,3,4,2,3,3,0,963
71,6,1,2,2,3,4,3,0,1233
840,6,3,4,4,3,4,5,1,3240
1648,11,4,5,5,4,4,5,0,10000
1035,8,4,5,5,4,4,5,0,6800
548,22,1,3,3,3,3,3,0,3850
2054,31,3,3,4,5,3,4,0,14000
302,26,2,3,3,3,4,3,0,5787
1172,22,3,4,2,4,3,4,0,9700
253,7,1,3,3,3,4,3,1,1100
227,14,2,3,5,3,3,3,0,5578
59,6,3,2,3,3,3,3,0,1060
299,6,4,3,3,5,2,3,1,5279
422,15,1,3,3,4,2,4,0,8117
1058,9,3,5,4,3,4,4,0,8710
65,9,3,4,4,3,5,3,1,796
390,26,3,4,4,4,4,4,0,11023
193,13,2,2,3,3,4,4,0,1755
1526,28,4,3,3,4,3,3,1,5931
575,13,2,4,3,4,3,3,0,4456
509,13,1,3,3,2,2,3,0,3600
583,12,3,2,2,2,3,3,0,4557
315,14,2,4,3,3,3,3,0,8752
138,12,2,3,4,2,3,3,0,3440
257,9,3,3,4,4,4,3,0,1981
423,30,1,4,3,3,2,3,0,13700
495,20,3,3,3,3,4,4,0,7105
622,16,4,3,3,4,4,3,0,6816
204,12,2,4,5,5,2,3,1,4620
616,15,4,3,4,5,5,4,0,7451
3634,33,3,4,5,5,5,4,0,39479
