TeamExp,Transactions,Entities,PointsAdjust,Envergure,Generated_Var_2,Effort
0.32222897,0.10238244,0.61139333,0.21110524,0.570246,0.63784444,0.20107979
-0.038829327,0.16892354,0.120127454,0.059088096,0.3919584,0.82885355,0.17901638
0.67642295,0.13613999,0.20046365,0.093498796,0.3590527,0.5906543,0.15271166
0.17248484,0.2322893,0.16730003,0.124827445,0.5641563,0.9550108,0.18365875
0.38950938,0.14865305,0.10337615,0.058473013,0.33579844,0.77142084,0.15970194
0.017916977,0.20913632,0.17619258,0.12509793,0.41997817,0.7646834,0.15424426
0.22155932,0.13750404,0.11527506,0.042751614,0.36888087,1.0289282,0.14428973
0.8934251,0.31690276,0.27430323,0.21958429,0.67449284,0.11439049,0.4659035
0.23479488,0.24645357,0.15088694,0.13792738,0.5522127,0.6208981,0.2592728
0.45857024,0.19035088,0.39484438,0.17003503,0.119756244,0.8484582,0.15424536
0.68179786,0.1102407,0.14160122,0.054754652,0.2899725,0.69950867,0.12963912
0.5155269,0.23157673,0.35324168,0.23669524,0.6992933,0.5036726,0.2414788
0.7466334,0.26112595,0.45340398,0.2756748,0.7457975,0.4706982,0.38161543
-0.012018099,0.280498,0.13016844,0.15995613,0.48753184,0.649286,0.23751247
0.056865193,0.2617377,0.22194871,0.1790756,0.4680339,0.5180586,0.23695308
0.71369916,0.26398835,0.42539656,0.28722513,0.7055929,0.45986614,0.29562727
0.5477398,0.43104112,0.14871646,0.2464592,0.545182,0.2720465,0.42723614
-0.0049366057,0.2432789,0.18779624,0.12041709,0.6233835,0.788281,0.24872679
0.7335271,0.13842894,0.5002537,0.20014961,0.615201,0.48093012,0.18878207
0.42099017,0.37844867,0.2244072,0.23066,0.63223684,0.6384509,0.385596
0.63504755,0.1547356,0.97506315,0.37544584,0.34875223,0.80885977,0.37585372
0.024864115,0.28231663,0.19113044,0.1797207,0.42654064,0.6038873,0.17261934
0.71543545,0.19723804,0.4814108,0.22766216,0.6778733,0.44226608,0.28805465
0.5246057,0.1983039,0.203362,0.14216688,0.5149829,0.46151322,0.12498966
0.58896416,0.28297886,0.19288072,0.18970913,0.5949573,0.25256753,0.3218035
0.75694126,0.18702863,0.3934917,0.20446576,0.74158204,0.4373887,0.36707982
0.666471,0.08982739,0.17772478,0.058432728,0.26010972,0.5844782,0.106776536
0.7090222,0.1592108,0.2901466,0.13495849,0.39292106,0.59630996,0.22619286
0.7711928,0.12581939,0.1856577,0.07068507,0.27987552,0.56157804,0.089279935
0.13247837,0.04530338,0.5352689,0.1548807,0.5154892,0.6505487,0.1276673
0.76679665,0.28273818,0.4502101,0.30010828,0.69448364,0.380319,0.48983932
0.03315068,0.18715264,0.13639082,0.04741316,0.0676106,1.0697405,0.20956558
0.7297683,0.6067718,0.54003626,0.5750028,0.7620792,0.41488212,0.7564766
0.23188323,0.25084886,0.3200997,0.2016673,0.6048317,0.6323349,0.25894582
0.64543426,0.14793263,0.09813885,0.057547078,0.12058718,0.619979,0.091906756
0.70033675,0.12587474,0.51506716,0.18132344,0.5081624,0.66833997,0.24329597
0.051797844,0.10910867,0.0576727,0.019225713,0.30905467,0.5334754,0.090505525
0.4949805,0.093109325,0.15947658,0.060715735,0.373158,0.577466,0.12958986
0.5084767,0.107338876,0.64343446,0.21916121,0.4477885,0.71624255,0.27341643
0.13519673,0.03480054,0.89419734,0.2372801,0.26492265,0.93114233,0.2776211
0.027984515,0.1839508,0.27523482,0.14121494,0.49594048,0.7543718,0.1495356
0.7375495,0.21368714,0.23957159,0.15239708,0.57692575,0.48813692,0.2967137
