size_D,duration_D,app,har,ifc,source,nlan,t04,t05,t07,t08,t10,t11,t12,Generated_Var_4,Generated_Var_6,Generated_Var_9,Generated_Var_12,effort_D
0.31554013,0.35677838,0.75006837,0.76069283,0.8223158,1.4461219,0.5178384,0.4035919,0.6274071,0.4929388,0.22800936,0.5809861,0.6367423,0.87756187,0.47008517,0.53389883,0.0058381124,0.2797992,0.19552216
0.2889036,0.49322543,1.3660105,1.3798131,1.9334092,3.1755006,0.26852754,0.6696525,0.9480299,0.53132653,0.59245014,0.7310377,0.936934,1.5632873,0.61196,0.7149448,-0.116161756,0.6437975,0.2915679
0.32372868,0.3582517,0.7857788,0.8214851,0.95199823,1.6414391,0.59426045,0.4565897,0.6873839,0.5166615,0.27392435,0.60989624,0.740047,0.9171038,0.5163251,0.62117827,-0.06944795,0.28819394,0.22525832
0.5493796,0.4338777,0.8070364,0.8493212,0.6871816,1.6215708,1.0593075,0.34849986,0.9081807,0.7671308,0.26115832,0.777674,0.9995963,0.98568594,0.80572,0.79856664,-0.06495313,0.21424033,0.32860538
0.13692921,0.10786058,0.4386444,0.63117564,0.73221326,1.0602331,0.3069914,0.39142257,0.5171932,0.37189883,0.09188237,0.48229176,0.42546043,0.7252756,0.24303173,0.32660758,0.2871059,0.54856765,0.013818743
0.1670281,0.09469116,0.37672037,0.5488219,0.5769376,0.85310924,0.33592767,0.33103552,0.52278024,0.35785732,0.005856878,0.47028026,0.40251142,0.68129337,0.24004239,0.29546297,0.3159304,0.52166724,-0.005504026
0.1944376,0.2882971,0.69447887,0.69116384,0.83778036,1.2692839,0.24730766,0.3972766,0.48009002,0.40520206,0.24504712,0.5078059,0.41507155,0.81393886,0.28698042,0.3927827,0.121870264,0.34614295,0.11094854
0.41189295,0.41148788,0.8854723,0.9209265,0.9916347,1.8931258,0.7717155,0.46942183,0.8047204,0.6070294,0.32629544,0.66780376,0.896544,1.0227823,0.67090267,0.72580343,-0.14557464,0.25477067,0.3091053
0.15477307,-0.032604814,0.27541158,0.64377314,0.5786857,0.93375856,0.45252267,0.35400108,0.66064095,0.4318972,-0.05194531,0.5531964,0.52099115,0.780389,0.286887,0.33329016,0.51627684,0.783694,-0.081950895
0.47747612,0.48192915,0.9314042,0.9268524,0.94451165,1.9130563,0.90612024,0.47204173,0.8721539,0.65954345,0.31129152,0.7619934,0.95899016,1.0894183,0.7503832,0.7898508,-0.16764507,0.24291557,0.35597295
0.25843403,0.40465966,1.0724062,1.0509061,1.3898714,2.2582705,0.29683018,0.5390559,0.70463514,0.46221215,0.44111368,0.6104804,0.69944143,1.2036251,0.48256683,0.5658885,-0.04370799,0.45502353,0.23146689
0.39683962,0.22613472,0.51198053,0.6823562,0.46558002,1.1591905,0.7821628,0.3066322,0.7756859,0.5978418,0.032026686,0.6653246,0.780378,0.85270226,0.57673764,0.56198925,0.08481255,0.3354752,0.16238159
0.5469047,0.06579648,0.39205402,0.8427539,0.10364576,1.1081496,1.1058129,0.27881518,1.1921698,0.7480363,-0.3609759,0.9990718,1.0377473,1.145595,0.7426634,0.58430296,0.49291056,0.84710217,0.018934175
0.20483352,0.28454188,0.79751784,0.88581973,1.0851758,1.7687165,0.23486407,0.45997003,0.59153336,0.41467375,0.29920256,0.53413266,0.5589511,0.9693002,0.34591135,0.45116568,0.030742446,0.43420112,0.12792258
0.1950926,0.034140095,0.32857448,0.5526933,0.4736941,0.80190265,0.38246402,0.31444535,0.62070787,0.40110245,-0.09151051,0.53680277,0.42293206,0.75668216,0.23637725,0.2616492,0.47471878,0.6994692,-0.07906508
0.13478911,0.022961354,0.31796977,0.5687698,0.56673485,0.86547273,0.28585145,0.3466362,0.55226386,0.36314422,-0.024132501,0.4823745,0.36352143,0.71386546,0.18302605,0.2383444,0.46740505,0.69039774,-0.064043805
0.5528957,0.24069917,0.5380635,0.82421875,0.3890308,1.3644822,1.1268092,0.3274931,1.0247068,0.78123075,-0.0410268,0.87992424,1.0515687,0.99369735,0.7855626,0.7197944,0.17133194,0.47729445,0.21035436
0.36023882,0.37156785,0.8694403,0.9310343,1.0951614,1.9537452,0.66552806,0.49063534,0.75362086,0.5384381,0.35345733,0.62246877,0.8578807,1.0051724,0.61096853,0.7017267,-0.13130362,0.31392032,0.27160212
0.44010884,0.2856172,0.6748579,0.7191329,0.47764266,1.2441828,0.77003866,0.33849293,0.8014828,0.62565905,0.023619153,0.7281267,0.7774128,1.0172853,0.6014893,0.59414977,0.094519846,0.33946383,0.15463953
0.23785032,0.26884365,0.657568,0.8025489,0.9958321,1.5099249,0.4666554,0.4335425,0.59676635,0.47003427,0.24899763,0.53351885,0.648239,0.8611033,0.43481013,0.52866495,0.046166178,0.37912947,0.15889204
0.16240999,0.23291811,0.62263864,0.65444326,0.81945753,1.1988363,0.24858816,0.40110072,0.47289544,0.38945562,0.20547548,0.4842488,0.39866713,0.7775537,0.26280975,0.37074736,0.16251233,0.39572203,0.091653176
0.47572035,0.43291655,0.80190367,0.8493301,0.82073104,1.6912005,0.8781877,0.4136231,0.8204566,0.6575829,0.281517,0.6972871,0.91286427,0.93103164,0.70664084,0.7474854,-0.11662516,0.2221187,0.31870183
0.48055184,0.28492707,0.60237235,0.73923844,0.4464535,1.2612714,0.9221583,0.31992444,0.88436794,0.68577224,0.0117954435,0.7887265,0.88353497,0.97706616,0.65687156,0.6326494,0.13726199,0.40197825,0.19140181
0.15140888,-0.025335493,0.2685516,0.5669873,0.49697196,0.80663925,0.3557164,0.32881272,0.5932385,0.37523922,-0.088671036,0.49954638,0.41522112,0.69210076,0.21489559,0.24449505,0.48473713,0.720981,-0.09193068
0.17899811,0.21588685,0.591276,0.6595657,0.78382003,1.1806389,0.2788356,0.39558625,0.51061344,0.40245485,0.1704649,0.48608726,0.4212016,0.7830239,0.28156108,0.36774698,0.18117575,0.4165678,0.065713026
0.21384019,-0.13604413,0.18709591,0.64694667,0.3420443,0.78623897,0.38303435,0.3218036,0.78877854,0.4788544,-0.24638788,0.58546704,0.42034328,0.8674047,0.22812186,0.13753346,0.83239233,1.1124555,-0.22858784
0.15559852,0.14751118,0.5183425,0.76735306,0.9476719,1.3853371,0.35835248,0.43127725,0.5636885,0.40944275,0.20070523,0.5063069,0.5440516,0.7743397,0.32458672,0.41997936,0.16933116,0.5219194,0.051961713
0.22429535,0.2702846,0.69968164,0.8534525,1.0710189,1.6438155,0.40000284,0.45482507,0.60749465,0.47280735,0.28996006,0.55284226,0.6297315,0.8772597,0.4035997,0.5378,0.03574466,0.4204596,0.13960399
0.1897323,0.088385575,0.36036706,0.6091256,0.60344243,0.9716848,0.46128097,0.34861022,0.5733453,0.40835667,0.019196346,0.5076557,0.51744694,0.7024331,0.3299188,0.37687904,0.2659606,0.51244044,0.02820036
0.21786949,0.30750912,0.8102912,0.8806454,1.1664648,1.8204757,0.33804473,0.48716852,0.613592,0.44129944,0.33094072,0.54739475,0.63474596,0.9471751,0.4142025,0.53256387,-0.014556416,0.40838256,0.1806631
0.43567145,0.24858123,0.5924362,0.7167785,0.44537562,1.187167,0.78862464,0.3253645,0.86441255,0.6346021,-0.038552485,0.7537855,0.7959098,0.9911856,0.5874774,0.5777328,0.17234448,0.43277144,0.13407455
0.25057977,0.31181625,0.71151763,0.79005873,0.990981,1.528431,0.43454376,0.44359478,0.5878314,0.4485573,0.27827325,0.54101187,0.6182652,0.83326197,0.4174242,0.5310327,-0.0038238014,0.34058833,0.1703355
0.22859724,0.29469827,0.71784043,0.7825078,1.0059074,1.5529015,0.381059,0.45486447,0.56604815,0.4086539,0.2812503,0.52275705,0.58959883,0.8248514,0.38876146,0.5137799,-0.015638556,0.34238195,0.16631491
0.09225328,0.026167577,0.49265066,0.7372938,0.82972646,1.3321087,0.1052582,0.41780096,0.7073134,0.484111,0.076384395,0.5152018,0.3448127,0.9658532,0.14654718,0.16965947,0.6559879,0.94799936,-0.11989529
0.21558815,0.2660532,0.64697325,0.68163675,0.807629,1.2864386,0.3222972,0.38379538,0.5285195,0.4277197,0.19439442,0.5197398,0.48415342,0.82151586,0.32213908,0.42662838,0.08759688,0.3194957,0.13091178
0.21568221,-0.013138343,0.27238157,0.53880924,0.368452,0.7114288,0.38797775,0.28378052,0.66233253,0.39625224,-0.15813014,0.5425999,0.41552573,0.7546604,0.23874217,0.21657367,0.5381911,0.76833284,-0.107764915
0.16715193,0.010993516,0.28518507,0.60285735,0.55091447,0.9024976,0.40452304,0.3284516,0.5767586,0.35414365,-0.027733333,0.46257836,0.48855382,0.67479944,0.29203936,0.3103411,0.30869403,0.5558733,-0.022967003
0.23936293,-0.09853767,0.2109857,0.72805816,0.43753058,1.0164843,0.66860515,0.31508553,0.80701375,0.48086944,-0.16118829,0.62220955,0.7098429,0.83829635,0.45335478,0.39135468,0.455599,0.7602507,-0.060045928
0.22218879,0.10713306,0.37485605,0.56793016,0.48677766,0.87039536,0.46324828,0.321025,0.5939653,0.40812334,-0.037052695,0.5298445,0.49932766,0.72725254,0.31785947,0.35095194,0.29122534,0.5095333,0.0066522444
0.1814492,0.11539343,0.39205062,0.5732768,0.5946006,0.89357966,0.3909865,0.34241816,0.53243506,0.3808349,0.020492233,0.4906012,0.4505096,0.68774813,0.2797431,0.3329556,0.28311196,0.49835232,0.012235506
0.43708786,0.09725923,0.36476177,0.71906036,0.25420332,0.97706294,0.8825742,0.282766,0.9104893,0.61322343,-0.16635264,0.7847584,0.8417016,0.89839816,0.594972,0.5087085,0.33813244,0.63273567,0.04369744
0.19701293,0.12876724,0.40486726,0.56612194,0.564785,0.89477295,0.39549413,0.3332028,0.54213244,0.3813852,0.0049267486,0.5057033,0.45367238,0.7049882,0.2965824,0.33862478,0.25402468,0.46531272,0.031570867
0.26979542,0.03831762,0.37902263,0.57399386,0.31137055,0.8389266,0.55160844,0.2643406,0.7511419,0.44276166,-0.1388971,0.6058516,0.5793154,0.8255324,0.40362448,0.35333532,0.33327484,0.56023526,-0.0013403436
0.3707192,0.14275147,0.39184245,0.66561264,0.3672351,0.96942,0.76698565,0.2823281,0.79352987,0.5834442,-0.07763861,0.6886577,0.75127983,0.82905644,0.50328285,0.48225152,0.29392672,0.55516815,0.07846833
0.23731758,0.18283,0.4894158,0.6059145,0.60304713,1.0885592,0.4634953,0.36542797,0.5547532,0.4233313,0.07732835,0.5208642,0.52886504,0.7257109,0.36720493,0.43154526,0.09459909,0.32357243,0.11097749
0.21041201,0.26732007,0.6730399,0.7421142,0.9192245,1.4022952,0.29050526,0.41454238,0.52316904,0.40607074,0.23767759,0.49616444,0.5039631,0.82573724,0.32725564,0.42990625,0.0662286,0.35803625,0.13097252
0.25416648,0.26820862,0.6774896,0.90283763,1.1190675,1.7496301,0.52964914,0.48692024,0.67389023,0.5116025,0.3042079,0.58717316,0.7397564,0.9034616,0.47134987,0.62048364,0.015385128,0.45810616,0.1601106
0.21094997,0.13947299,0.42981687,0.59841007,0.6097734,0.979246,0.4162353,0.32860947,0.5855049,0.41582146,0.04176487,0.51280737,0.50708896,0.7377219,0.3188709,0.3693714,0.2718477,0.48002267,0.024984738
0.18322507,0.22384205,0.6049846,0.6827871,0.82524323,1.2343807,0.3113815,0.3848691,0.5270427,0.40396422,0.18299592,0.4933903,0.47531027,0.79582614,0.32388452,0.38630027,0.13384634,0.3877327,0.088041656
0.36656794,0.5744702,1.3695596,1.3736595,1.8324499,3.0322165,0.53923595,0.6852806,0.95449615,0.6134813,0.59717774,0.758378,1.0310377,1.5189648,0.7452363,0.83861774,-0.20652235,0.5266245,0.36774567
0.1927625,0.26093435,0.6569343,0.7128063,0.87706304,1.2983898,0.2933456,0.3954535,0.5047687,0.41530842,0.2211657,0.4947794,0.4686845,0.8088576,0.32267284,0.41081074,0.10569653,0.35891664,0.113973446
0.14712381,0.16689974,0.51976216,0.6158463,0.74635255,1.0716572,0.27501962,0.38338512,0.4874318,0.37440774,0.13004516,0.46948737,0.39841387,0.7356579,0.24406382,0.33622018,0.22860652,0.46225393,0.048235252
0.2382144,0.25384438,0.57509,0.6552293,0.7280811,1.131681,0.46153906,0.38804182,0.53800297,0.44522333,0.15334441,0.5216268,0.55375195,0.7579368,0.3801012,0.46182,0.092130005,0.321728,0.12147047
0.2059037,0.23751473,0.58846635,0.73348427,0.91482484,1.3467584,0.4157318,0.431495,0.5436237,0.4262373,0.22312753,0.5071729,0.568245,0.7726722,0.37154558,0.47824928,0.07041776,0.38278106,0.11566722
0.2175609,0.07895922,0.3736606,0.55650884,0.4793566,0.8189687,0.3865899,0.31269914,0.63398755,0.43032,-0.066071935,0.55263776,0.42351606,0.7965525,0.25193638,0.27465683,0.47714448,0.6823856,-0.05944542
0.44897512,0.38901812,0.8686411,1.0739918,1.2080693,2.225809,0.8571357,0.52473086,0.8819665,0.6773753,0.35265768,0.7327272,1.0457114,1.0972514,0.71154755,0.85945743,-0.1414659,0.38765678,0.3132069
0.19215274,0.21608354,0.5900711,0.65000975,0.75783455,1.1834453,0.3026322,0.41112432,0.50654125,0.38389128,0.151562,0.49437362,0.44575393,0.8283735,0.30403948,0.390406,0.13628429,0.37898874,0.072629996
0.21256514,-0.050661795,0.2622674,0.62851703,0.43515533,0.8662686,0.5303346,0.31996897,0.7267256,0.4391927,-0.13168117,0.5782989,0.5576946,0.782167,0.33751738,0.33511847,0.4821863,0.76606494,-0.07465067
0.42884827,0.37002844,0.8562756,0.97421646,1.0699676,2.0189373,0.78962135,0.45835167,0.8209771,0.65316916,0.31314972,0.67882895,0.9478229,1.0573448,0.657775,0.7695033,-0.11770423,0.3216805,0.27302915
0.49566633,0.38650137,0.7192586,0.7565616,0.58813953,1.4176576,0.91774356,0.34235865,0.8089174,0.673535,0.17649738,0.71379286,0.8706869,0.9217201,0.6827785,0.6959854,-0.024290107,0.22455117,0.27273405
0.49160326,0.35135153,0.7068441,0.77824044,0.57796466,1.4049048,0.9195487,0.35252854,0.8650857,0.7059578,0.10593143,0.78541774,0.8938037,1.0024515,0.6736849,0.69531614,0.030590326,0.30170107,0.2461665
0.3862048,0.51708835,1.2278991,1.316275,1.7651325,2.9322503,0.6533211,0.64813054,0.9550679,0.59453344,0.595681,0.724438,1.0683757,1.3457813,0.7729978,0.8713082,-0.25414166,0.50067025,0.35116425
