AFP,Input,Output,Enquiry,File,Interface,Added,Changed,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_3,Resource_4,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_5,Generated_Var_9,Generated_Var_10,Generated_Var_11,Effort
1587.0,774.0,260.0,340.0,128.0,0.0,1502.0,0.0,4.7,5.0,4.7,5.0,4.0,7490.0,0.0,0.0,1.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,7490
260.0,9.0,4.0,3.0,193.0,41.0,51.0,138.0,16.0,16.6,16.0,16.6,17.0,4150.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,4150
152.0,25.0,33.0,28.0,42.0,35.0,163.0,0.0,4.4,4.1,4.4,4.1,9.0,668.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,668
252.0,151.0,28.0,8.0,39.0,0.0,69.0,153.0,12.8,14.3,15.5,17.3,4.0,3901.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,3238
292.0,93.0,0.0,194.0,20.0,0.0,0.0,307.0,10.3,9.8,12.4,11.7,13.0,3607.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2994
83.0,63.0,0.0,24.0,0.0,0.0,0.0,87.0,16.1,15.3,19.3,18.5,4.0,1606.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1333
79.0,24.0,0.0,23.0,30.0,0.0,0.0,77.0,20.3,20.9,24.5,25.1,6.0,1936.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1607
97.0,0.0,108.0,7.0,0.0,5.0,120.0,0.0,11.9,9.7,11.9,9.7,7.0,1158.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1158
116.0,0.0,23.0,58.0,14.0,20.0,81.0,34.0,10.7,10.8,12.9,13.0,6.0,1498.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1243
52.0,39.0,7.0,0.0,0.0,0.0,0.0,46.0,64.8,73.3,78.1,88.3,7.0,4063.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,3372
465.0,209.0,129.0,24.0,83.0,15.0,460.0,0.0,21.9,22.2,21.9,22.2,9.0,10200.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,10200
67.0,32.0,5.0,16.0,7.0,0.0,25.0,35.0,25.4,28.4,30.6,34.2,7.0,2053.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1704
199.0,0.0,115.0,57.0,0.0,42.0,214.0,0.0,13.3,12.3,15.2,14.2,7.0,3034.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2640
176.0,13.0,54.0,54.0,40.0,7.0,168.0,0.0,19.0,19.9,19.0,19.9,26.0,3348.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,3348
391.0,208.0,26.0,81.0,25.0,0.0,38.0,302.0,1.7,2.0,2.1,2.4,7.0,814.0,1.0,0.0,0.0,5.120185,3.3732107,-8.091177,4.048375,1.3795323,-3.447539,-1.3313723,676
263.0,65.0,45.0,101.0,42.0,10.0,176.0,87.0,3.5,3.5,3.5,3.5,3.0,911.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,911
42.0,12.0,15.0,3.0,7.0,15.0,52.0,0.0,59.4,48.0,59.4,48.0,6.4,2496.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2496
190.0,98.0,20.0,16.0,63.0,5.0,160.0,42.0,6.2,5.8,6.2,5.8,10.0,1171.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1171
245.0,105.0,28.0,18.0,58.0,0.0,19.0,190.0,14.4,16.9,14.4,16.9,13.0,3532.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,3532
77.0,28.0,0.0,42.0,0.0,0.0,0.0,70.0,5.7,6.2,6.8,7.5,1.0,525.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,436
355.0,278.0,0.0,73.0,0.0,0.0,0.0,351.0,2.6,2.6,3.1,3.1,4.0,1095.0,1.0,0.0,0.0,3.1191685,2.2586803,-4.8509645,2.0854661,0.60862356,-1.9127747,-0.5819267,909
3156.0,2075.0,525.0,97.0,0.0,0.0,28.0,12.0,2.9,3.4,3.5,4.1,6.0,10957.0,1.0,0.0,0.0,20.14797,11.427537,10.638939,-50.72839,36.79891,21.059443,-33.43548,9094
46.0,0.0,28.0,0.0,25.0,0.0,28.0,25.0,7.5,6.5,7.5,6.5,6.0,344.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,344
56.0,14.0,12.0,15.0,7.0,5.0,53.0,0.0,5.3,5.6,5.3,5.6,3.0,296.0,0.0,0.0,1.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,296
106.0,65.0,4.0,12.0,14.0,0.0,35.0,53.0,33.0,36.9,39.8,44.4,13.0,4220.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,3503
71.0,31.0,28.0,9.0,7.0,0.0,31.0,23.0,3.5,3.3,4.2,3.9,1.0,296.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,246
306.0,51.0,105.0,0.0,105.0,45.0,306.0,0.0,6.8,6.8,6.8,6.8,24.0,2082.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2082
244.0,68.0,78.0,22.0,62.0,14.0,244.0,0.0,0.8,0.8,0.8,0.8,7.0,191.0,0.0,0.0,1.0,2.9500353,7.684751,-8.474759,5.7339277,-1.525365,-3.5624084,0.9288357,191
98.0,21.0,46.0,3.0,44.0,0.0,114.0,0.0,30.3,26.1,36.6,31.4,15.0,3583.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,2974
331.0,100.0,44.0,61.0,107.0,0.0,312.0,0.0,1.0,1.1,1.2,1.3,2.0,395.0,1.0,0.0,0.0,3.862353,5.160214,-9.658725,6.647325,-2.7413044,-5.5222397,2.4213853,328
101.0,16.0,5.0,39.0,52.0,0.0,112.0,0.0,4.0,3.6,4.0,3.6,8.0,406.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,406
192.0,9.0,102.0,0.0,10.0,77.0,198.0,0.0,9.3,9.0,11.2,10.9,8.0,2151.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1785
60.0,39.0,4.0,0.0,14.0,10.0,39.0,22.0,7.9,7.0,7.9,7.0,8.0,471.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,471
180.0,74.0,18.0,33.0,57.0,0.0,153.0,29.0,3.9,3.8,3.9,3.8,5.0,700.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,700
118.0,43.0,71.0,7.0,0.0,0.0,38.0,83.0,4.9,4.8,5.9,5.8,2.0,698.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,579
73.0,43.0,10.0,4.0,15.0,0.0,6.0,66.0,16.6,16.8,20.0,20.3,3.0,1459.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1211
143.0,63.0,0.0,27.0,45.0,0.0,14.0,121.0,8.0,8.4,9.6,10.2,4.0,1372.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1139
2190.0,706.0,648.0,236.0,235.0,0.0,1825.0,0.0,6.6,8.0,7.6,9.1,19.0,16690.0,0.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,14520
9.0,0.0,10.0,0.0,0.0,0.0,5.0,5.0,26.6,23.9,26.6,23.9,2.0,239.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,239
203.0,21.0,167.0,3.0,10.0,0.0,201.0,0.0,6.2,6.3,7.5,7.6,5.0,1520.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1262
162.0,64.0,36.0,9.0,28.0,20.0,157.0,0.0,10.8,11.2,10.8,11.2,8.0,1754.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1754
183.0,60.0,21.0,29.0,71.0,0.0,181.0,0.0,8.3,8.4,10.0,10.1,6.0,1824.0,1.0,0.0,0.0,0.3393224,0.05999869,-0.23620301,-0.114187606,0.23382954,0.15960735,0.029847588,1514
