size_D,duration_D,nlan,t07,t11,t14,Generated_Var_2,effort_D
0.143335192414947,0.2,0.0,0.75,0.0,1.0,0.37416017,0.0075898020947219
0.1670384829894032,0.24,0.6666666666666666,0.75,0.6666666666666666,0.75,0.078281604,0.1154790765476699
0.0228667038482989,0.02,0.6666666666666666,0.25,0.6666666666666666,0.75,0.78297955,0.0041514157595347
0.0574456218627997,0.08,0.3333333333333333,0.25,0.6666666666666666,0.5,0.7649313,0.0276813867630048
0.2810931399888455,0.24,0.6666666666666666,0.5,1.0,0.25,0.5619746,0.3278192391183787
0.0934188510875627,0.16,0.3333333333333333,0.75,0.3333333333333333,0.75,0.41895244,0.0576920029788784
0.0828220858895705,0.16,1.0,0.25,0.6666666666666666,1.0,0.6562005,0.035540555529147
0.0448968209704406,0.46,0.3333333333333333,0.5,0.3333333333333333,0.25,0.15512398,0.1067484273739918
0.0886781929726715,0.4,0.0,0.75,0.3333333333333333,0.25,0.6047099,0.1353488298394891
0.3159509202453988,1.0,0.3333333333333333,0.75,0.0,0.75,0.5893205,0.1793189776742564
0.0370886781929726,0.18,0.3333333333333333,0.25,0.0,0.5,0.7412983,0.0588962304511099
0.1926938092582264,0.34,0.0,0.5,0.0,0.0,0.91329104,0.0565194657032846
0.0167317345231455,0.06,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,0.0050228961670707
0.0,0.12,0.6666666666666666,0.25,1.0,0.75,0.81075215,0.0
0.0560513106525376,0.3,0.3333333333333333,0.5,0.3333333333333333,0.75,0.60527587,0.0314049848679311
0.0900725041829336,0.14,0.3333333333333333,0.5,0.0,0.5,0.64783895,0.0548874205764446
0.0454545454545454,0.18,0.0,0.75,0.0,0.5,0.60860974,0.0148468571247484
0.5022308979364194,0.56,1.0,0.75,0.6666666666666666,0.5,0.3428284,0.4013088051211357
0.6787506971556051,0.68,1.0,1.0,1.0,0.0,0.24829927,0.5815626435962035
0.1076408254322364,0.72,1.0,0.75,0.6666666666666666,0.25,0.35915253,0.2292627275752246
