size_D,app,har,telonuse,t02,t03,t09,t11,t13,t14,MI_size_D_t07,MI_size_D_t09,MI_size_D_t11,MI_size_D_nlan,MI_size_D_t02,MI_size_D_t14,MI_size_D_t10,MI_size_D_app,effort_D
0.16571742,0.6137378,0.35295653,0.28277949696676985,0.50194,0.25304016,0.3749095,0.3734604924076295,0.07851221,0.3700053,0.19413692,0.28345832,0.102938384,0.1671062400263744,0.09794234,0.20811683,0.22705604362336262,0.21067919,0.28013888
0.054320496,0.5147574,0.1599405,0.11923935715436143,0.34045187,0.32003048,0.16988492,0.3030640381838423,0.10382911,0.21800327,0.05861913,0.12935889,0.10686709,0.04895732893743974,0.043812,0.3640495,0.21427553285653198,0.16200446,0.28711313
0.113548234,0.6031779,0.3572718,0.3117040187022411,0.7243073,0.2742826,0.43830416,0.4086846245210775,0.1623185,0.5510493,0.14115542,0.29486704,0.026811987,0.12344084740645084,0.090626806,0.317516,0.1711588302695298,0.17752223,0.28273854
0.024243142,0.43455148,0.06615901,0.13057238783434327,0.21805379,0.32397684,0.08642173,0.29974481798468905,0.13293818,0.1264813,0.021216232,0.08380516,0.11847669,0.026546433592786016,0.082025275,0.5030368,0.23102033386122003,0.17270659,0.34055012
0.09001388,0.45605057,0.13324825,0.2226039633562378,0.19068703,0.31275636,0.17024693,0.3597769615866177,0.15886997,0.14382374,0.112813056,0.14682963,0.1545072,0.09185045051102704,0.14716226,0.48635817,0.28735549724132986,0.21768191,0.37064654
0.13697726,0.45313963,0.14896421,0.25914561554873694,0.14472076,0.27929407,0.17425907,0.3773295526397732,0.14815451,0.11810449,0.15714566,0.17264886,0.21868277,0.13471748808304929,0.18608686,0.5468025,0.32034806922088416,0.27059174,0.40275794
0.012318622,0.42396796,0.044783518,0.09324777559486654,0.21079025,0.3571268,0.073439926,0.283710417022625,0.16699399,0.10870394,0.009765152,0.046090852,0.13210708,0.01122266467335988,0.07175577,0.5040084,0.24085952445157147,0.16798937,0.34265265
0.04072733,0.48218757,0.12283985,0.11231426673885601,0.2858005,0.3302645,0.12017438,0.29324905759494346,0.10755279,0.15243861,0.041075733,0.09109141,0.11595539,0.0330669449840167,0.06202425,0.39786425,0.22782367366942044,0.16622366,0.31741932
0.009859685,0.4298879,0.048321083,0.0983562599013756,0.2059131,0.35166776,0.071525574,0.28947727736863665,0.1611792,0.10074487,0.0029239915,0.04736386,0.13279252,0.008513395510803731,0.07608153,0.5028523,0.24535831472149888,0.17322868,0.3441726
0.05349839,0.27605632,0.026838645,0.12521672751300367,0.27659222,0.46269053,0.029031783,0.21123230267393817,0.31769547,0.22088742,0.068237364,0.015599791,0.1366165,0.028358984701539084,0.09228566,0.5555016,0.1921302815278169,0.13458939,0.27164325
0.056935,0.4854082,0.13928531,0.17899881073992865,0.30429503,0.31145012,0.18939295,0.32586325955179557,0.12326067,0.21210408,0.068672925,0.14589089,0.0985206,0.06718883403133005,0.0946387,0.41428077,0.2205184632311078,0.17768396,0.32236642
