turn,acap,pcap,modp,sced,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_loc_time,MI_loc_cplx,MI_loc_pcap,actual
0.11905815,0.3431942,0.14922604,0.2360531,0.8132465,0.22735374,0.3271766796306008,0.5394938923696335,0.5190969,0.36839032,0.4510469848953015,0.33959937,0.28399837
0.30312285,0.61890006,0.48183075,0.61069256,0.8155133,0.14399853,0.1900684214041053,0.552681633160898,0.36863035,0.10070295,0.303741809625819,0.33356726,0.24927324
0.20873803,0.53704137,0.45855412,0.655549,0.5790006,0.14949319,0.15171728910303736,0.5681513340890801,0.39304543,0.14153674,0.2690942030905797,0.42745295,0.14902547
0.09233293,0.24572232,0.28345412,0.30540633,0.33025134,0.5041005,0.5039766302385978,0.7690650461439028,0.71455616,0.446096,0.6692234830776517,0.68118936,0.49338755
0.07423812,0.32026434,0.28735805,0.39071172,0.5081227,0.34010816,0.3006676880400613,0.7090385425423126,0.6276245,0.2557899,0.5105251189474881,0.57582754,0.37258488
0.10073508,0.42788988,0.27549776,0.4408412,0.7466636,0.149528,0.1411791684707501,0.5841497350489842,0.48097575,0.20802133,0.3515588248441175,0.43051538,0.19326213
0.3588414,0.5884998,0.5548248,0.70985186,0.5486547,0.17301995,0.25931914555914876,0.5106629306397759,0.3137101,0.11918233,0.21560305843969416,0.36607647,0.21937087
0.13753216,0.4702175,0.3561126,0.51110184,0.64681715,0.19495113,0.15340488920429335,0.6150464369027863,0.47782823,0.14549214,0.31589608841039113,0.43445152,0.18538089
0.15237798,0.55637836,0.46015233,0.5932075,0.76652515,0.10004648,0.08925270035516203,0.6058485863509152,0.38087317,0.1629506,0.2510755148924485,0.4406934,0.15385512
0.26159257,0.6264081,0.46309915,0.69922817,0.8112653,0.09326533,0.09461969567718174,0.5226585013595101,0.3653068,0.14585851,0.2586129041387096,0.36526364,0.15368715
0.20070884,0.4843159,0.40594584,0.60189253,0.5123657,0.18961036,0.16930800015848,0.5914783854887032,0.442843,0.15663752,0.3155707984429202,0.44103906,0.21920182
0.24521604,0.48755503,0.28668487,0.4117471,0.80985296,0.14025015,0.274691416481485,0.5006586300395178,0.41242287,0.18297935,0.37610246238975376,0.29501525,0.14819568
0.11905746,0.46366292,0.38463974,0.55131686,0.604491,0.15815878,0.1067165364029922,0.6142329368539762,0.4364777,0.1687071,0.3067902893209711,0.46934232,0.20169629
0.15660499,0.48006153,0.3516333,0.45623067,0.71961635,0.2304919,0.23655623419337407,0.6290887977453279,0.4805955,0.16548921,0.33538260646173934,0.39782318,0.26776585
0.26936927,0.5550989,0.46544605,0.60905063,0.6148812,0.15104346,0.1654483099268986,0.529878131792688,0.4009319,0.1389898,0.24728927527107245,0.35119802,0.26477766
0.32452434,0.6003632,0.53272164,0.72158194,0.6234032,0.12897405,0.1952168917130135,0.5148190308891419,0.3201785,0.10658647,0.21798204820179518,0.38517526,0.16050695
0.16749553,0.59147614,0.47893548,0.63342786,0.8192272,0.0985372,0.07337488440249307,0.5911274954676498,0.3655603,0.17556776,0.24724343527565645,0.40781444,0.1604724
0.25902864,0.40895396,0.117647916,0.36098027,0.825761,0.13457465,0.3306992598419556,0.5106052306363138,0.50364906,0.28310212,0.6580588341941166,0.3561813,0.24522543
0.17693526,0.4421398,0.35031664,0.45564672,0.7371136,0.18990305,0.266634565998074,0.524831381489883,0.41687423,0.21373686,0.28690847130915287,0.3269515,0.23238619
0.24539426,0.5786992,0.38196194,0.6256768,0.8236409,0.09346814,0.09968771598126296,0.5093583305614999,0.40421483,0.18945448,0.33783989621601035,0.35209963,0.18344276
0.40136382,0.6751417,0.57019365,0.6798244,0.77464247,0.11964668,0.34510962070657725,0.3873534732412084,0.3129508,0.12170508,0.199801410019859,0.22481996,0.14464502
0.31301218,0.5942911,0.44151163,0.6045342,0.80512536,0.09613338,0.23154315389258925,0.4656164879369893,0.3551321,0.14733301,0.2580299141970086,0.2624426,0.17671265
0.17268041,0.52387893,0.36249,0.53075105,0.7650872,0.10924892,0.14837575890254553,0.5341585020495102,0.42542654,0.1919246,0.31115120888487907,0.35756624,0.16491982
0.103187814,0.1600103,0.1836322,0.19728145,0.36573026,0.59869224,0.6326259779575587,0.7970449478226969,0.8238021,0.4302237,0.711558568844143,0.71690977,0.78053725
0.049777847,0.27543584,0.15384106,0.21823953,0.67600393,0.39070415,0.3447591606855497,0.6833243809994629,0.62670815,0.42030653,0.5194246880575312,0.51998216,0.39176184
0.13367942,0.52495426,0.34435084,0.5289283,0.7916447,0.131266,0.10443859626631578,0.6000858360051502,0.44891623,0.17964043,0.3251877374812262,0.40171778,0.1595562
0.3667784,0.72047925,0.6011807,0.8077511,0.8522997,0.077443786,0.15995780959746858,0.48135682888140974,0.2797565,0.14885083,0.23520993647900634,0.34415403,0.13515308
0.17984198,0.55171716,0.37978587,0.5817652,0.7959193,0.09995308,0.07877202472632149,0.5521333331280001,0.40680248,0.19682543,0.32919522708047727,0.40053272,0.17456128
0.11480929,0.4465689,0.3466401,0.5029964,0.552988,0.17347048,0.10092884605573077,0.6100670366040223,0.470231,0.16480082,0.33096416690358327,0.4810842,0.15749769
0.31509265,0.52621776,0.26362222,0.46512562,0.8890505,0.1438126,0.34112748046764885,0.46580722794843366,0.44871867,0.26756242,0.5432331456766853,0.28277716,0.21934281
0.338085,0.6703119,0.5410622,0.71912545,0.83259904,0.07903461,0.16775207006512421,0.4565722573943355,0.28530318,0.13618755,0.16259826374017364,0.27326417,0.14018169
0.5704895,0.7664123,0.64838886,0.74738866,0.80899906,0.093336426,0.4883682293020937,0.28736786724207203,0.26320487,0.124125965,0.22384864761513523,0.15246582,0.17017591
0.29796466,0.54886913,0.32963768,0.5180548,0.8419179,0.12652233,0.30804447848266875,0.45126282707576965,0.41282701,0.22806183,0.4268222873177713,0.24857785,0.23391028
0.14638361,0.57467,0.44435328,0.61539227,0.7954228,0.08907554,0.03310660198639612,0.6021926361315582,0.37564814,0.15983252,0.2632996436700356,0.43532306,0.14167896
0.14187601,0.46494508,0.357094,0.50563854,0.71207935,0.13482551,0.1353318081199085,0.5732616343956981,0.4077353,0.18919282,0.31853174814682517,0.40274644,0.1337754
0.43577668,0.6451051,0.5581004,0.68731976,0.7418034,0.1268476,0.39552956373177384,0.35884292153057534,0.28566593,0.119066074,0.21417551858244813,0.23726106,0.12021012
0.11003403,0.39354566,0.21091306,0.34815586,0.76914203,0.17579788,0.23814085428845125,0.578963934737836,0.50728226,0.30288714,0.4349306365069363,0.39196527,0.23025593
