Transactions,Entities,PointsAdjust,Envergure,TeamExp_1,TeamExp_?,ManagerExp_2,Language_3,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Effort
253.0,52.0,305.0,34.0,1.0,0.0,0.0,0.0,-499.32062,-599.498,119.9448,-425.7541,498.47046,5152
197.0,124.0,321.0,33.0,0.0,0.0,0.0,0.0,-548.2614,-658.45233,134.70798,-468.0066,550.13983,5635
40.0,60.0,100.0,18.0,0.0,0.0,0.0,0.0,-76.00222,-89.172806,18.365808,-62.9608,75.07724,805
200.0,119.0,319.0,30.0,0.0,0.0,0.0,0.0,-373.42554,-445.78882,88.50527,-316.4469,370.86716,3829
140.0,94.0,234.0,24.0,0.0,0.0,0.0,0.0,-208.97098,-247.73958,48.30983,-175.54346,205.76274,2149
97.0,89.0,186.0,38.0,0.0,0.0,0.0,0.0,-273.2304,-326.91083,66.93709,-232.14423,273.4645,2821
119.0,42.0,161.0,25.0,0.0,0.0,0.0,0.0,-247.10078,-295.94016,59.936817,-209.94142,246.79762,2569
186.0,52.0,238.0,25.0,1.0,0.0,1.0,0.0,-378.57916,-454.1765,91.38359,-322.48923,378.1454,3913
172.0,88.0,260.0,30.0,0.0,0.0,0.0,0.0,-760.8737,-918.6879,192.58844,-653.5483,770.1492,7854
78.0,38.0,116.0,24.0,0.0,0.0,0.0,0.0,-232.14426,-278.825,57.93165,-197.9517,233.55069,2422
167.0,99.0,266.0,24.0,0.0,0.0,0.0,0.0,-395.10345,-473.47238,96.19174,-336.3208,395.25406,4067
146.0,112.0,258.0,40.0,0.0,0.0,0.0,0.0,-879.0896,-1062.2639,222.90016,-756.61115,890.83386,9051
33.0,72.0,105.0,19.0,1.0,0.0,0.0,0.0,-219.3387,-263.38715,56.41521,-187.15297,222.15155,2282
162.0,61.0,223.0,32.0,0.0,0.0,0.0,0.0,-403.53305,-484.78677,98.83718,-344.38434,404.5913,4172
223.0,121.0,344.0,28.0,0.0,0.0,0.0,0.0,-484.82153,-580.7828,116.90527,-412.57773,484.01428,4977
119.0,48.0,167.0,26.0,0.0,0.0,1.0,0.0,-155.33157,-184.11708,35.544296,-130.28235,152.52661,1617
57.0,43.0,100.0,43.0,0.0,0.0,0.0,0.0,-306.66043,-369.64517,78.036545,-262.75967,310.4069,3192
68.0,316.0,384.0,20.0,0.0,0.0,0.0,0.0,-341.8533,-405.2971,84.261505,-288.27368,341.6679,3437
9.0,386.0,395.0,21.0,0.0,0.0,0.0,0.0,-446.08047,-531.6274,113.6986,-378.58505,450.14987,4494
58.0,34.0,92.0,29.0,0.0,0.0,1.0,0.0,-78.61131,-92.46435,18.236105,-65.22979,77.03532,840
318.0,269.0,587.0,34.0,0.0,0.0,0.0,0.0,-1459.2057,-1760.404,368.0862,-1252.8551,1475.7891,14973
88.0,170.0,258.0,34.0,0.0,0.0,0.0,0.0,-504.53574,-606.50214,127.63015,-431.49796,509.7716,5180
