size_D,app,dba,source,nlan,t01,t05,t08,t10,t13,t14,MI_size_D_duration_D,effort_D
0.14214535,0.58807606,0.34924468,0.8010556,0.2747916764875006,0.02916462,0.11017116061026963,0.1618846538115346,0.25194168,0.43393144,0.4917703708229629,0.56124365,0.1842907
0.063187614,0.44769844,0.14552203,0.6672101,0.09242703554562214,0.0132671,0.0275450216527013,0.050368839963116,0.29820183,0.15429065,0.3535206846479315,0.70924294,0.19256116
0.06430562,0.47045088,0.14258343,0.6733022,0.07086493425189606,0.017020404,0.020224438213466294,0.08561409143859085,0.2937832,0.21125117,0.35781396421860356,0.6874839,0.20529461
0.08565166,0.32210466,0.12947056,0.44973785,0.03237913694274822,0.1667759,0.12944658776679527,0.13221575677842431,0.4262661,0.13288274,0.3204977479502252,0.6714426,0.16654491
0.19430616,0.51958025,0.11635989,0.63568425,0.2111269526676172,0.05346699,0.05767797346067841,0.11651359834864015,0.20920481,0.1616812,0.26178145382185464,0.80883896,0.3057849
0.07041908,0.38803744,0.101523936,0.5229219,0.001930982015858921,0.107015565,0.05789821347389281,0.1210641178935882,0.3893528,0.16702327,0.301980529801947,0.7190483,0.19578993
0.06541933,0.43157285,0.16587418,0.6433495,0.10716607642996459,0.055312008,0.0816811249008675,0.06836589316341067,0.35375333,0.12765542,0.39023666097633386,0.6580782,0.17653891
0.29095078,0.6509781,0.31415305,0.7343225,0.3951482437088946,0.072410464,0.11985429719125784,0.19805397019460297,0.13591844,0.40062192,0.301023989897601,0.7116147,0.31927103
0.177368,0.59177524,0.3511248,0.7677102,0.335471050128263,0.029577494,0.11922954715377283,0.12637139736286024,0.22794914,0.34459868,0.4210672878932712,0.6010323,0.2110832
0.12869476,0.44788975,0.10062933,0.5748683,0.08776562526593752,0.080304906,0.045471179728270784,0.09712826028717397,0.30852127,0.10683608,0.26174515382548463,0.698295,0.21438453
0.23386377,0.61835515,0.39504525,0.78845215,0.4343462260607736,0.041235447,0.14879926892795614,0.14423818557618145,0.2050869,0.42946753,0.4613217838678216,0.6236352,0.24970949
0.33324507,0.56539047,0.19301733,0.6029678,0.3114745786884747,0.12264036,0.10910560654633639,0.2538180346181965,0.15646198,0.18597159,0.23186751681324833,0.8323237,0.36993164
0.34784934,0.53346175,0.06242591,0.5055753,0.24305701458342088,0.15169346,0.0799136047948163,0.30666872933312705,0.15272202,0.18870273,0.10096155590384441,0.8850011,0.45150822
0.16678748,0.5568727,0.4903874,0.8424892,0.41796686507801195,0.021325894,0.18290987097459227,0.12352417764758224,0.24128573,0.46458074,0.5865655413434459,0.54148895,0.122993454
0.033430055,0.3363778,0.1657269,0.60523653,0.05811430848685851,0.04454054,0.06815715408942925,0.03548369945163005,0.331429,0.13359049,0.4312873368712663,0.688752,0.14945829
0.07390886,0.45528704,0.09564111,0.6139022,0.05103581006214861,0.047810003,0.028250263695015824,0.09319188068081193,0.3345788,0.17048016,0.30469029953097004,0.7018039,0.22127253
0.06300363,0.47512293,0.13483056,0.65883946,0.05646632938797976,0.02867297,0.01876126312567579,0.09709235029076496,0.32131428,0.2014884,0.3418244358175564,0.71304876,0.21236667
0.069585666,0.47250557,0.12749717,0.65394896,0.06498127389887642,0.036770955,0.031597988895879336,0.08997132500286749,0.3097843,0.22775248,0.3339585366041463,0.7348405,0.2235156
0.41108465,0.64116323,0.4344838,0.72538155,0.5406664324399859,0.11820634,0.20596492235789535,0.2396574060342594,0.12005169,0.34531972,0.3909541909045809,0.8294444,0.34033558
0.2201097,0.5922869,0.37829134,0.70693386,0.31172081870324914,0.094264895,0.14427836865670213,0.17509923249007675,0.2830481,0.4766133,0.403936019606398,0.63185203,0.27158266
0.074180044,0.46747065,0.11221647,0.6180244,0.06323378379402703,0.052842915,0.041834372510062355,0.08095061190493881,0.35602078,0.22560427,0.3093970390602961,0.6579959,0.22614287
0.5312056,0.66124034,0.17822555,0.48246828,0.40820630449237827,0.27763867,0.16831398009883883,0.5453657454634254,0.12155718,0.43752113,0.05387671461232854,0.8992433,0.6364313
0.09700251,0.46592343,0.09381136,0.6125356,0.03540008012400481,0.046480328,0.012868300772098046,0.1210824128917587,0.29910332,0.17423919,0.2727000727299927,0.77163845,0.24585842
0.119894266,0.4638238,0.053419024,0.5927346,0.0839188300351298,0.04226412,0.018377051102623065,0.08729113127088688,0.27200735,0.09141761,0.22238575776142422,0.73896927,0.2478344
0.060055032,0.40063006,0.18817827,0.6035619,0.12358378741502725,0.08976899,0.11837210710232643,0.07529487247051274,0.41053838,0.20346937,0.3926248207375179,0.5586459,0.15585248
0.068120755,0.4650464,0.11747038,0.6452639,0.03096063585763815,0.037709683,0.020621375237282517,0.1212398578760142,0.32530078,0.21558765,0.3385425661457434,0.75633657,0.22910222
0.08813964,0.32605883,0.09990433,0.43508863,0.03404684604281076,0.17255403,0.12499704249982256,0.11314369868563012,0.4438305,0.082095206,0.28917325108267483,0.6554909,0.17277512
0.051566266,0.3983542,0.09880024,0.58726513,0.0443167266590036,0.06171918,0.04562588273755297,0.07664125233587477,0.37771797,0.18741497,0.3457148954285104,0.69040996,0.19967982
0.17061275,0.1575445,0.41708145,0.2325475,0.25626923537615415,0.4918937,0.46647532798851965,0.33669546633045333,0.6196852,0.25148395,0.5476691752330825,0.4158636,0.10485127
0.14388283,0.45591524,0.17092004,0.54984,0.07548533852912032,0.12697618,0.06765722405943345,0.14744143525585646,0.34226418,0.31292346,0.24651211534878845,0.68311864,0.23909828
0.09006214,0.3192592,0.102642596,0.43481293,0.034295188057711284,0.17363222,0.11937104716226284,0.11824666317533367,0.44259298,0.11577794,0.3116858288314171,0.655047,0.16516408
0.11527836,0.47677928,0.06863642,0.614431,0.04402099764125986,0.047478333,0.005860716351642981,0.1209477979052202,0.280122,0.16024265,0.26473302352669764,0.7923301,0.26908186
0.05403681,0.46280468,0.12139669,0.63495064,0.020460771227646272,0.048367307,0.023503617410217045,0.11796318320368168,0.36685413,0.27565345,0.35812606418739357,0.71869624,0.22788048
0.15950193,0.4945504,0.047178388,0.5849124,0.06093146365588782,0.060317546,0.006064460063867605,0.13497619650238035,0.25942934,0.13977739,0.20818739918126009,0.79401463,0.292518
0.12866732,0.4526643,0.06358796,0.5346608,0.04365058461903508,0.09693207,0.044684844681090685,0.12828560717143928,0.29468018,0.14132044,0.1916073408392659,0.74520445,0.25050718
0.1383406,0.43636587,0.087335765,0.57428706,0.11525391691523502,0.068400994,0.04103528246211695,0.08595051140494886,0.25105903,0.111223966,0.21031378896862107,0.73209286,0.24794193
0.15565984,0.40407866,0.012773812,0.4902265,0.07367943442076608,0.08933222,0.035483020128981205,0.12310959768904021,0.28055078,0.022513717,0.13897639610236037,0.7566526,0.27148512
0.37013814,0.56103826,0.105813295,0.5635264,0.29824413789464826,0.13437459,0.09679394080763645,0.28996241100375886,0.13675973,0.21280763,0.1805365519463448,0.9363703,0.45627624
