YearEnd,Transactions,Entities,PointsAdjust,Envergure,TeamExp_0,TeamExp_1,TeamExp_2,TeamExp_3,TeamExp_4,TeamExp_?,ManagerExp_0,ManagerExp_1,ManagerExp_2,ManagerExp_3,ManagerExp_4,ManagerExp_5,ManagerExp_7,ManagerExp_?,Language_1,Language_2,Language_3,MI_PointsAdjust_Entities,MI_PointsAdjust_Envergure,MI_PointsAdjust_Transactions,MI_PointsAdjust_Language_3,MI_Entities_Envergure,Effort
0.4,0.2782212086659065,0.1184210526315789,0.2201138519924098,0.6170212765957447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.026066114051732727,0.13581492995276348,0.061240341945436705,0.0,0.07306830907054868,0.1968880909634949
0.6,0.2143671607753705,0.3078947368421053,0.2352941176470588,0.5957446808510638,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07244582043343653,0.1401752190237797,0.05043933194714599,0.0,0.18342665173572228,0.2175344105326152
0.4,0.0353477765108323,0.1394736842105263,0.0256166982922201,0.2765957446808511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0035728552881254348,0.007085469740401304,0.0009054933261788155,0.0,0.03857782754759238,0.0110712148414123
0.6,0.217787913340935,0.2947368421052631,0.2333965844402277,0.5319148936170213,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06879057225606709,0.12414711938309984,0.05083095510613853,0.0,0.1567749160134378,0.1403351286654697
0.6,0.1493728620296465,0.2289473684210526,0.1527514231499051,0.4042553191489361,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03497203635274143,0.06175057531591908,0.022816917255002928,0.0,0.09255319148936167,0.06852184320766
0.6,0.1003420752565564,0.2157894736842105,0.1072106261859582,0.7021276595744681,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.023134924598022556,0.07527554604546001,0.010757736721053955,0.0,0.151511758118701,0.0972471573907839
0.4,0.1254275940706955,0.0921052631578947,0.0834914611005692,0.425531914893617,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.007690002996105055,0.03552828131939115,0.010472133091291457,0.0,0.03919372900335945,0.0864751645721125
0.0,0.201824401368301,0.1184210526315789,0.1565464895635673,0.425531914893617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.018538400079896118,0.06661552747385842,0.03159490154247595,0.0,0.05039193729003357,0.1439257929383602
0.4,0.185860889395667,0.2131578947368421,0.1774193548387097,0.5319148936170213,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03781833616298812,0.09437199725463281,0.03297531908632802,0.0,0.11338185890257559,0.3123877917414722
0.0,0.0786773090079817,0.081578947368421,0.040796963946869,0.4042553191489361,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003328173374612995,0.016492389680649165,0.003209795339035301,0.0,0.03297872340425529,0.0801915020945541
0.2,0.1801596351197263,0.2421052631578947,0.183111954459203,0.4042553191489361,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.044332367921701775,0.07402398158989056,0.03298938290142995,0.0,0.09787234042553189,0.1505086774386594
0.2,0.1562143671607753,0.2763157894736842,0.1755218216318785,0.7446808510638298,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04849945071407168,0.130707739513101,0.02741903028913038,0.0,0.20576707726763716,0.3635547576301616
0.2,0.0273660205245153,0.1710526315789473,0.0303605313092979,0.2978723404255319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0051932487765904275,0.009043562517663204,0.0008308469229454357,0.0,0.050951847704367274,0.0742070616397366
0.4,0.1744583808437856,0.1421052631578947,0.1423149905123339,0.574468085106383,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020223709178068497,0.08175542008155352,0.02482804281458048,0.0,0.08163493840985442,0.1549970077797726
0.4,0.2440136830102622,0.3,0.2571157495256167,0.4893617021276595,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07713472485768501,0.12582260083168476,0.0627397610016898,0.0,0.14680851063829783,0.189407540394973
0.4,0.1254275940706955,0.1078947368421052,0.0891840607210626,0.4468085106382978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.009622490762009378,0.03984819734345349,0.011186142165697698,0.0,0.0482082866741321,0.0457809694793536
0.4,0.0547320410490307,0.0947368421052631,0.0256166982922201,0.8085106382978723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0024268451013682185,0.020711373087326887,0.001402054182470425,0.0,0.07659574468085102,0.1131059245960502
0.6,0.0672748004561003,0.8131578947368421,0.295066413662239,0.3191489361702128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23993558374113647,0.09417013201986352,0.01985053410042428,0.0,0.25951847704367303,0.1235786953919808
0.8,0.0,0.9973684210526316,0.3055028462998102,0.3404255319148936,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3046988914411265,0.10400096895312688,0.0,0.0,0.33952967525195965,0.1687612208258528
0.6,0.0558722919042189,0.0710526315789473,0.0180265654648956,0.5106382978723404,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0012808349146110017,0.009205054705478603,0.0010071855276851584,0.0,0.03628219484882415,0.0125673249551166
0.6,0.3523375142531357,0.6894736842105263,0.4876660341555977,0.6170212765957447,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33623289723359634,0.3009003189470709,0.17182303826006806,0.0,0.4254199328107503,0.6166965888689407
0.4,0.0900798175598631,0.4289473684210526,0.1755218216318785,0.6170212765957447,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07528962348946366,0.10830069845371226,0.01581097367037445,0.0,0.26466965285554306,0.1980849790544584
0.6,0.338654503990878,0.3289473684210526,0.3462998102466793,0.6808510638297872,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11391441126535501,0.23577859421050504,0.11727599047122433,0.0,0.22396416573348263,0.2235188509874326
0.8,0.3363740022805017,0.1868421052631579,0.2931688804554079,0.723404255319149,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05477629082193147,0.21207961564859296,0.0986143896628795,0.0,0.1351623740201568,0.4287851585876721
0.6,0.0912200684150513,0.5078947368421053,0.2049335863377609,0.5957446808510638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10408468990312594,0.1220880939884533,0.018694055766272373,0.0,0.30257558790593503,0.146918013165769
0.4,0.0877993158494868,0.5868421052631579,0.230550284629981,0.5957446808510638,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13529661440127833,0.13734910573700995,0.020242157259416783,0.0,0.3496080627099664,0.1119090365050867
0.6,0.0706955530216647,0.6,0.2210626185958254,0.6808510638297872,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13263757115749525,0.15051071904396623,0.015628144074049218,0.0,0.4085106382978723,0.1280670257330939
0.4,0.1584948688711516,0.8342105263157895,0.3785578747628083,0.723404255319149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.315796963946869,0.27385037748798896,0.05999948072067313,0.0,0.603471444568869,0.1594853381208857
0.4,0.1220068415051311,0.4289473684210526,0.2020872865275142,0.4680851063829787,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08668480974732845,0.09459404901287898,0.02465603153756444,0.0,0.20078387458006713,0.286654697785757
