MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_loc_time,MI_loc_cplx,MI_loc_turn,actual
127.68999999999998,131.07999999999998,119.78,113.0,79.1,120.91,2040.0
266.63,339.88,310.58000000000004,293.0,249.05,313.51,1600.0
108.24,153.11999999999998,132.0,132.0,112.2,124.08,243.0
54.6,69.6,60.0,60.0,42.0,60.0,240.0
16.0,15.04,16.0,16.0,16.0,16.0,33.0
4.0,4.0,4.84,4.0,3.4,4.0,43.0
6.9,6.9,6.9,6.9,6.9,6.003,8.0
20.02,20.68,34.32,36.52,28.6,22.0,1075.0
30.0,28.2,36.3,39.0,39.0,30.0,423.0
23.78,27.26,45.24,32.190000000000005,37.7,31.03,321.0
26.24,30.08,49.92,35.52,41.6,34.24,218.0
30.34,34.78,39.22,41.07,48.1,37.0,201.0
25.0,23.5,26.5,27.750000000000004,32.5,25.0,79.0
3.0,2.82,4.68,3.9,4.949999999999999,3.0,60.0
4.406999999999999,3.666,4.134,5.07,5.07,3.393,61.0
6.1,6.1,9.516,7.93,7.93,5.307,40.0
2.952,3.6,5.6160000000000005,4.680000000000001,4.680000000000001,3.132,9.0
320.0,371.2,387.2,416.0,368.0,342.40000000000003,11400.0
1046.5,1242.0,1391.5,1276.5,1150.0,1081.0,6600.0
245.18,322.92,361.79,331.89000000000004,388.7,319.93,6400.0
252.0,292.32,287.28,267.12,289.79999999999995,219.24,2455.0
96.76,118.0,125.08,149.86,118.0,118.0,724.0
63.13999999999999,77.0,81.62,83.16000000000001,77.0,77.0,539.0
116.1,90.0,95.4,95.4,76.5,78.3,453.0
38.0,44.08,40.28,43.7,49.4,33.06,523.0
48.0,48.0,50.88,51.36,40.8,51.36,387.0
9.4,8.836,11.374,12.69,10.81,8.178,88.0
13.0,14.04,15.73,14.43,16.900000000000002,13.91,98.0
2.7606,2.14,2.14,2.14,2.14,2.14,7.3
2.5542,1.98,1.98,1.98,1.98,1.98,5.9
50.84,66.96000000000001,96.72,91.76,62.0,66.34,1063.0
319.79999999999995,421.2000000000001,390.0,390.0,331.5,390.0,702.0
34.44,45.36,65.52,62.16,54.6,39.48,605.0
23.0,24.840000000000003,23.0,24.380000000000003,23.0,20.01,230.0
11.83,12.22,15.73,13.78,16.900000000000002,13.0,82.0
15.0,15.75,15.0,15.0,12.15,13.05,55.0
49.2,56.4,63.6,60.0,42.0,60.0,47.0
13.65,15.0,15.0,15.0,17.25,13.05,12.0
5.084,6.2,6.2,6.2,7.13,6.2,8.0
2.46,2.82,3.0,3.0,3.9,2.61,8.0
4.345999999999999,4.981999999999999,5.3,5.3,5.3,4.611,6.0
45.5,47.32,48.23,45.5,48.685,48.685,45.0
28.6,29.744000000000003,34.606,28.6,30.602000000000004,30.602000000000004,83.0
30.6,31.824,37.026,32.436,32.742000000000004,32.742000000000004,87.0
35.0,36.4,37.1,35.0,37.45,37.45,106.0
73.0,75.92,77.38000000000001,73.0,78.11,78.11,126.0
18.86,21.62,23.0,23.0,29.9,20.01,36.0
422.24,436.16,464.0,464.0,394.4,464.0,1272.0
91.0,91.0,91.0,91.0,77.35,79.17,156.0
24.0,24.0,29.04,31.200000000000003,24.0,20.88,176.0
10.0,10.0,10.0,10.0,10.0,11.5,122.0
8.2,7.707999999999999,8.692,8.2,6.969999999999999,8.2,41.0
5.3,4.981999999999999,6.412999999999999,5.883,6.095,5.3,14.0
3.608,4.136,4.664000000000001,4.4,4.4,3.828,20.0
5.166,5.922,6.3,6.3,4.409999999999999,5.481,18.0
24.57,25.38,32.67,35.1,35.1,27.0,958.0
17.0,15.98,20.57,18.87,19.55,17.0,237.0
20.5,23.5,30.25,41.5,32.5,25.0,130.0
23.0,21.62,24.380000000000003,24.380000000000003,26.45,20.01,70.0
7.571,6.298,7.102,7.437000000000001,8.71,6.7,57.0
28.0,26.32,28.0,28.0,32.2,24.36,50.0
7.461999999999999,8.553999999999998,11.011,10.101,11.83,9.1,38.0
8.2,9.4,10.0,10.0,11.5,8.7,15.0
