pcap,loc,MI_loc_aexp,MI_loc_data,MI_loc_stor,MI_loc_time,actual
0.48321187,0.30932644,-0.010808205,0.01126905,0.18711556,0.34850332,0.041558925
0.6413203,0.5205679,0.014769761,0.0236162,0.33360633,0.6089671,0.12839717
0.38422883,0.3013747,-0.036877252,0.027825462,0.16491848,0.34801978,0.0799707
0.5942579,0.3388906,-0.0016075298,0.04382401,0.1951137,0.38347504,0.042754617
0.4395129,0.21930325,-0.020911878,0.020155977,0.1397061,0.24574098,0.03875265
0.47000867,0.31428942,-0.024984846,0.008307572,0.1732115,0.36048508,0.052839894
0.52964544,0.38310444,-0.007960213,0.012027768,0.2289458,0.45757365,0.06212971
0.5902067,0.25568867,-0.010963131,0.04629653,0.15821728,0.2636259,0.0414653
0.4950347,0.29384145,-0.02422263,0.025384484,0.19306475,0.34241277,0.037976477
0.4708957,0.26718774,-0.020445226,0.019932423,0.1581652,0.31579772,0.044897508
1.0084275,0.50261647,0.057267398,0.18997777,0.27651092,0.4753002,0.1302464
1.1945324,0.58505,0.08605012,0.2328389,0.32500878,0.5318015,0.1517131
0.6749691,0.32731605,0.0035451557,0.07855737,0.1823208,0.32375237,0.07077931
0.45475322,0.34980828,0.0053487075,0.022979705,0.21825866,0.40253034,0.07860358
0.5724721,0.29223746,-0.035143033,0.04071588,0.17111096,0.3102993,0.04238223
0.51549864,0.35001144,-0.0054497477,0.028590536,0.21109946,0.3891179,0.05667342
0.50497216,0.26508528,-0.014840445,0.027167017,0.15839267,0.3059825,0.040539954
0.618939,0.29687387,-0.012782918,0.056278676,0.1755414,0.31290174,0.053698745
0.41940475,0.19395073,-0.022483954,0.01802055,0.122480825,0.21494569,0.044450033
1.6791699,0.87542963,0.16127282,0.37285054,0.44919056,0.7915376,0.22970155
0.67451817,0.34253627,-0.005079787,0.10049151,0.19120987,0.3290877,0.08052234
0.55934376,0.3663726,-0.04444789,0.0091686845,0.17555568,0.42169842,0.04772417
0.40748513,0.19181217,-0.034464903,0.025331063,0.11344358,0.1970561,0.033351723
0.44983256,0.29371113,-0.019937621,0.017189236,0.18950868,0.37992892,0.0677156
0.73370385,0.35291165,0.0061327703,0.08539793,0.20490743,0.35994694,0.06675857
0.4239505,0.22029093,-0.031200955,0.02496863,0.14635834,0.25507218,0.045064997
2.950254,1.554734,0.3952772,0.8660798,0.8030567,1.3095258,0.48775226
0.458633,0.31997517,-0.029250069,0.023136409,0.18489662,0.385804,0.060301203
0.48573554,0.22180109,-0.0100424085,0.014713718,0.14196718,0.24741927,0.04293431
0.6111474,0.3048665,-0.023308808,0.03650911,0.17623685,0.32103604,0.043466423
0.7765102,0.35663977,0.0061397674,0.09101909,0.20422415,0.3685678,0.085043
0.76436985,0.39839372,0.03314726,0.11715932,0.22225715,0.37652126,0.09986691
0.4838522,0.26337463,-0.025438366,0.02373547,0.16719045,0.3082404,0.04608823
0.750118,0.38789043,0.0024670362,0.083717704,0.21223608,0.44115242,0.08357324
0.42448854,0.22059692,-0.025276879,0.011650505,0.14290984,0.25178462,0.03598417
0.44950658,0.22620699,-0.021531647,0.021551548,0.13048697,0.24281779,0.056359228
0.45610046,0.21334042,-0.018647874,0.016254952,0.13951187,0.25431633,0.03810801
0.4343679,0.27931833,-0.030421792,0.0065723117,0.17070723,0.3248832,0.04689328
0.5401261,0.3439043,-0.04962013,0.056927845,0.16387488,0.37337443,0.06116992
0.3870495,0.20765397,-0.028742878,0.0097930245,0.12326877,0.2530989,0.034893926
0.60355705,0.26959947,-0.012460919,0.035357945,0.15671381,0.27845386,0.041245107
0.68923485,0.34404513,-0.020346167,0.06793352,0.1920482,0.38776797,0.07107851
