ID,AFP,Output,Enquiry,File,Interface,Changed,Deleted,PDR_AFP,Resource,Dev.Type,Duration,N_effort,Generated_Var_1,Generated_Var_3,Generated_Var_8,Generated_Var_9,Effort
0.46033293,0.006296398,0.022857409,0.03302393,0.020806003,0.0017440654,0.0022668764,0.0053809695,0.061337225,-0.0051639676,-0.0005033668,-0.042259112,0.027711114,0.6607254,0.9087261,0.07873327,0.95124555,0.010690905
0.48801666,0.026778895,0.10548927,0.029412664,0.031400166,0.026159354,0.043367222,0.019371599,0.08825005,0.0130976215,-0.0014779195,0.0655101,0.11534845,0.60750204,0.88557905,0.08247786,0.9719883,0.09683968
0.7660663,0.028914856,0.0754353,0.027369257,0.050691575,0.02073377,0.042898715,0.012919593,0.06866178,0.018590048,-0.0012608655,0.040573522,0.090675876,0.5589383,0.85425544,0.06437814,0.9584286,0.08367844
0.6411525,0.016183648,0.017550983,0.109391056,0.024589919,0.005281329,0.021183629,0.0016437927,0.07164397,0.0091433935,-0.0006882921,0.08480529,0.045905437,0.5646773,0.84176177,0.08426376,0.94978476,0.037088677
0.46204728,0.005073904,0.016935688,0.025389131,0.037054352,0.0091823,0.004142884,0.0063793906,0.22068617,0.02030839,-0.0007727016,0.04266859,0.058040377,0.58599615,0.86162436,0.05905938,0.9716965,0.03935971
0.82837194,0.032436725,0.048968077,0.13029414,0.029291019,0.016693007,0.007790163,0.011605691,0.27747023,0.00727164,-0.00055509806,0.18196599,0.29947567,0.5140946,0.8491504,0.05834943,0.95893,0.26487672
0.3919273,0.035090774,0.10424492,0.08729872,0.032945864,0.021754555,0.042944133,0.016182482,0.17447035,-0.005695168,-0.0009245649,0.10929363,0.22482659,0.59567684,0.8621322,0.073564105,0.94588554,0.19741292
0.7471106,0.0033110678,0.00075175613,0.057369415,0.019975107,-0.0047371313,0.0044578984,0.008895794,0.1093396,0.005242355,-0.00095442124,0.085122064,0.032780528,0.54074216,0.84025246,0.07103337,0.9540553,0.026852246
0.51048464,0.030910645,0.17892604,-0.009415983,-0.009746674,-0.027674913,0.039112195,0.013354066,-0.00944742,-0.023224294,-0.00041530095,0.07010585,0.06004448,0.6673843,0.87039804,0.10982623,0.9245597,0.042065058
0.50565606,0.013365263,0.018336572,0.057454295,0.031045076,0.025112629,0.011842344,0.01220335,0.09731993,0.032231115,-0.00117114,0.03677444,0.052304022,0.59697413,0.869253,0.064700834,0.93533576,0.043287035
0.7198853,-0.0014073309,0.048877656,0.015502334,-0.0069112736,-0.0076006837,0.010273185,0.008503344,0.14153168,-0.008950364,-0.00032936223,0.009913089,0.015604179,0.5653861,0.87332976,0.0629794,0.97577953,0.002680907
0.97218305,0.02111429,0.078975886,0.083672106,0.014024003,0.014464226,0.009947892,0.006394509,0.05133852,-0.0035895929,0.00024433807,0.049121454,0.008480884,0.5622488,0.8500303,0.07160007,0.9714056,0.012917709
0.28424948,0.042185493,0.021484751,0.29490298,0.039621953,0.0063503906,0.01926471,-0.0049148044,0.039801657,0.03505803,0.0011917353,0.07552365,0.02825253,0.7069236,0.9085089,0.10127656,0.94446516,0.021627046
