rely,virt,acap,aexp,vexp,lexp,tool,sced,loc,Generated_Var_3,Generated_Var_5,actual
0.19749308,0.5304539,0.63141745,0.45651996,0.40043578,0.093525484,0.38569984,0.27036873,0.03925515,0.32632056,0.46084833,0.010986149
0.20942107,0.44314745,0.53613627,0.3480317,0.30680633,0.08680167,0.36115804,0.18589671,-0.005049512,0.24208984,0.3688317,-0.01751621
0.21918255,0.5517561,0.67915577,0.43719324,0.39455247,0.114382476,0.4387477,0.3204856,0.055468403,0.36274058,0.5063378,0.013097516
0.22169499,0.38919964,0.46747392,0.33896968,0.27094176,0.104470775,0.37309626,0.1797883,-0.010355201,0.31275386,0.41040856,-0.01723652
0.60885274,0.3177576,0.49719492,0.32808238,0.17964387,0.112407655,0.3351498,0.10893391,-0.0129498765,0.06518817,0.22551289,0.043882426
0.34455884,0.3134612,0.4419486,0.35220575,0.22051297,0.092278555,0.32982942,0.17630054,-0.02999743,0.14332023,0.23845269,0.025039308
0.284235,0.4812058,0.54088575,0.3362129,0.29044077,0.08535425,0.4080556,0.16449048,0.0028750114,0.26785725,0.41564274,-0.005811913
0.7662387,0.37288126,0.5423981,0.32683504,0.15425016,0.086615354,0.3471531,0.12513244,-0.01515675,0.014567949,0.20596239,0.10099108
0.30354524,0.35576656,0.5093307,0.40968466,0.28615028,0.09769741,0.30093578,0.16915013,0.008568641,0.14835751,0.26258525,0.017108232
0.8759593,0.3884516,0.5478796,0.2668096,0.13890113,0.09436579,0.344374,0.0378704,0.018770466,0.013997719,0.22985432,0.135854
0.37657306,0.3867805,0.57572275,0.38447657,0.25018978,0.06252386,0.36109552,0.15907075,-0.043773733,0.10159228,0.2684682,-0.003875821
0.43858862,0.319115,0.5114837,0.36562368,0.21411951,0.099367216,0.32569262,0.14214146,-0.029433034,0.11170407,0.24318326,0.013850559
0.22216798,0.39523774,0.51245874,0.35753134,0.29554275,0.06969261,0.3382036,0.15999886,-0.025202498,0.23256531,0.34893158,-0.02167233
1.8939848,0.5611173,0.81887823,0.30741093,0.11258946,0.20819548,0.44363737,0.058627922,0.07098185,-0.15311743,0.24582903,0.35766315
0.2091887,0.35488275,0.448564,0.3709615,0.28856978,0.11064109,0.33358943,0.20641139,-0.007930379,0.31445217,0.35678357,-0.022539482
0.39004096,0.36723983,0.5520381,0.3655822,0.24424942,0.085493624,0.36620292,0.20569542,-0.05361197,0.14629626,0.25381306,0.0037310657
0.21389592,0.47682422,0.589241,0.3792627,0.32482672,0.07428282,0.3663466,0.20494305,0.008059859,0.24230859,0.40015712,-0.013442316
0.21241006,0.48596597,0.50466603,0.3451125,0.31772578,0.12633961,0.39853796,0.1683519,0.02744628,0.32126218,0.46406838,-0.011383208
0.85112536,0.36239502,0.52664834,0.257943,0.13965537,0.11370821,0.36176246,0.085815616,0.017373495,0.03274951,0.24029171,0.10117685
0.18473025,0.44369143,0.44689915,0.36202684,0.31933427,0.13217732,0.3846707,0.21082951,0.009829801,0.4314614,0.49414262,-0.021137554
0.41365927,0.3387839,0.50009084,0.35814786,0.2015582,0.061939046,0.32381895,0.15636173,-0.04704345,0.105516955,0.23708525,0.013971708
0.22288658,0.41066822,0.45544875,0.3529522,0.3122229,0.13149448,0.36336383,0.2077313,-0.010908306,0.32521614,0.3978175,-0.0076377857
