rely,time,vexp,lexp,MI_loc_aexp,MI_loc_stor,MI_loc_time,actual
0.54171944,0.3209586,0.8678637,0.47218925,0.30287975,0.18417606,0.12690672,0.23163266
0.3603768,0.18896657,0.5550598,0.30048114,0.19984531,0.13016903,0.053095594,0.13201644
0.46239984,0.22475287,0.58972734,0.3393283,0.29931787,0.13875277,0.046809465,0.16894871
0.7577097,0.4512418,0.9478267,0.71794486,0.58633864,0.2866978,0.14952281,0.3230477
0.7825277,0.505636,1.1676295,0.8304392,0.6644116,0.31533882,0.16935349,0.38828805
0.75259745,0.54056644,1.1766464,0.84715986,0.6979903,0.35316616,0.16693267,0.38516963
0.60863996,0.33986133,0.98727906,0.58253217,0.43911275,0.21190749,0.12923872,0.28145403
0.7237735,0.51900494,0.92816526,0.830104,0.56080735,0.2735323,0.22462565,0.28934222
0.42442024,0.24614272,0.5208182,0.31734696,0.24635105,0.1606112,0.06539764,0.14196084
0.38110492,0.24946758,0.6066785,0.4363505,0.2542468,0.15446226,0.06826676,0.17934555
0.33786714,0.15320213,0.48056298,0.27149695,0.16222897,0.11363836,0.029749952,0.10081725
0.41997856,0.20969725,0.6170061,0.31842908,0.2400366,0.14332591,0.057201467,0.15133715
0.45812163,0.22792113,0.72967994,0.41131568,0.28605112,0.16054516,0.07991881,0.17574936
0.66524863,0.43110666,0.8718591,0.57191,0.49930295,0.24805017,0.10391029,0.31854755
0.43972695,0.24238405,0.63107383,0.41776872,0.2774699,0.17797291,0.07027557,0.17256099
0.42357737,0.22035375,0.6672078,0.36329103,0.23729216,0.14155027,0.063786976,0.14844657
0.5699433,0.38425478,0.95718604,0.6264038,0.4168306,0.23572405,0.18144691,0.28526378
0.7450502,0.42177147,0.8071908,0.6991751,0.49282345,0.28533456,0.1742748,0.27650172
0.63987607,0.35585883,0.8110948,0.4825003,0.44708192,0.19460768,0.10650306,0.2610924
0.45023182,0.23982435,0.7420233,0.42374465,0.2742056,0.15725455,0.07534302,0.1884346
0.39607444,0.20401703,0.5645121,0.3840751,0.2469634,0.14869659,0.07711087,0.15300743
0.5222869,0.30040655,0.5654972,0.3782825,0.3003715,0.1829918,0.08968275,0.18763171
0.70368415,0.4218727,1.0425179,0.6879988,0.57189053,0.33114505,0.16916686,0.27800706
0.7580843,0.43082705,1.1002923,0.6881813,0.5475903,0.23990712,0.16149333,0.35440254
0.45807672,0.32745814,0.75780904,0.47070226,0.3039824,0.2091684,0.10862268,0.19532911
0.88986194,0.5885152,1.2240794,0.8719605,0.71866167,0.27195558,0.17837524,0.45074454
