PointsAdjust,MI_PointsAdjust_Envergure,MI_PointsAdjust_ManagerExp,Effort
0.45659858,0.47048357,0.34778935,0.6816106
0.2806726,0.2709082,0.22214696,0.42639548
0.09789848,-0.033037193,-0.009795766,0.10579765
0.05441236,-0.007598892,-0.011063436,0.046195455
0.18926404,0.0738985,0.12959924,0.068421565
0.09103293,0.01114437,0.08596587,0.08195778
0.30309638,0.2814021,0.107473895,0.19994013
0.34153116,0.1610309,0.28340518,0.25740293
0.10210267,0.02258683,0.00036862306,0.062272526
0.23983636,0.15768945,0.12265633,0.12931748
-0.0010071583,-0.008466857,-0.041734964,0.048941568
0.13741925,0.13450827,0.06580751,0.17841066
0.20671615,0.12514232,0.06125245,0.105811074
0.20170796,0.14755319,0.06159207,0.17155108
0.07826358,0.0024659522,0.045463733,0.061677836
0.09644685,0.034021884,-0.002138799,0.10521569
0.38069597,0.12498769,0.3629762,0.3631778
0.23514983,0.16806424,0.058874693,0.15201707
0.08765649,0.008562904,0.07323903,0.06348774
0.2418807,0.18006685,0.078210466,0.10803179
0.35142478,0.338543,0.17805578,0.3244975
0.12599364,0.07627558,0.06375119,0.12243111
0.35629937,0.2624879,0.22587597,0.17042413
0.19480884,0.12747931,0.15728116,0.18232374
0.17175272,0.075256124,0.1596538,0.13036576
0.207002,0.15058954,0.06288333,0.18175541
0.4321281,0.43684223,0.356418,0.57362026
0.20992845,-0.016629023,0.14273821,0.100321285
0.07474848,0.0057369694,-0.0026886612,0.06312795
0.0926853,0.11517805,0.03475582,-0.016873717
0.100588016,0.04419954,0.048058957,0.043343797
0.15689296,0.07012211,0.14146812,0.12808268
0.10518412,0.04470119,0.11061509,0.09837414
0.3936993,0.28137106,0.32766464,0.34453762
0.2370274,0.19017488,0.23153478,0.074673556
0.20896427,0.099792175,0.16249926,0.07873707
0.15406448,0.077268146,0.083539546,0.07190201
0.1916558,0.15948719,0.0885213,0.17866834
0.33939037,0.3167493,0.24301054,0.36007482
0.23640278,0.18935895,0.049968623,0.0871294
0.048745494,-0.015992062,0.0013212711,0.059571378
0.5070442,0.6093088,0.39358902,0.89810103
0.18418941,0.12778696,0.042468973,0.2399472
0.27355528,0.18510662,0.06339289,0.1529339
0.081727244,-0.048781566,-0.042142976,0.017933756
0.3582048,0.15000477,0.27402773,0.19502725
0.41596615,0.46990514,0.3223557,0.5629863
0.27817988,0.27174088,0.21782593,0.3951781
0.15999317,0.11127936,0.0979673,0.17235404
0.16037375,0.14534435,0.12915781,0.12578954
0.14331526,0.0669754,0.060317095,0.11159736
0.16339818,0.13710926,0.122981995,0.25212958
0.859751,0.8792975,0.77759725,0.69633335
0.10521451,0.037329376,-0.05043779,0.12633023
0.063431695,-0.0017654393,0.009860631,0.057991557
0.10099212,0.0573913,0.01931374,0.08008695
0.2036649,0.18195984,0.1594002,0.15806729
0.12551314,0.059675075,0.03445641,0.09511414
0.24068333,0.18756141,0.07392512,0.21403891
0.18846616,0.10583444,0.14213498,0.11655178
0.18469264,0.122435756,0.074956685,0.14355318
0.20268573,0.115386516,0.13277195,0.09130281
0.18747403,0.11446493,0.060806476,0.10758616
0.18615726,0.14872721,0.052977655,0.19900383
0.20917042,0.16545671,0.17396514,0.31569263
0.12509668,0.057979614,0.110756904,0.092271
0.27864206,0.2986689,0.21775314,0.5647659
0.2793253,0.23754139,0.081841394,0.109826624
0.34981385,0.3189084,0.24542111,0.47054142
0.1978677,0.14100356,0.064099625,0.15570055
0.22243915,0.19356169,0.09427841,0.22301789
0.12565345,0.086929545,0.023315653,0.13999057
0.61403024,0.62414074,0.54732877,0.725779
0.13119853,0.08363337,0.058691088,0.11274725
0.37795597,0.42411843,0.22970946,0.59196913
0.090489596,0.0427702,-0.021670833,0.08518039
0.17208397,0.08194987,0.14069635,0.16861716
0.16859028,0.11128069,0.01163817,0.2272051
0.16986921,0.1122178,0.027769791,0.13006207
0.2474785,0.1228479,0.20001665,0.1539142
0.11106472,0.029093834,0.08085221,0.059469417
0.1966226,0.13006318,0.05067127,0.16680665
0.34567222,0.39138672,0.22824842,0.51112586
0.09176306,0.028886648,0.047761023,0.08329081
0.22977255,0.1756229,0.07560683,0.14728756
0.17064476,0.13308825,0.08871983,0.1462087
0.28979105,0.20020026,0.21242832,0.24460499
0.35257253,0.3788338,0.2531603,0.48438382
0.13169254,0.064748466,0.12559953,0.08577977
0.29214877,0.14324285,0.217793,0.13206404
0.07790014,0.003401734,0.08208972,0.101709016
0.13520637,0.08023269,0.10145156,0.14463265
0.21800983,0.18575305,0.06404182,0.15454042
0.3352457,0.37107924,0.28051692,0.5359001
0.20028265,0.091745704,0.13666847,0.19911976
0.28713435,0.23674378,0.09225954,0.14860716
0.15095517,0.1134157,0.03970384,0.16317748
0.05837269,-0.02184044,-0.008602638,0.043312762
0.13215715,0.048652604,0.1204865,0.07676308
0.20001759,0.074100375,0.014464166,0.047290187
0.11990544,0.054209873,-0.0067018066,0.12666662
0.039187025,-0.018032711,-0.02942662,0.06071472
0.2569248,0.21103884,0.08772598,0.19646707
0.19157943,0.1552339,0.06366271,0.20244566
0.10530331,0.020434028,0.10574317,0.12762432
0.24072629,0.21410257,0.08344592,0.26051033
0.15946192,0.09647733,0.0431339,0.11128144
0.08004833,0.023649137,0.0648282,0.08737897
0.07585288,0.009281846,-0.010332499,0.049976125
0.2513743,0.22013487,0.17248309,0.40337944
0.12757316,0.072046384,0.04064162,0.12890208
0.062058523,0.010509408,0.016566262,0.0537902
0.22022721,0.16735774,0.19473173,0.27045512
0.2564597,0.24048318,0.1078617,0.30732134
0.17350633,0.13334511,0.120667115,0.24138544
0.36119252,0.32822323,0.15093163,0.3280303
0.11005144,0.05129744,0.10382603,0.08801237
0.27889526,0.25630543,0.112579614,0.27590916
0.3230252,0.33347988,0.253266,0.45908695
0.33808455,0.31045258,0.13703045,0.21156208
0.3516441,0.42161834,0.2571179,0.5512994
0.06772122,0.014103916,-0.038723186,0.09250789
0.27869993,0.22124262,0.08114284,0.24273007
0.26336637,0.15906675,0.20344086,0.1921875
0.13667367,0.06280494,0.10532172,0.0971863
0.09910452,0.09181826,0.026839413,0.17858961
0.10922234,0.022105103,0.06715745,0.034802698
0.04644224,0.0011167442,-0.02455141,0.047175337
0.06196099,0.006400567,-0.013800021,0.08419457
0.06420106,0.017058698,0.07885161,0.089204796
0.2562129,0.2109701,0.10517278,0.224602
0.09304737,0.06119047,0.015710285,0.09561876
0.34426165,0.2337738,0.27702895,0.21360908
0.365669,0.2867444,0.28651062,0.30839524
0.2679627,0.1950653,0.21110491,0.17634082
0.10413289,0.03198865,0.03396379,0.07629982
0.07072608,0.010935563,0.029841147,0.049102478
0.07149116,-0.0033515329,-0.088219896,0.07007182
0.30855945,0.24950472,0.21835296,0.23360604
0.053670183,0.0036805747,0.044505645,0.06607107
0.30036172,0.24045296,0.07159795,0.12588748
0.31578282,0.2996376,0.094588116,0.156072
0.17926456,0.098792836,0.11965592,0.13201782
0.2643143,0.25159758,0.21110839,0.37244073
0.4547036,0.57598597,0.33552498,0.7028651
0.30544594,0.33024704,0.2156039,0.5971803
0.122941375,0.107667536,0.04766801,0.12758738
0.5019376,0.559317,0.41374615,0.76058364
0.10659203,0.033436444,0.013407642,0.11055663
0.12683907,0.064430095,-0.009869097,0.067913935
0.2773769,0.2227485,0.14544336,0.22475478
0.24363825,0.13567545,0.19128715,0.13116421
0.114736915,0.03902611,0.004919529,0.06995354
0.045995124,-0.015032597,-0.08834292,0.04975888
0.40353253,0.48799503,0.26321173,0.63880455
0.17824325,0.13926882,0.09717007,0.10701641
0.061648197,-0.000897496,-0.0094899945,0.13189405
0.10576765,0.051205926,0.055120092,0.09668689
