har,nlan,t09,t10,t11,MI_size_D_t09,MI_size_D_t03,MI_size_D_app,MI_size_D_telonuse,MI_size_D_ifc,effort_D
0.9177022,0.58810604,0.98985016,0.8739528,0.78225744,0.01850067,0.16390039,0.21151914,0.30213562,0.25916022,0.06114544
0.9633481,0.46009892,1.077814,0.83095366,0.7708974,0.04600451,0.20079893,0.19986112,0.32904708,0.35832596,0.087786905
0.82890105,0.23913813,0.7646376,0.6127204,0.41999125,-0.058079142,0.016436432,0.064000055,0.14736906,0.118549295,-0.008716442
0.7272261,0.20991907,0.49312893,0.6072936,0.11367842,-0.08984476,-0.02581048,-0.11090739,0.07312921,0.100612774,-0.1253418
0.9954849,0.30648023,1.0609503,0.79441303,0.6125129,-0.010069463,0.13601817,0.14956424,0.27241635,0.26523453,0.06512574
0.6855245,0.1260646,0.53508335,0.46196795,0.08604017,-0.08993359,0.003249975,-0.106377825,0.16023062,0.10813733,-0.12354721
0.91017544,0.34542114,0.91478795,0.7160929,0.61193913,-0.043449763,0.0896707,0.13723595,0.23365097,0.19457476,0.039358437
0.9844432,0.29303986,1.0579817,0.80304945,0.6111598,-0.022265434,0.14451975,0.14467041,0.28697282,0.25114366,0.062527835
0.9331063,0.3384121,0.991702,0.7373296,0.6229594,-0.013136141,0.12558477,0.15176563,0.2542626,0.25093064,0.054048672
0.88483196,0.2839628,0.91252023,0.6800077,0.5304189,-0.03391113,0.094113275,0.12377,0.2174898,0.1959621,0.033475295
0.8635549,0.27538037,0.8416082,0.7007067,0.4874524,-0.05528963,0.056231964,0.09772675,0.17796354,0.153227,0.02520246
0.90638065,0.3998542,0.86876976,0.742429,0.62088853,-0.046311673,0.066505,0.11752647,0.21578117,0.17178038,0.019450266
0.9134819,0.2590245,0.9576004,0.7210781,0.5199737,-0.032595694,0.101669714,0.10971707,0.2502166,0.20523983,0.02253148
0.6173384,0.16080064,0.34121686,0.4552161,-0.16907027,-0.11529441,0.0057845674,-0.2293398,0.09457201,0.11969029,-0.22728291
0.9295549,0.6078836,0.9655429,0.89823633,0.79894537,0.032904223,0.14592762,0.20628563,0.30613786,0.26340306,0.0456393
0.9122086,0.2999918,0.9459606,0.706809,0.5777402,-0.026878454,0.10289155,0.13722157,0.23122936,0.2129519,0.043583773
0.6362283,0.135211,0.28230023,0.40874705,-0.28258595,-0.096688345,-0.016517205,-0.25469482,0.09896693,0.14104512,-0.2534717
0.78255993,0.18279998,0.7691323,0.5763594,0.3728187,-0.05724919,0.043143626,0.038411018,0.18670568,0.13170731,-0.022040641
0.91596085,0.28672838,0.9899875,0.74294144,0.5538314,-0.027655197,0.12235567,0.12495901,0.26497203,0.21743244,0.05118054
0.92423797,0.33975714,0.98683393,0.7412545,0.62240607,-0.026018938,0.12097047,0.15771632,0.25980538,0.22249442,0.059473865
0.8477888,0.23802124,0.8078914,0.71431106,0.43806645,-0.06153806,0.039351862,0.050258104,0.17724074,0.13114315,0.023398153
1.2965213,1.3834441,1.596488,1.7017995,1.8297437,0.71484154,0.89141095,0.68597376,0.7324709,0.9166912,0.36643034
0.9188576,0.28467995,0.9701535,0.74024075,0.55731225,-0.035805047,0.11037633,0.12264271,0.2537829,0.20991535,0.047062717
0.76629615,0.20181274,0.24031374,0.5135709,-0.53781044,-0.08948254,0.004950868,-0.34528476,0.08723685,0.20926894,-0.3565589
1.04495,0.40045753,1.1525613,0.86763215,0.73828113,0.031723864,0.21244551,0.20362133,0.33482698,0.3619253,0.08347998
0.89526963,0.3921613,0.70532656,0.8696657,0.41213793,-0.03915429,-0.01327628,0.008831102,0.07730284,0.12445891,-0.032814518
0.59649396,0.13061891,0.30420193,0.38258672,-0.17981383,-0.09993784,-0.014892087,-0.21083519,0.09459753,0.11498672,-0.2199221
0.8695849,0.4491457,0.80474144,0.8325963,0.5737539,-0.025559768,0.06589237,0.11565818,0.17979668,0.15675814,0.01446538
0.81940067,0.4101103,0.8906903,0.73396796,0.613982,0.007334985,0.14467885,0.12879269,0.2663794,0.2615958,0.05032394
0.8173285,0.32381678,0.6021172,0.74920756,0.3174171,-0.05467593,-0.023120442,-0.03978298,0.090692475,0.107413836,-0.05960478
0.9143309,0.44020596,0.67984265,0.90723777,0.40407616,-0.02283052,0.002180379,-0.02399127,0.094585896,0.1454551,-0.04838827
0.8789725,0.2630973,0.90374583,0.7165531,0.46656436,-0.04606585,0.11042777,0.06854391,0.27266967,0.2214753,-0.008234218
1.545095,1.9448823,1.9328793,2.18266,2.4463573,1.0567497,1.2562999,0.9774134,0.94604015,1.1413659,0.5584801
