rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,actual
0.2728246,0.6685686,0.20698246,0.2417208,0.20505267,0.32020292,0.25374076,0.19214171,0.66964465,0.897172,0.51378953,0.565663,0.6568635,0.2465992,0.15706101,0.30679744,0.5787465
0.36156374,0.23609295,0.3328664,0.33389592,0.37893373,0.5814182,0.29494086,0.35652834,0.64399374,0.6383968,0.5985371,0.6283772,0.48670477,0.37780237,0.24783343,0.37432915,0.37101144
0.24562937,0.74279046,0.1637508,0.19570678,0.17494574,0.42378592,0.21437111,0.23289198,0.74364007,0.73179126,0.59436756,0.71399724,0.45570278,0.17893463,0.23596948,0.2369873,0.6730588
0.43061,0.6026039,0.29305145,0.3563931,0.37582296,0.5505236,0.3333098,0.2869814,0.6461744,0.48318112,0.6214149,0.7905621,0.39735615,0.3141052,0.50311077,0.33610827,0.51799953
0.114430845,0.6912719,0.068549305,0.0875071,0.0562931,0.5899659,0.06901285,0.074906826,0.8659237,0.8162546,0.77421796,0.87913066,0.44861698,0.06913251,0.13454407,0.11374527,0.6455306
0.3399189,0.29681838,0.2910553,0.30882144,0.3344381,0.37998322,0.24168685,0.45347518,0.635949,0.77004826,0.4505709,0.52925384,0.5420933,0.37401533,0.22648364,0.37423843,0.44755036
0.16567045,0.4493491,0.15094545,0.15964088,0.20011097,0.8695648,0.1677444,0.15200335,0.8838176,0.68507457,0.8805998,0.9164044,0.41068405,0.18124902,0.26041716,0.15420201,0.44210434
0.08822867,0.572784,0.085508496,0.115271986,0.09691006,0.6186277,0.0817948,0.094201505,0.8517206,0.89287764,0.7642242,0.8318485,0.5056067,0.16530389,0.08504498,0.13031784,0.5381676
0.24112481,0.2845439,0.22876301,0.23074692,0.23071164,0.552451,0.20853719,0.1705988,0.6870008,0.7847135,0.55921566,0.65565073,0.43111408,0.2465201,0.17228764,0.27060717,0.41898423
0.09908226,0.47447723,0.11791244,0.09946671,0.11847657,0.6594701,0.082052946,0.09700686,0.86513686,0.9665697,0.7686385,0.8015749,0.6620558,0.19896203,0.050762624,0.12223369,0.45618576
0.19209266,0.4943392,0.14710346,0.19539303,0.20470208,0.5733693,0.17430481,0.2231254,0.75921893,0.722984,0.62246424,0.7315223,0.28878757,0.15067407,0.23327726,0.22201192,0.45769972
0.258641,0.731434,0.17196074,0.22723246,0.17998227,0.32695535,0.19812313,0.2627985,0.71963,0.73575115,0.53240854,0.68320286,0.48313195,0.18010324,0.2244246,0.27490503,0.6810067
0.2622227,0.6296333,0.20777932,0.25557745,0.21449,0.25288332,0.2361575,0.2418052,0.66975605,0.8166657,0.4845021,0.5588782,0.59600925,0.24704301,0.14881897,0.31178147,0.53345406
0.1394521,0.6843933,0.07119033,0.15415353,0.07152429,0.5557118,0.10754922,0.16240221,0.85597813,0.68938565,0.7478883,0.85482883,0.25611264,0.10877046,0.2809549,0.1259695,0.71721876
0.15964174,0.4823515,0.13670531,0.19216377,0.24015379,0.845739,0.19390157,0.20362467,0.8240719,0.64783615,0.8391817,0.8268934,0.30208904,0.18767208,0.31816834,0.1892899,0.61859965
0.25828558,0.23995787,0.25532475,0.2573895,0.2872926,0.73477995,0.24414834,0.20350897,0.73347497,0.71913946,0.6780807,0.7400068,0.52829415,0.3172024,0.21263945,0.281888,0.36006188
0.108777285,0.73213285,0.07890752,0.08361381,0.070197225,0.46822655,0.08363637,0.07711893,0.8306539,0.90664333,0.7176706,0.79121315,0.53745764,0.11501977,0.042769432,0.13713628,0.693774
0.16150832,0.4797942,0.1645424,0.15738228,0.19373643,0.73232996,0.17073116,0.073431194,0.82699,0.7719117,0.778292,0.83250237,0.44954318,0.15395963,0.12791187,0.15472859,0.42784816
0.35668606,0.4558973,0.31857464,0.38650835,0.43985546,0.61094916,0.4018186,0.24204361,0.6224537,0.55003357,0.62527305,0.6484483,0.44796067,0.33273488,0.3823039,0.38644826,0.524235
0.4099713,1.0,0.26250848,0.3418817,0.2403704,0.0063173175,0.3314723,0.3271926,0.6102636,0.6799959,0.30201364,0.55334234,0.4354176,0.22952509,0.39118814,0.39824015,0.8548126
0.040854275,0.6169796,0.03873256,0.022575289,0.03807211,0.8686659,0.040059745,0.08251673,0.9573711,0.95591426,0.92849183,0.9475605,0.6255805,0.11596885,0.059224308,0.044286877,0.534249
0.2180649,0.5836441,0.15133843,0.159967,0.19029292,0.734728,0.16597837,0.25460047,0.83357584,0.6984314,0.7876047,0.8815849,0.4225164,0.17358458,0.29150146,0.13869092,0.48905432
0.050405115,0.5266059,0.022725552,0.08015722,0.072883666,0.77038604,0.046053886,0.0996179,0.9209768,0.831738,0.8445561,0.88501185,0.35145178,0.09579697,0.15211162,0.087105244,0.605484
0.22933084,0.53505677,0.20869508,0.21467671,0.22719532,0.46619177,0.20663026,0.2283231,0.72566533,0.8149529,0.64614516,0.6628331,0.6492617,0.26209235,0.12568459,0.24230295,0.49586028
0.014495462,0.57205707,0.009209573,0.022657305,0.03343147,0.90154594,0.026175618,0.1106447,0.97328955,0.92944664,0.95287347,0.96424097,0.49799,0.10040465,0.08983567,0.038974047,0.56329536
0.03988412,0.543069,0.012316465,0.056850612,0.06889737,0.9101571,0.057287544,0.13307154,0.9672439,0.81843007,0.9381201,0.93660057,0.40246415,0.11407304,0.18813932,0.04739076,0.56827104
0.26047152,0.51388156,0.18567005,0.23438203,0.25091946,0.5270842,0.18695316,0.23792285,0.73589575,0.6568898,0.6580302,0.74253994,0.4172485,0.24415183,0.28110868,0.2387749,0.6098184
0.1046772,0.37686068,0.10001859,0.11026722,0.12586176,0.7667378,0.09587863,0.12806356,0.8639061,0.8992428,0.79268706,0.8342686,0.5015131,0.17293888,0.10392299,0.15519533,0.50272363
0.051816255,0.54303455,0.039705485,0.052624226,0.09280008,0.88090897,0.06498474,0.12562168,0.9229605,0.8820907,0.90961003,0.9223602,0.4753955,0.10879183,0.13816524,0.063595414,0.55328923
0.08037943,0.56232285,0.058124095,0.07939115,0.08349225,0.6199669,0.049316615,0.16471934,0.8695025,0.858001,0.79190934,0.8329338,0.46684158,0.11873031,0.10038707,0.10039365,0.6024432
0.09850708,0.5766348,0.07245824,0.07311347,0.10429698,0.89189076,0.093999624,0.12006152,0.9278369,0.8922471,0.90399396,0.9331825,0.57524836,0.14476526,0.14230567,0.0815081,0.48781347
0.1403628,0.4373489,0.13391402,0.117761314,0.16683048,0.85934246,0.14243108,0.13728923,0.91189206,0.8242193,0.86927915,0.8977058,0.56884915,0.20500308,0.17644003,0.13296449,0.42052975
0.20472443,0.50951225,0.19202521,0.20069957,0.19297624,0.40437895,0.157632,0.2071333,0.7089083,0.784548,0.5961453,0.6651163,0.4755813,0.21804619,0.12492764,0.22390169,0.49090827
0.16843331,0.521815,0.1241152,0.15091673,0.13893309,0.49229425,0.09252921,0.32694203,0.801853,0.77430475,0.7060081,0.7326288,0.4963227,0.19081736,0.10705429,0.16837615,0.6216198
0.24624527,0.33992177,0.23907092,0.2668935,0.29668033,0.52084696,0.22376332,0.2240097,0.6672549,0.71650314,0.56418884,0.62972873,0.42079872,0.27097028,0.19370568,0.31317562,0.48011446
0.45908833,0.2683749,0.48801908,0.47151887,0.5249361,0.62187046,0.4888061,0.18882364,0.52178127,0.4749437,0.5652189,0.6123501,0.5582757,0.43862432,0.36817878,0.4595883,0.20966977
0.04418513,0.62211394,0.039476097,0.03894037,0.035829544,0.7632979,0.03279835,0.06469071,0.9285679,0.9047764,0.89089936,0.9342466,0.49779326,0.091800064,0.065259814,0.058464617,0.5586061
0.19163007,0.33708268,0.19385365,0.17641714,0.20445818,0.59101456,0.16400191,0.1900447,0.7653562,0.81190187,0.6772605,0.7109457,0.5860346,0.23834819,0.097567916,0.21030957,0.43287182
0.118183196,0.44672033,0.12878272,0.11891973,0.12081078,0.61787266,0.11505574,0.06410712,0.81981033,0.90695333,0.7252149,0.78128535,0.5878708,0.17449737,0.02739051,0.15702069,0.45499897
0.1456632,0.51103234,0.12404433,0.16091082,0.15457961,0.5106885,0.106832445,0.2033987,0.78988826,0.7470937,0.67590475,0.7470293,0.36265683,0.14240181,0.15282297,0.17470556,0.5815876
0.45693105,0.8994578,0.30576614,0.3970036,0.34048796,0.08923644,0.37745348,0.355716,0.56028223,0.5603466,0.32195652,0.5453123,0.39707133,0.2770818,0.46793467,0.4384061,0.77882016
0.2968402,0.5210997,0.22664645,0.26780027,0.29899442,0.65714264,0.24890503,0.21578622,0.7076675,0.5873947,0.6743262,0.76649743,0.3888958,0.22276801,0.34294975,0.2644912,0.5432573
0.69071734,0.04152885,0.7048315,0.65922135,0.7611211,0.4238337,0.7009281,0.52174306,0.37512362,0.41116333,0.3671337,0.37787646,0.82470566,0.7549156,0.5305834,0.65634316,0.026699781
0.15941572,0.47441936,0.11283639,0.14189464,0.19841167,0.8004482,0.14616185,0.2541632,0.85311675,0.7497777,0.83100045,0.84001946,0.4399317,0.1924609,0.23895293,0.16238236,0.6108806
0.3847087,0.20821139,0.3643779,0.33982134,0.39779836,0.5522658,0.36375788,0.25955194,0.6214395,0.7694784,0.5329013,0.575263,0.6857081,0.43360186,0.27907717,0.40126735,0.2971419
0.25506413,0.31291056,0.2556105,0.21606654,0.2735718,0.7313871,0.22620437,0.15513366,0.7859411,0.64424646,0.75323296,0.80169404,0.42594963,0.24537307,0.26878285,0.2023102,0.30613768
