TeamExp,ManagerExp,YearEnd,Transactions,Entities,PointsAdjust,Envergure,Language,Effort
0.8261827,0.67297685,0.35622123,0.18669814,0.372448,0.16606587,0.49664956,0.74242544,0.22334105
0.5814703,0.29705077,0.5534059,0.21066877,0.40098584,0.21525244,0.4873426,0.7363963,0.24683927
0.80600536,0.72801673,0.46628088,0.47424644,0.5855827,0.46110103,0.5679449,0.6050635,0.4814847
0.32173774,0.77448845,0.2498152,0.25027525,0.19901638,0.1506076,0.69450945,0.70296276,0.22153914
0.5042156,0.25893003,0.5649231,0.13448265,0.33689827,0.15378378,0.35686105,0.59741145,0.17527497
0.70156056,0.7442032,0.13794701,0.1813511,0.2760282,0.10037473,0.6076186,0.71661663,0.24257384
0.6973235,0.75952244,0.24873444,0.13587701,0.24842004,0.12036762,0.5219487,0.7851358,0.15629196
0.20695262,0.76926064,0.6096392,0.30926192,0.25226194,0.22945374,0.79057586,0.70784456,0.307944
0.5651895,0.7735126,0.32796094,0.08189351,0.21144779,0.09516445,0.22193317,0.39662087,0.10603838
0.53559124,0.5831641,0.47770494,0.20837256,0.35875934,0.227291,0.5748912,0.83292824,0.22443268
0.39267433,0.7771379,0.49602133,0.0686184,0.1325239,0.04986132,0.16507025,0.22995727,0.0958992
0.8464247,0.74302846,0.50957805,0.24381539,0.4526444,0.27610254,0.6018332,0.92683333,0.3163721
0.47354978,0.69624263,0.18459687,0.33601105,0.30377963,0.15461385,0.9407786,0.80095667,0.3743842
0.48748744,0.34206045,0.19846183,0.1842325,0.28968096,0.05491427,0.76813847,0.6970437,0.27384135
0.46143264,0.37177622,0.37762892,0.24592443,0.35789543,0.16271444,0.738067,0.7972892,0.26683253
0.30393535,0.27417806,0.6821873,0.24554312,0.15869513,0.13223355,0.54560536,0.68370503,0.27343127
0.22758257,0.43782517,0.3748843,0.2866367,0.31737074,0.18992554,0.6691784,0.6408201,0.22541717
0.79590666,0.72433496,0.3907916,0.3269931,0.46342593,0.30488122,0.57712626,0.737725,0.35361335
0.8726325,0.8433955,0.58828235,0.68440175,0.70367485,0.6522625,0.72881854,0.6086224,0.68601775
0.27626815,0.74622613,0.5504531,0.1341037,0.23202164,0.13173777,0.3618427,0.5122861,0.18692838
0.4648701,0.35643768,0.5087361,0.1448786,0.25850978,0.112231314,0.26291668,0.528603,0.18277496
0.42086202,0.3153707,0.39363855,0.25695658,0.38629857,0.19350705,0.6291172,0.676484,0.25743392
0.43406916,0.24617027,0.48845422,0.22816586,0.29003394,0.15264939,0.5711879,0.6816386,0.22301601
0.7032395,0.63898504,0.45833385,0.5577212,0.61990654,0.4759629,0.78618824,0.66627264,0.5774462
0.79650277,0.7866375,0.49165452,0.63399273,0.6525036,0.5898114,0.69711596,0.50793934,0.6463675
0.27062237,0.74980086,0.6016693,0.11624911,0.21151032,0.13589804,0.20230755,0.13860296,0.112983264
0.69548017,0.44254324,0.5169278,0.29093271,0.53069097,0.29764697,0.55266523,0.78879654,0.3180468
0.8613552,0.7661964,0.4975614,0.17069437,0.40989906,0.23928939,0.4572214,0.80067164,0.25065392
0.21391374,0.5308373,0.6615988,0.18857145,0.23232132,0.14743441,0.41017348,0.49929464,0.22031587
0.28158423,0.59109557,0.42058116,0.35325962,0.326776,0.21970317,0.9024662,0.76975614,0.35187963
0.39245927,0.3857144,0.36510906,0.2681137,0.35116488,0.17119843,0.67900795,0.68771315,0.24672168
