size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,effort_D
0.20099404,0.13856205,0.055707768,0.2098139,0.062498033,0.13196161,0.2208885,0.3196228,0.64923126,0.101977795,0.33278036,0.13490015,0.30523422,0.21678382,0.3666457,0.11849767,0.07251744,0.18067092,0.7026192,0.1694376,0.27808517,0.14754277,0.17570996,0.227097,0.22292423
0.18429114,0.14412233,0.052189305,0.23367155,0.11153722,0.15724,0.26629764,0.37363195,0.6659466,0.19779107,0.36464673,0.23091248,0.35965756,0.29413974,0.39961165,0.13365027,0.104158744,0.1990599,0.7101488,0.18799971,0.3552317,0.1880899,0.17418379,0.29912612,0.22306515
0.24480179,0.13794777,0.07636316,0.14793056,0.04582405,0.11115152,0.15972108,0.3080551,0.6279458,0.09766039,0.2047298,0.06924692,0.32448617,0.21459347,0.30659378,0.10995388,0.08089967,0.2047804,0.6959982,0.18505956,0.23701644,0.106381536,0.26817322,0.16197446,0.2849867
0.19909084,0.27097872,0.20666085,0.07560778,0.1362294,0.122116536,0.066121876,0.044499114,0.47580498,0.17930558,0.09540349,0.21533623,0.095168985,0.09067771,0.080828175,0.18681815,0.2089069,0.0212695,0.5106262,0.08390094,0.07462117,0.11284709,0.007914841,0.0834713,0.26853704
0.13170582,0.1913026,0.22130935,0.34405524,0.2746032,0.2776129,0.31852287,0.08829099,0.5612538,0.36639538,0.44960207,0.41738108,0.124665484,0.15703934,0.33151883,0.24946478,0.24563424,0.13329571,0.5376185,0.18117557,0.30850637,0.2911675,0.22001326,0.3435444,0.14664228
0.36577404,0.24748564,0.19622992,0.27501768,0.094855785,0.29782382,0.24997205,0.36016083,0.5403311,0.2623286,0.37681592,0.23260966,0.36493155,0.38058233,0.33258182,0.20216182,0.19793315,0.21387082,0.54452735,0.30533725,0.28740942,0.24803919,0.47829986,0.22084925,0.38624334
0.11662179,0.07423107,0.04035066,0.3411212,0.11349183,0.16395798,0.36153096,0.30862188,0.7222921,0.18654308,0.4009493,0.2119936,0.3471698,0.19605017,0.45500356,0.11931345,0.0866041,0.27625984,0.75898975,0.16541152,0.39905685,0.22277796,0.17073303,0.3674467,0.11167256
0.1469526,0.113539204,0.059628144,0.19713247,0.070866644,0.101083964,0.21196544,0.27247906,0.6523416,0.090390354,0.27262837,0.11588001,0.3043717,0.18931636,0.34382457,0.124366015,0.07344045,0.22846818,0.7707128,0.12724026,0.26845658,0.17615414,0.13223082,0.21638557,0.20258735
0.11108193,0.0021393895,0.06121947,0.5448874,0.18318027,0.22027001,0.58306426,0.3664096,0.8095306,0.3001152,0.6044881,0.30653366,0.4475305,0.23467445,0.6231313,0.19654945,0.10723697,0.43333286,0.7926898,0.28864324,0.610088,0.5007917,0.29244775,0.5768573,0.037275642
0.3731173,0.1872082,0.12417908,0.44314325,0.13779408,0.35474876,0.45614374,0.6249402,0.70963544,0.33076575,0.4626673,0.2113767,0.62206846,0.5706998,0.54146075,0.24482825,0.16252811,0.43028277,0.76481026,0.5271177,0.46755224,0.3678829,0.5036874,0.4327437,0.35802585
0.14864692,0.12049367,0.053218886,0.12126976,0.009400606,0.047956705,0.13107091,0.24266706,0.6297964,0.06607705,0.18228781,0.102359205,0.25487137,0.12945226,0.2824816,0.08167863,0.06993072,0.1909529,0.7410724,0.09436183,0.22377032,0.07596439,0.07347715,0.149744,0.22828439
0.07878828,0.044005923,0.031000331,0.20412928,0.06818378,0.042255312,0.25333887,0.20012659,0.69590795,0.077649385,0.33945817,0.16826513,0.28389278,0.0730249,0.3809051,0.08282709,0.03935136,0.2445395,0.7536706,0.05652888,0.33320767,0.16036898,0.07199985,0.237448,0.11787416
