ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,Effort
0.2417781,0.1475077,0.2531279,0.2432564,0.16685593,0.10108222,0.3687497,0.21017405,0.13628621,0.4516728,0.06042715,0.06715702,0.062302757,0.03144458,0.029019766,0.38688755,0.26077965,0.07474221,0.075795874
0.45182204,0.1411669,0.19172232,0.27612066,0.18765844,0.09468742,0.2946846,0.19475427,0.11609019,0.45013103,0.1874658,0.20479313,0.17136954,0.16066802,0.024508718,0.45537955,0.12943083,0.091599256,0.10022408
0.61744094,0.13779198,0.23854557,0.2095775,0.20291339,0.06569145,0.3288523,0.19025606,0.123517364,0.5183105,0.3085891,0.3186287,0.29317883,0.2782971,0.019298092,0.16641632,0.27400893,0.08118074,0.08151172
0.4068036,0.15668808,0.20294116,0.2485674,0.22114763,0.10583932,0.2419251,0.14186722,0.19854563,0.46802643,0.45091355,0.46926466,0.44133636,0.4379691,0.02268067,0.41477805,0.19703361,0.20732807,0.20166616
0.4840647,0.17425579,0.27645433,0.2246212,0.16482943,0.105910674,0.27968335,0.13546064,0.23745213,0.53521234,0.21045835,0.2333784,0.20771876,0.19675821,0.032205068,0.40339807,0.122923926,0.11235465,0.121529415
0.31374806,0.24699192,0.32844508,0.22053328,0.26666903,0.14399298,0.5567515,0.32092452,0.13269106,0.3571955,0.05789283,0.065311864,0.05338037,0.03759198,0.02671797,0.6538765,0.35202616,0.12143333,0.111771196
0.5859437,0.14449196,0.20174316,0.18670404,0.15143435,0.14264603,0.346749,0.1994181,0.093664944,0.42528924,0.2481128,0.26046968,0.24137872,0.22979787,0.031030498,0.58064747,0.09957315,0.07940176,0.08455438
0.16678515,0.095553055,0.1812943,0.18548709,0.17449157,0.116492294,0.27238956,0.1568664,0.111810796,0.45736027,0.1672804,0.18299472,0.14936356,0.13668093,0.032833237,0.5214769,0.11036753,0.048066936,0.057143908
0.36238277,0.12912297,0.16077752,0.26864702,0.23918381,0.057223476,0.29266563,0.12009686,0.18981273,0.48204237,0.32755604,0.3537047,0.3166713,0.31232533,0.021760069,0.38169566,0.13615003,0.13703686,0.1398566
0.2507035,0.1482333,0.2556119,0.14895958,0.2085354,0.1949155,0.5835342,0.28326488,0.07357221,0.19267392,0.46003407,0.42452747,0.37610775,0.3367107,0.64075124,0.21821061,0.9226175,0.21803634,0.23165217
0.51982886,0.13790722,0.18407813,0.23867732,0.16508703,0.11886595,0.3567851,0.2284087,0.061164774,0.40332943,0.19982593,0.20371063,0.19018456,0.16943035,0.025545651,0.54204917,0.089029126,0.07467724,0.078728445
0.37429637,0.15351535,0.22664523,0.31544286,0.17371994,0.08556673,0.32035747,0.21518192,0.13484618,0.52573895,0.11496944,0.13215007,0.10351877,0.083627,0.02466351,0.2884287,0.074806586,0.08922146,0.09919362
0.325917,0.5708712,0.5749541,0.2690428,0.5596851,0.5210367,0.33935887,0.714931,0.042511154,0.43489307,0.09226561,0.10459227,0.09770588,0.075980134,0.033775244,0.32078987,0.3250183,0.269445,0.2682387
0.5617291,0.16565555,0.3070534,0.1743511,0.18237764,0.114103064,0.26749343,0.25061685,0.08858477,0.47056904,0.13045664,0.13416357,0.12312238,0.0952463,0.03287233,0.4496956,0.26219857,0.10691889,0.112788856
0.19942036,0.2469385,0.27281207,0.24002421,0.32193026,0.2477466,0.24365234,0.27462995,0.16988431,0.4209647,0.08992556,0.10544721,0.08965017,0.07169492,0.023440547,0.48999768,0.23458803,0.09961487,0.1028703
0.32657522,0.17485617,0.27278227,0.28491914,0.15995719,0.14126393,0.22394317,0.21435872,0.16585448,0.43004498,0.07199862,0.07925168,0.06576829,0.0462412,0.030589927,0.5261314,0.2463001,0.049672287,0.053887032
0.3415984,0.10515265,0.21376288,0.16114266,0.19209388,0.087902956,0.30297598,0.18597284,0.08133572,0.43116078,0.1724785,0.18527271,0.16934301,0.14911243,0.024742136,0.5690488,0.14337987,0.07115768,0.071118265
0.5766968,0.16624093,0.3018862,0.18505995,0.19229025,0.0856532,0.27888283,0.20981905,0.13423067,0.452244,0.15198945,0.1660104,0.1381362,0.12580374,0.030839046,0.57789844,0.13271067,0.075540215,0.08285861
0.37149405,0.17094168,0.25483474,0.27017632,0.1942188,0.10141288,0.3129002,0.2099446,0.16108042,0.43262973,0.09380718,0.10052715,0.06999851,0.05752293,0.030891312,0.7157719,0.15215313,0.042175256,0.052935243
0.28636587,0.12246594,0.19299473,0.25100774,0.1792133,0.12591562,0.24646041,0.15938011,0.16588302,0.4030493,0.080405995,0.08882166,0.069127195,0.04780688,0.13579327,0.5044046,0.1813606,0.03596222,0.043259405
0.48385906,0.11555478,0.12542033,0.23264007,0.20567673,0.13056977,0.38682872,0.16859488,0.12355274,0.57039046,0.17792995,0.19435106,0.16116486,0.14256638,0.027333954,0.20054787,0.10254617,0.07334952,0.087910816
0.5298121,0.42775875,0.6185657,0.2576675,0.44852945,0.08603626,0.36143723,0.07541741,0.75383043,0.53567815,0.08647015,0.111424565,0.050908968,0.063863575,0.029830694,0.4277596,0.27759612,0.14404827,0.15980783
0.34011227,0.1544472,0.17259666,0.23191935,0.27471867,0.14305535,0.27042505,0.1370266,0.21561782,0.52352506,0.110089324,0.12140914,0.0923257,0.07492873,0.032982685,0.51196855,0.16715185,0.073489055,0.08953723
0.4206878,0.11396131,0.25497895,0.109126925,0.20985608,0.1067607,0.3353467,0.23360994,0.045496594,0.47619,0.35868564,0.37174672,0.35216424,0.34162813,0.011761431,0.2802602,0.23394534,0.11643398,0.102020845
0.5977664,0.12536956,0.18785106,0.2001822,0.2611985,0.055297177,0.3007917,0.16720265,0.11184276,0.443389,0.29281878,0.30116898,0.27538747,0.26011148,0.020720564,0.41523105,0.20377204,0.10812257,0.110458195
0.32053822,0.097979434,0.21970312,0.214198,0.14710726,0.08742732,0.24409573,0.16237003,0.12116782,0.49202964,0.11620528,0.12321904,0.117984906,0.08417558,0.026080497,0.34541854,0.16930807,0.06226896,0.06563877
0.16628207,0.26852015,0.34522247,0.21644735,0.28256518,0.2661348,0.21470031,0.25638437,0.23342858,0.5345617,0.2606788,0.28585646,0.2468609,0.24631825,0.024584297,0.6169909,0.5164911,0.31671625,0.31983647
0.38851917,0.19166768,0.3352853,0.255578,0.20396751,0.06557125,0.2632834,0.12371125,0.31512997,0.5104435,0.076611444,0.08994599,0.056907695,0.047530882,0.036338873,0.5904301,0.17388052,0.04431936,0.05481265
0.6313559,0.16598792,0.22721952,0.21425548,0.20833772,0.11635953,0.27453062,0.14619163,0.19764784,0.5623808,0.2655482,0.29362458,0.24889542,0.24642211,0.026962478,0.3019107,0.16911077,0.13019267,0.1445516
0.45944697,0.12938581,0.22112381,0.18226585,0.21949007,0.15101135,0.28476623,0.17347988,0.15810943,0.11307055,0.12652037,0.13677391,0.08523152,0.07210996,0.78284395,0.48651433,0.115019485,0.052501813,0.072908744
0.28802556,0.13058454,0.21788716,0.15434453,0.23851603,0.14658701,0.27934334,0.22807553,0.071630254,0.4086461,0.15448391,0.1604634,0.1380003,0.11427177,0.02121647,0.40208068,0.23111236,0.07070078,0.07650459
0.49599582,0.13699389,0.2594924,0.18872239,0.19532494,0.1011256,0.26282826,0.14920521,0.19617262,0.410175,0.110245794,0.11621592,0.08288383,0.07016577,0.22859707,0.60386336,0.13462988,0.03372229,0.04342647
0.3403775,0.24990135,0.30140477,0.1970654,0.31438553,0.23467432,0.28933972,0.31814408,0.11333319,0.45486683,0.08581567,0.10330462,0.07845876,0.05999212,0.025948822,0.47221935,0.26058504,0.08594631,0.09934035
