size_D,duration_D,app,t01,t02,t03,t04,t05,t07,t09,t10,t12,t15,Generated_Var_3,Generated_Var_4,Generated_Var_7,Generated_Var_9,Generated_Var_10,Generated_Var_13,Generated_Var_14,Generated_Var_17,effort_D
0.19486961,0.09178311,0.05171589082841091,0.046652913,0.08935416,0.20532176,0.07079339,0.07822299,0.061451378687082725,0.09055196,0.084827125,0.05807110119288987,0.05133617,0.077069566,0.05739323,0.1602725096163506,0.09268256073174393,0.11626017,0.07949959,0.04815741,0.16701946,0.16567895
0.2560362,0.15527992,0.08674834132516586,0.13129023,0.1137411,0.3154552,0.020055354,0.008195698,0.18141621088497265,0.11931491,0.10011828,0.024470714552928544,0.054708093,0.036672086,0.054861598,0.12345822740749364,0.03761455023854497,0.079698876,0.03208047,0.033779517,0.16301523,0.22037861
0.23032856,0.12754478,0.08621881137811886,0.025696576,0.089528024,0.24257068,0.093251884,0.0929887,0.09047206542832394,0.13692486,0.11215398,0.05942060905793909,0.059906572,0.12147954,0.10770609,0.20093627205617634,0.14594703540529644,0.1608246,0.10222785,0.09363857,0.22153446,0.18275611
0.3003496,0.20675947,0.15237599476240052,0.26466137,0.2230174,0.39362878,0.07615727,0.038393646,0.33602652016159124,0.192227,0.15483734,0.09694858430514156,0.12406969,0.043566823,0.07427009,0.10287456617247398,0.058077732192226776,0.0729233,0.040580854,0.04413554,0.16119955,0.30713153
0.63048136,0.6062927,0.6318845668115433,0.47419107,0.71468836,0.64949435,0.70596457,0.57830083,0.551682083100925,0.6359401,0.6395707,0.6481435851856414,0.55199397,0.62834376,0.62961185,0.6812420408745224,0.6394187360581263,0.65372926,0.6676292,0.6360474,0.64495444,0.64375013
0.23831636,0.1344847,0.08026299197370079,0.0438329,0.07092756,0.25886455,0.069803536,0.062077522,0.08604501516270091,0.12485236,0.11820695,0.032752599724740025,0.0440872,0.10975197,0.095254175,0.21262623275757397,0.12359711764028823,0.1636349,0.10744588,0.076492965,0.21895817,0.19485168
0.53099036,0.4514166,0.3621255437874456,0.28162736,0.28709865,0.5375668,0.28981972,0.3086894,0.39199485351969127,0.37964407,0.36848798,0.27884387211561273,0.3374758,0.38044256,0.39687052,0.46648165798889946,0.39713611028638895,0.42555803,0.37466097,0.36265427,0.5012655,0.45111245
0.20883434,0.10109897,0.047644059235594075,0.021975875,0.065540075,0.22753243,0.04744482,0.038907737,0.054119709247182554,0.09280835,0.08091918,0.019780604021939596,0.020524055,0.061776146,0.058007486,0.1647548198852892,0.07636808236319176,0.11467765,0.06044753,0.045527443,0.179776,0.16020513
0.13433523,0.07136631,0.058855900114409984,0.106809855,0.16669351,0.17406107,0.10983682,0.05632651,0.08468352508101151,0.08957255,0.044859678,0.1203024579697542,0.06237042,0.016779408,0.023211978,0.07077291424637486,0.026739922326007765,0.054135937,0.021491975,0.01863338,0.08773185,0.14298236
0.28636608,0.16734755,0.11898258810174117,0.072672784,0.07188606,0.3047104,0.093165934,0.11570144,0.13143660788619646,0.14315593,0.15062061,0.06770654822934517,0.090229094,0.14353725,0.1537961,0.25349308520958513,0.17496070250392973,0.20338319,0.14485635,0.12828727,0.26233163,0.24560876
0.36080518,0.25389767,0.17256596274340372,0.0963707,0.07949096,0.36509836,0.09008002,0.15597025,0.1923758915425535,0.2091043,0.2091861,0.11182065881793411,0.13775608,0.22623882,0.21128023,0.31694611901676717,0.23469718653028132,0.26889133,0.21056293,0.19392906,0.33619928,0.29327738
0.2581063,0.18140054,0.1326380667361933,0.24004179,0.21007246,0.33467045,0.08471376,0.04185012,0.283097516985851,0.15491366,0.12537476,0.11144371885562811,0.11630562,0.02169758,0.055214517,0.08463132907787974,0.04252849074715092,0.05082838,0.028645784,0.033939317,0.135131,0.27473524
0.16042452,0.058786195,0.01693370830662917,0.028164744,0.041592807,0.16721132,0.056170583,0.062981665,0.017239899034393942,0.05652465,0.038796812,0.03810444118955588,0.021121025,0.035636187,0.0274769,0.12436102746166165,0.0505622129437787,0.084245995,0.03546904,0.016351968,0.13538675,0.10727369
0.22394374,0.12799159,0.07629601237039876,0.049612433,0.07245988,0.24487753,0.05204004,0.076874495,0.07904293474257608,0.1027679,0.115154445,0.04424550557544944,0.059527665,0.103242695,0.084307946,0.19862751191765074,0.1221042877895712,0.14571473,0.10477154,0.07320875,0.20044893,0.18387763
0.172799,0.10808572,0.07724786227521377,0.058017433,0.10869247,0.17963465,0.109148026,0.12955585,0.07578179454690767,0.088404134,0.09958413,0.1118267988173201,0.0954617,0.109981924,0.073246814,0.1665470599928236,0.1321313667868633,0.116849124,0.09978275,0.081756696,0.16297096,0.15821418
0.14501746,0.05722965,0.03224198177580182,0.06265974,0.08455479,0.1414465,0.08822715,0.08717969,0.0323456549407393,0.05269012,0.04325947,0.08688917131108286,0.055247128,0.045024723,0.032967724,0.11758023705481423,0.06750310324968968,0.0758291,0.04439895,0.023557395,0.12281513,0.10593521
0.47665828,0.39430133,0.30657222934277706,0.21585554,0.23926276,0.484527,0.23942596,0.3131964,0.3358993701539622,0.3627911,0.340645,0.25802607419739254,0.27845165,0.3486244,0.35572284,0.4432474065948444,0.36519368348063164,0.40053508,0.33256078,0.33062464,0.46711385,0.39264864
0.20497864,0.08705801,0.0406013839398616,0.027629375,0.06469154,0.2195467,0.049016297,0.07705808,0.04297548757852926,0.09160586,0.08154476,0.02618741738125826,0.025431007,0.06765345,0.055079706,0.16642481998548922,0.08271009172899081,0.11999166,0.07125528,0.041555002,0.17778514,0.15421969
0.22712283,0.14108828,0.101847239815276,0.051358134,0.112463295,0.22478063,0.12601984,0.12780613,0.08491497509489851,0.136583,0.12895828,0.09873398012660198,0.07402885,0.132575,0.10739363,0.21373403282404196,0.1614907638509236,0.16584042,0.11707406,0.104333684,0.22799313,0.17459542
0.24318951,0.14070763,0.07612244238775576,0.10997373,0.097687006,0.29260153,0.020192862,0.015444815,0.15149404908964295,0.102679804,0.0919708,0.020653424934657504,0.048846662,0.034720898,0.049563356,0.12659006759540406,0.03869890613010939,0.08097623,0.033310875,0.03320536,0.16150185,0.20625278
0.10783425,0.0679604,0.06517420348257964,0.07393995,0.15685779,0.14519332,0.16838926,0.10672137,0.06046212062772724,0.078167126,0.05372837,0.1598889340111066,0.08922759,0.06524475,0.03602279,0.09089326545359594,0.07728270227172977,0.07550916,0.04751055,0.039668784,0.103012696,0.08813576
0.45494318,0.37409085,0.3823648917635108,0.5875868,0.5861526,0.5757323,0.3316766,0.15534684,0.664155399849324,0.38784578,0.35093424,0.30935012906498704,0.32714203,0.14471889,0.1826399,0.1382070282924217,0.17764145223585476,0.13431004,0.14521863,0.14078508,0.24033312,0.49510598
0.2620228,0.15860566,0.0905993309400669,0.11246443,0.103817105,0.30467704,0.03769642,0.010445088,0.156713449402807,0.11699405,0.11012831,0.020569411943058804,0.056077063,0.054414883,0.069745205,0.15328398919703934,0.06418017358198264,0.10261214,0.055818632,0.049214676,0.18513854,0.21225195
0.1487612,0.039648462,0.008183150681684931,0.0517115,0.011845589,0.15000626,0.061954737,0.07357839,0.012856200771372046,0.03537658,0.022857904,0.05974938902506109,0.03639853,0.024697587,0.022149138,0.10231838613910317,0.04290486570951342,0.06475036,0.036548346,0.008181885,0.114360504,0.091921136
0.18262157,0.068581834,0.021547747845225215,0.016925514,0.034995377,0.19742525,0.038828254,0.063964546,0.028513015710780944,0.07188761,0.05507332,0.02320506967949303,0.014767379,0.046867013,0.03547754,0.14443073866584433,0.06278305372169463,0.10167037,0.048046425,0.024596766,0.15865411,0.12723579
0.20085886,0.11126819,0.08307320169267982,0.041272253,0.0929839,0.19688448,0.11921036,0.15254793,0.07351311041078662,0.11957449,0.12054652,0.10328622967137703,0.07985228,0.13270167,0.098794065,0.20128990207739414,0.16259023374097661,0.15331496,0.10403861,0.098034486,0.2115924,0.14913347
0.2902946,0.16548239,0.11404621859537813,0.07046348,0.09173876,0.30641198,0.07360923,0.12237322,0.11735325304119518,0.16276908,0.1556603,0.06307026369297362,0.076316625,0.14213154,0.13951167,0.2534033152041989,0.1605625139437486,0.20281218,0.1486453,0.11974685,0.26069978,0.23080842
