AFP,Input,Output,Enquiry,File,Interface,Added,Changed,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Generated_Var_4,Generated_Var_10,Effort
0.095395535,0.10153640584635941,0.13557525,0.24156357,0.08920809,0.4758319,0.10275620616537239,0.1473795,0.3333374,0.29852000014799995,0.3275415,0.30278254,0.37968525,0.21513375290802517,0.36878395,0.35960674,0.21984182
0.06599486,0.0901670309832969,0.056990683,0.29261062,0.094658576,0.24921046,0.06807899908473995,0.1435066,0.18679316,0.1500268149973185,0.18555576,0.16047552,0.3546679,0.06749315404958925,0.19911861,0.17813396,0.06741658
0.13009396,0.10871998912800107,0.15648115,0.29743892,0.092889205,0.6026223,0.12799218767953127,0.1695928,0.071377024,0.06321237367876263,0.086592585,0.07430898,0.3992473,0.09546366572781995,0.5204148,0.5552263,0.09953827
0.12685695,0.1499022950097705,0.084365696,0.27922735,0.15651123,0.44951755,0.11743315304598918,0.116491586,0.17327374,0.15399657460034252,0.16105714,0.1476965,0.43922657,0.1083789865027392,0.5830879,0.4202013,0.12135066
0.07789016,0.09700879029912098,0.10102658,0.224517,0.08677445,0.29311118,0.04457187967431279,0.21623465,0.24619062,0.2212079678792032,0.26925722,0.25562608,0.22616656,0.11197901671874101,0.4263196,0.26173115,0.10864344
0.2048833,0.1625890237410976,0.22718023,0.34121466,0.14143066,0.5360941,0.1920559515233571,0.10681361,0.09463634,0.08960128103987189,0.099886276,0.09945785,0.3681537,0.1444003486640209,0.47664738,0.20179558,0.15997416
0.1493806,0.22606292739370726,0.06376126,0.41510737,0.126737,0.45215976,0.14622939877376392,0.11869858,0.071145795,0.06411600958839904,0.075303525,0.058188185,0.36176276,0.06726906403614386,0.70884085,0.7395973,0.07606649
0.2354851,0.28525850147414983,0.1437519,0.6966201,0.10238473,0.31845593,0.12143994728639684,0.410518,0.5579176,0.5854756414524359,0.56215805,0.59584785,0.15879981,0.6382624382957464,0.5088148,0.5310354,0.6153779
0.24545074,0.2635606236439376,0.35832384,0.09456952,0.2204775,0.71329033,0.28587879715272785,0.083075255,0.22331889,0.19799646020035397,0.21732059,0.19505602,0.45978475,0.3320483799229028,0.42663527,0.46508217,0.35511577
0.30492598,0.23831004616899537,0.29365784,0.35917583,0.3779422,0.70206803,0.3083706985022419,0.1110579,0.036142092,0.049366939063306095,0.054964766,0.04413577,0.2933648,0.12963568777814127,0.42308617,0.5336237,0.15083644
