AFP,Input,Output,Enquiry,File,Interface,Added,Changed,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Duration,N_effort,Resource_1,Resource_3,Resource_4,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_12,Generated_Var_15,Generated_Var_16,Effort
1587.0,774.0,260.0,340.0,128.0,0.0,1502.0,0.0,4.7,5.0,4.7,5.0,4.0,7490.0,0.0,0.0,1.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,7490
260.0,9.0,4.0,3.0,193.0,41.0,51.0,138.0,16.0,16.6,16.0,16.6,17.0,4150.0,0.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,4150
152.0,25.0,33.0,28.0,42.0,35.0,163.0,0.0,4.4,4.1,4.4,4.1,9.0,668.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,668
252.0,151.0,28.0,8.0,39.0,0.0,69.0,153.0,12.8,14.3,15.5,17.3,4.0,3901.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,3238
292.0,93.0,0.0,194.0,20.0,0.0,0.0,307.0,10.3,9.8,12.4,11.7,13.0,3607.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,2994
83.0,63.0,0.0,24.0,0.0,0.0,0.0,87.0,16.1,15.3,19.3,18.5,4.0,1606.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,1333
79.0,24.0,0.0,23.0,30.0,0.0,0.0,77.0,20.3,20.9,24.5,25.1,6.0,1936.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,1607
97.0,0.0,108.0,7.0,0.0,5.0,120.0,0.0,11.9,9.7,11.9,9.7,7.0,1158.0,0.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,1158
116.0,0.0,23.0,58.0,14.0,20.0,81.0,34.0,10.7,10.8,12.9,13.0,6.0,1498.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,1243
52.0,39.0,7.0,0.0,0.0,0.0,0.0,46.0,64.8,73.3,78.1,88.3,7.0,4063.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,3372
465.0,209.0,129.0,24.0,83.0,15.0,460.0,0.0,21.9,22.2,21.9,22.2,9.0,10200.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,10200
67.0,32.0,5.0,16.0,7.0,0.0,25.0,35.0,25.4,28.4,30.6,34.2,7.0,2053.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,1704
199.0,0.0,115.0,57.0,0.0,42.0,214.0,0.0,13.3,12.3,15.2,14.2,7.0,3034.0,0.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,2640
176.0,13.0,54.0,54.0,40.0,7.0,168.0,0.0,19.0,19.9,19.0,19.9,26.0,3348.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,3348
391.0,208.0,26.0,81.0,25.0,0.0,38.0,302.0,1.7,2.0,2.1,2.4,7.0,814.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,676
263.0,65.0,45.0,101.0,42.0,10.0,176.0,87.0,3.5,3.5,3.5,3.5,3.0,911.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,911
42.0,12.0,15.0,3.0,7.0,15.0,52.0,0.0,59.4,48.0,59.4,48.0,6.4,2496.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,2496
190.0,98.0,20.0,16.0,63.0,5.0,160.0,42.0,6.2,5.8,6.2,5.8,10.0,1171.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,1171
245.0,105.0,28.0,18.0,58.0,0.0,19.0,190.0,14.4,16.9,14.4,16.9,13.0,3532.0,1.0,0.0,0.0,-0.5387677,0.87946844,-0.25835195,-0.022772722,-0.10509606,-0.23082793,-0.23894575,0.29081565,-0.24166009,-0.22731444,3532
77.0,28.0,0.0,42.0,0.0,0.0,0.0,70.0,5.7,6.2,6.8,7.5,1.0,525.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,436
355.0,278.0,0.0,73.0,0.0,0.0,0.0,351.0,2.6,2.6,3.1,3.1,4.0,1095.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,909
3156.0,2075.0,525.0,97.0,0.0,0.0,28.0,12.0,2.9,3.4,3.5,4.1,6.0,10957.0,1.0,0.0,0.0,-1.836187,78.95212,13.012097,-59.253086,-17.139585,-32.83976,-1.6612599,7.0846186,48.261196,37.364338,9094
46.0,0.0,28.0,0.0,25.0,0.0,28.0,25.0,7.5,6.5,7.5,6.5,6.0,344.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,344
56.0,14.0,12.0,15.0,7.0,5.0,53.0,0.0,5.3,5.6,5.3,5.6,3.0,296.0,0.0,0.0,1.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,296
106.0,65.0,4.0,12.0,14.0,0.0,35.0,53.0,33.0,36.9,39.8,44.4,13.0,4220.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,3503
71.0,31.0,28.0,9.0,7.0,0.0,31.0,23.0,3.5,3.3,4.2,3.9,1.0,296.0,1.0,0.0,0.0,-0.1390612,0.2829538,-0.32783958,-0.13563305,-0.056942508,-0.19394416,-0.24350002,-0.11847406,0.04235261,-0.11749708,246
