size_D,duration_D,nlan,t01,t03,t07,t08,t09,t10,t11,t12,t13,t14,t15,app_CustServ,app_InfServ,app_TransPro,har_Multi,har_Network,har_PC,Generated_Var_1,Generated_Var_2,Generated_Var_3,Generated_Var_4,Generated_Var_5,Generated_Var_6,Generated_Var_7,Generated_Var_8,Generated_Var_9,Generated_Var_10,Generated_Var_11,Generated_Var_12,Generated_Var_13,Generated_Var_14,Generated_Var_15,Generated_Var_16,Generated_Var_17,Generated_Var_18,Generated_Var_19,Generated_Var_20,Generated_Var_21,Generated_Var_22,Generated_Var_23,Generated_Var_24,Generated_Var_25,Generated_Var_26,Generated_Var_27,Generated_Var_28,effort_D
562.0,14.0,1.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,20.23989,48.457867,21.815144,64.55789,-41.12723,-13.35517,-26.225292,20.28327,45.63638,27.603844,-23.56815,28.003027,-52.07023,-50.103123,92.12226,-55.806488,-74.17787,50.778862,-38.79854,-36.99852,-34.115158,-35.761963,-19.376383,-16.230646,49.08713,26.634548,-11.72529,-55.87468,1062
647.0,16.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,92.86734,259.91342,111.55656,351.05005,-272.15594,-75.56041,-177.11476,72.37304,265.2625,174.86977,-146.74551,162.10393,-294.75778,-295.55353,519.5458,-323.04187,-425.69342,258.5357,-210.14021,-194.86266,-167.2012,-230.6191,-99.782776,-132.35469,254.95622,123.84263,-46.363735,-299.4184,7871
130.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,11.573401,29.088457,12.391767,39.59573,-29.712708,-8.570966,-18.936834,8.756304,29.206745,19.288305,-15.642919,17.960344,-32.95095,-33.088936,58.128365,-36.206192,-48.068607,29.6352,-23.501411,-21.998272,-19.045418,-25.102156,-11.114952,-13.991346,29.086018,14.283626,-5.3525724,-34.074524,845
254.0,8.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,29.019402,78.2518,33.639412,105.773636,-80.9694,-22.71349,-52.433193,22.464949,79.31451,52.331615,-43.446682,48.52795,-88.35299,-88.72236,156.02887,-97.021736,-128.17934,78.246445,-63.186604,-58.924286,-50.530178,-68.714,-29.811848,-38.895844,77.18234,37.69737,-13.949512,-90.39549,2330
1056.0,16.0,3.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,237.96495,687.4493,294.45013,928.455,-731.3985,-201.31458,-477.04358,183.53748,708.5116,466.5632,-394.50616,432.31796,-784.8453,-785.7682,1380.7338,-858.1284,-1128.3169,681.0871,-557.39594,-513.59955,-439.2152,-618.42175,-266.7264,-360.75116,670.8994,323.31122,-123.49776,-790.5371,21272
383.0,12.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,50.793747,140.28955,60.226936,189.5419,-146.30534,-40.787373,-95.04059,39.441883,142.8746,94.209984,-78.763306,87.33125,-158.8609,-159.39105,280.2051,-174.18723,-229.80856,139.81741,-113.37763,-105.31026,-90.359116,-124.030106,-53.736553,-70.84811,137.89326,67.09921,-25.001385,-161.76764,4224
345.0,12.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,35.742657,95.77817,41.126896,129.39903,-98.462975,-27.69864,-63.77243,27.848158,96.72965,63.821014,-52.944527,59.208496,-107.86504,-108.32188,190.55045,-118.45537,-156.63383,95.868095,-77.24386,-72.130356,-62.037235,-83.62384,-36.37069,-47.045773,94.62173,46.30476,-17.003317,-110.63282,2826
209.0,27.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,81.303406,233.25987,98.89714,314.6093,-250.59517,-68.720375,-162.47935,60.5659,242.42859,158.69336,-135.21005,147.95122,-268.2441,-267.82138,471.12378,-292.1869,-383.3536,231.74979,-189.94118,-174.75383,-148.49597,-211.46529,-91.309105,-124.69601,227.39427,107.95548,-42.62566,-268.2619,7320
366.0,24.0,1.0,2.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,101.80598,293.04404,125.009605,395.60123,-313.13986,-86.04518,-203.6848,77.33806,303.18283,199.10573,-168.9345,184.99445,-335.6211,-335.69867,590.0793,-366.32626,-481.25256,290.73117,-238.06696,-219.21605,-186.94716,-264.50485,-114.176,-155.00706,285.81876,136.89584,-53.022106,-337.00998,9125
1181.0,54.0,2.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,143.19444,397.42236,170.99855,536.72406,-412.4618,-114.64513,-268.59915,113.46193,403.50797,265.99396,-223.22772,246.79158,-448.76398,-450.69766,791.95447,-492.3279,-649.27075,395.74557,-320.5757,-298.30182,-256.9187,-349.88293,-151.65959,-198.97444,390.23517,190.62573,-70.20132,-457.7016,11900
